#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772300,40078485,2,FDH58_gp02,HUNTERDALLE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772300,40078515,32,FDH58_gp32,HUNTERDALLE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078516,33,FDH58_gp33,HUNTERDALLE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078517,34,FDH58_gp34,HUNTERDALLE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078518,35,FDH58_gp35,HUNTERDALLE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078519,36,FDH58_gp36,HUNTERDALLE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078520,37,FDH58_gp37,HUNTERDALLE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078521,38,FDH58_gp38,HUNTERDALLE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078522,39,FDH58_gp39,HUNTERDALLE_39,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1772300,40078523,40,FDH58_gp40,HUNTERDALLE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078524,41,FDH58_gp41,HUNTERDALLE_41,-,-,-,RecA-like recombinase,protein-coding,-,-,-,RecA-like recombinase,20201221,-
1772300,40078525,42,FDH58_gp42,HUNTERDALLE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078526,43,FDH58_gp43,HUNTERDALLE_43,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1772300,40078527,44,FDH58_gp44,HUNTERDALLE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078528,45,FDH58_gp45,HUNTERDALLE_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1772300,40078529,46,FDH58_gp46,HUNTERDALLE_46,-,-,-,adenylsuccinate synthetase,protein-coding,-,-,-,adenylsuccinate synthetase,20201221,-
1772300,40078530,47,FDH58_gp47,HUNTERDALLE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078531,48,FDH58_gp48,HUNTERDALLE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078532,49,FDH58_gp49,HUNTERDALLE_49,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20201221,-
1772300,40078533,50,FDH58_gp50,HUNTERDALLE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078534,51,FDH58_gp51,HUNTERDALLE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078535,52,FDH58_gp52,HUNTERDALLE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078536,53,FDH58_gp53,HUNTERDALLE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078537,54,FDH58_gp54,HUNTERDALLE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078538,55,FDH58_gp55,HUNTERDALLE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078539,56,FDH58_gp56,HUNTERDALLE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078540,57,FDH58_gp57,HUNTERDALLE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078541,58,FDH58_gp58,HUNTERDALLE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078542,59,FDH58_gp59,HUNTERDALLE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40078543,60,FDH58_gp60,HUNTERDALLE_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1772300,40078544,1,FDH58_gp01,HUNTERDALLE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772300,40120256,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
