#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053705,55808532,HYP52_gp02,HYP52_gp02,bIBB5g1_gp02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2053705,55808561,HYP52_gp31,HYP52_gp31,bIBB5g1_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808562,HYP52_gp32,HYP52_gp32,bIBB5g1_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808563,HYP52_gp33,HYP52_gp33,bIBB5g1_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808564,HYP52_gp34,HYP52_gp34,bIBB5g1_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2053705,55808565,HYP52_gp35,HYP52_gp35,bIBB5g1_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808566,HYP52_gp36,HYP52_gp36,bIBB5g1_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808567,HYP52_gp37,HYP52_gp37,bIBB5g1_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808568,HYP52_gp38,HYP52_gp38,bIBB5g1_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808569,HYP52_gp39,HYP52_gp39,bIBB5g1_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808570,HYP52_gp40,HYP52_gp40,bIBB5g1_gp40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808571,HYP52_gp41,HYP52_gp41,bIBB5g1_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808572,HYP52_gp42,HYP52_gp42,bIBB5g1_gp42,-,-,-,single stranded DNA-binding proteind,protein-coding,-,-,-,single stranded DNA-binding proteind,20200919,-
2053705,55808573,HYP52_gp43,HYP52_gp43,bIBB5g1_gp43,-,-,-,putative single-stranded annealing protein,protein-coding,-,-,-,putative single-stranded annealing protein,20210417,-
2053705,55808574,HYP52_gp44,HYP52_gp44,bIBB5g1_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808575,HYP52_gp45,HYP52_gp45,bIBB5g1_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808576,HYP52_gp46,HYP52_gp46,bIBB5g1_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808577,HYP52_gp47,HYP52_gp47,bIBB5g1_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808578,HYP52_gp48,HYP52_gp48,bIBB5g1_gp48,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
2053705,55808579,HYP52_gp49,HYP52_gp49,bIBB5g1_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808580,HYP52_gp50,HYP52_gp50,bIBB5g1_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808581,HYP52_gp51,HYP52_gp51,bIBB5g1_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808582,HYP52_gp52,HYP52_gp52,bIBB5g1_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808583,HYP52_gp53,HYP52_gp53,bIBB5g1_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808584,HYP52_gp54,HYP52_gp54,bIBB5g1_gp54,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210424,-
2053705,55808585,HYP52_gp55,HYP52_gp55,bIBB5g1_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053705,55808586,HYP52_gp01,HYP52_gp01,bIBB5g1_gp01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
2053705,55863506,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
