#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1933771,60333924,I5H89_gp002,I5H89_gp002,SimranZ1_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
1933771,60333938,I5H89_gp016,I5H89_gp016,SimranZ1_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1933771,60333939,I5H89_gp017,I5H89_gp017,SimranZ1_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1933771,60333940,I5H89_gp018,I5H89_gp018,SimranZ1_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1933771,60333941,I5H89_gp019,I5H89_gp019,SimranZ1_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1933771,60333942,I5H89_gp020,I5H89_gp020,SimranZ1_20,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210424,-
1933771,60333943,I5H89_gp021,I5H89_gp021,SimranZ1_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1933771,60333944,I5H89_gp022,I5H89_gp022,SimranZ1_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1933771,60333945,I5H89_gp023,I5H89_gp023,SimranZ1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333946,I5H89_gp024,I5H89_gp024,SimranZ1_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1933771,60333947,I5H89_gp025,I5H89_gp025,SimranZ1_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1933771,60333948,I5H89_gp026,I5H89_gp026,SimranZ1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333949,I5H89_gp027,I5H89_gp027,SimranZ1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333950,I5H89_gp028,I5H89_gp028,SimranZ1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333951,I5H89_gp029,I5H89_gp029,SimranZ1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333952,I5H89_gp030,I5H89_gp030,SimranZ1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333953,I5H89_gp031,I5H89_gp031,SimranZ1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333954,I5H89_gp032,I5H89_gp032,SimranZ1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333955,I5H89_gp033,I5H89_gp033,SimranZ1_33,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1933771,60333956,I5H89_gp034,I5H89_gp034,SimranZ1_34,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
1933771,60333957,I5H89_gp035,I5H89_gp035,SimranZ1_35,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1933771,60333958,I5H89_gp036,I5H89_gp036,SimranZ1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1933771,60333959,I5H89_gp037,I5H89_gp037,SimranZ1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333960,I5H89_gp038,I5H89_gp038,SimranZ1_38,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210424,-
1933771,60333961,I5H89_gp039,I5H89_gp039,SimranZ1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333962,I5H89_gp040,I5H89_gp040,SimranZ1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333963,I5H89_gp041,I5H89_gp041,SimranZ1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333964,I5H89_gp042,I5H89_gp042,SimranZ1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333965,I5H89_gp043,I5H89_gp043,SimranZ1_43,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20210424,-
1933771,60333966,I5H89_gp044,I5H89_gp044,SimranZ1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333967,I5H89_gp045,I5H89_gp045,SimranZ1_45,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210424,-
1933771,60333968,I5H89_gp046,I5H89_gp046,SimranZ1_46,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210403,-
1933771,60333969,I5H89_gp047,I5H89_gp047,SimranZ1_47,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210424,-
1933771,60333970,I5H89_gp048,I5H89_gp048,SimranZ1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333971,I5H89_gp049,I5H89_gp049,SimranZ1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333972,I5H89_gp050,I5H89_gp050,SimranZ1_50,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201129,-
1933771,60333973,I5H89_gp051,I5H89_gp051,SimranZ1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333974,I5H89_gp052,I5H89_gp052,SimranZ1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333975,I5H89_gp053,I5H89_gp053,SimranZ1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333976,I5H89_gp054,I5H89_gp054,SimranZ1_54,-,-,-,RecB-like protein,protein-coding,-,-,-,RecB-like protein,20201129,-
1933771,60333977,I5H89_gp055,I5H89_gp055,SimranZ1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333978,I5H89_gp056,I5H89_gp056,SimranZ1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1933771,60333979,I5H89_gp057,I5H89_gp057,SimranZ1_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
1933771,60333980,I5H89_gp058,I5H89_gp058,SimranZ1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1933771,60333981,I5H89_gp059,I5H89_gp059,SimranZ1_59,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1933771,60333982,I5H89_gp060,I5H89_gp060,SimranZ1_60,-,-,-,putative LuxR protein,protein-coding,-,-,-,putative LuxR protein,20210424,-
1933771,60333983,I5H89_gp061,I5H89_gp061,SimranZ1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333984,I5H89_gp062,I5H89_gp062,SimranZ1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1933771,60333985,I5H89_gp063,I5H89_gp063,SimranZ1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333986,I5H89_gp064,I5H89_gp064,SimranZ1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333987,I5H89_gp065,I5H89_gp065,SimranZ1_65,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20210424,-
1933771,60333988,I5H89_gp066,I5H89_gp066,SimranZ1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1933771,60333989,I5H89_gp067,I5H89_gp067,SimranZ1_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1933771,60333990,I5H89_gp068,I5H89_gp068,SimranZ1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333991,I5H89_gp069,I5H89_gp069,SimranZ1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333992,I5H89_gp070,I5H89_gp070,SimranZ1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333993,I5H89_gp071,I5H89_gp071,SimranZ1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333994,I5H89_gp072,I5H89_gp072,SimranZ1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333995,I5H89_gp073,I5H89_gp073,SimranZ1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333996,I5H89_gp074,I5H89_gp074,SimranZ1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333997,I5H89_gp075,I5H89_gp075,SimranZ1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333998,I5H89_gp076,I5H89_gp076,SimranZ1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60333999,I5H89_gp077,I5H89_gp077,SimranZ1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334000,I5H89_gp078,I5H89_gp078,SimranZ1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334001,I5H89_gp079,I5H89_gp079,SimranZ1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334002,I5H89_gp080,I5H89_gp080,SimranZ1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334003,I5H89_gp081,I5H89_gp081,SimranZ1_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334004,I5H89_gp082,I5H89_gp082,SimranZ1_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334005,I5H89_gp083,I5H89_gp083,SimranZ1_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334006,I5H89_gp084,I5H89_gp084,SimranZ1_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334007,I5H89_gp085,I5H89_gp085,SimranZ1_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334008,I5H89_gp086,I5H89_gp086,SimranZ1_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334009,I5H89_gp087,I5H89_gp087,SimranZ1_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334010,I5H89_gp088,I5H89_gp088,SimranZ1_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334011,I5H89_gp089,I5H89_gp089,SimranZ1_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334012,I5H89_gp090,I5H89_gp090,SimranZ1_90,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210129,-
1933771,60334013,I5H89_gp091,I5H89_gp091,SimranZ1_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334014,I5H89_gp092,I5H89_gp092,SimranZ1_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334015,I5H89_gp093,I5H89_gp093,SimranZ1_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334016,I5H89_gp094,I5H89_gp094,SimranZ1_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334017,I5H89_gp095,I5H89_gp095,SimranZ1_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334018,I5H89_gp096,I5H89_gp096,SimranZ1_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334019,I5H89_gp097,I5H89_gp097,SimranZ1_97,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1933771,60334020,I5H89_gp098,I5H89_gp098,SimranZ1_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334021,I5H89_gp099,I5H89_gp099,SimranZ1_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334022,I5H89_gp100,I5H89_gp100,SimranZ1_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334023,I5H89_gp101,I5H89_gp101,SimranZ1_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60334024,I5H89_gp102,I5H89_gp102,SimranZ1_102,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
1933771,60334025,I5H89_gp103,I5H89_gp103,SimranZ1_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1933771,60334026,I5H89_gp001,I5H89_gp001,SimranZ1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1933771,60338581,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
