#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965484,55805509,HYP08_gp02,HYP08_gp02,R31_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210515,-
1965484,55805531,HYP08_gp24,HYP08_gp24,R31_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805532,HYP08_gp25,HYP08_gp25,R31_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805533,HYP08_gp26,HYP08_gp26,R31_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805534,HYP08_gp27,HYP08_gp27,R31_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965484,55805535,HYP08_gp28,HYP08_gp28,R31_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805536,HYP08_gp29,HYP08_gp29,R31_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805537,HYP08_gp30,HYP08_gp30,R31_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965484,55805538,HYP08_gp31,HYP08_gp31,R31_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805539,HYP08_gp32,HYP08_gp32,R31_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805540,HYP08_gp33,HYP08_gp33,R31_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805541,HYP08_gp34,HYP08_gp34,R31_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805542,HYP08_gp35,HYP08_gp35,R31_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805543,HYP08_gp36,HYP08_gp36,R31_036,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200704,-
1965484,55805544,HYP08_gp37,HYP08_gp37,R31_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805545,HYP08_gp38,HYP08_gp38,R31_038,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210515,-
1965484,55805546,HYP08_gp39,HYP08_gp39,R31_039,-,-,-,SAK kinase,protein-coding,-,-,-,SAK kinase,20210515,-
1965484,55805547,HYP08_gp40,HYP08_gp40,R31_040,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1965484,55805548,HYP08_gp41,HYP08_gp41,R31_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805549,HYP08_gp42,HYP08_gp42,R31_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805550,HYP08_gp43,HYP08_gp43,R31_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805551,HYP08_gp44,HYP08_gp44,R31_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965484,55805552,HYP08_gp45,HYP08_gp45,R31_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805553,HYP08_gp46,HYP08_gp46,R31_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805554,HYP08_gp47,HYP08_gp47,R31_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965484,55805555,HYP08_gp48,HYP08_gp48,R31_048,-,-,-,middle expressed protein 1,protein-coding,-,-,-,middle expressed protein 1,20200704,-
1965484,55805556,HYP08_gp49,HYP08_gp49,R31_049,-,-,-,middle expressed protein 2,protein-coding,-,-,-,middle expressed protein 2,20200704,-
1965484,55805557,HYP08_gp50,HYP08_gp50,R31_050,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20210515,-
1965484,55805558,HYP08_gp51,HYP08_gp51,R31_051,-,-,-,middle expressed protein 4,protein-coding,-,-,-,middle expressed protein 4,20200704,-
1965484,55805559,HYP08_gp01,HYP08_gp01,R31_001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210515,-
1965484,55863437,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
