#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327959,18505009,CH35_gp002,CH35_gp002,MaF1660_ph0002,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20201221,-
1327959,18505025,CH35_gp018,CH35_gp018,MaF1660_ph0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505026,CH35_gp019,CH35_gp019,MaF1660_ph0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505027,CH35_gp020,CH35_gp020,MaF1660_ph0020,-,-,-,ftsk/spoiiie family protein,protein-coding,-,-,-,ftsk/spoiiie family protein,20200629,-
1327959,18505028,CH35_gp021,CH35_gp021,MaF1660_ph0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505029,CH35_gp022,CH35_gp022,MaF1660_ph0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505030,CH35_gp023,CH35_gp023,MaF1660_ph0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505031,CH35_gp024,CH35_gp024,MaF1660_ph0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505032,CH35_gp025,CH35_gp025,MaF1660_ph0025,-,-,-,WXG100 family type VII secretion target,protein-coding,-,-,-,WXG100 family type VII secretion target,20201221,-
1327959,18505033,CH35_gp026,CH35_gp026,MaF1660_ph0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505034,CH35_gp027,CH35_gp027,MaF1660_ph0027,-,-,-,ESX secretion-associated protein EspG,protein-coding,-,-,-,ESX secretion-associated protein EspG,20201221,-
1327959,18505035,CH35_gp028,CH35_gp028,MaF1660_ph0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505036,CH35_gp029,CH35_gp029,MaF1660_ph0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505037,CH35_gp030,CH35_gp030,MaF1660_ph0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505038,CH35_gp031,CH35_gp031,MaF1660_ph0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505039,CH35_gp032,CH35_gp032,MaF1660_ph0032,-,-,-,type VII secretion AAA-ATPase EccA,protein-coding,-,-,-,type VII secretion AAA-ATPase EccA,20201221,-
1327959,18505040,CH35_gp033,CH35_gp033,MaF1660_ph0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505041,CH35_gp034,CH35_gp034,MaF1660_ph0034,-,-,-,TraM recognition domain-containing protein,protein-coding,-,-,-,TraM recognition domain-containing protein,20201221,-
1327959,18505042,CH35_gp035,CH35_gp035,MaF1660_ph0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505043,CH35_gp036,CH35_gp036,MaF1660_ph0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505044,CH35_gp037,CH35_gp037,MaF1660_ph0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505045,CH35_gp038,CH35_gp038,MaF1660_ph0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505046,CH35_gp039,CH35_gp039,MaF1660_ph0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505047,CH35_gp040,CH35_gp040,MaF1660_ph0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505048,CH35_gp041,CH35_gp041,MaF1660_ph0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505049,CH35_gp042,CH35_gp042,MaF1660_ph0042,-,-,-,relaxase domain-containing protein,protein-coding,-,-,-,relaxase domain-containing protein,20201221,-
1327959,18505050,CH35_gp043,CH35_gp043,MaF1660_ph0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505051,CH35_gp044,CH35_gp044,MaF1660_ph0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505052,CH35_gp045,CH35_gp045,MaF1660_ph0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505053,CH35_gp046,CH35_gp046,MaF1660_ph0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505054,CH35_gp047,CH35_gp047,MaF1660_ph0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505055,CH35_gp048,CH35_gp048,MaF1660_ph0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505056,CH35_gp049,CH35_gp049,MaF1660_ph0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505057,CH35_gp050,CH35_gp050,MaF1660_ph0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505058,CH35_gp051,CH35_gp051,MaF1660_ph0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505059,CH35_gp052,CH35_gp052,MaF1660_ph0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505060,CH35_gp053,CH35_gp053,MaF1660_ph0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505061,CH35_gp054,CH35_gp054,MaF1660_ph0054,-,-,-,glutaredoxin-like protein NrdH,protein-coding,-,-,-,glutaredoxin-like protein NrdH,20200629,-
1327959,18505062,CH35_gp055,CH35_gp055,MaF1660_ph0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505063,CH35_gp056,CH35_gp056,MaF1660_ph0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505064,CH35_gp057,CH35_gp057,MaF1660_ph0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505065,CH35_gp058,CH35_gp058,MaF1660_ph0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505066,CH35_gp059,CH35_gp059,MaF1660_ph0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505067,CH35_gp060,CH35_gp060,MaF1660_ph0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505068,CH35_gp061,CH35_gp061,MaF1660_ph0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505069,CH35_gp062,CH35_gp062,MaF1660_ph0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505070,CH35_gp063,CH35_gp063,MaF1660_ph0063,-,-,-,DUF932 domain-containing protein,protein-coding,-,-,-,DUF932 domain-containing protein,20201221,-
1327959,18505071,CH35_gp064,CH35_gp064,MaF1660_ph0064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505072,CH35_gp065,CH35_gp065,MaF1660_ph0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505073,CH35_gp066,CH35_gp066,MaF1660_ph0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505074,CH35_gp067,CH35_gp067,MaF1660_ph0067,-,-,-,ParB/RepB/Spo0J family partition protein,protein-coding,-,-,-,ParB/RepB/Spo0J family partition protein,20201221,-
1327959,18505075,CH35_gp068,CH35_gp068,MaF1660_ph0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505076,CH35_gp069,CH35_gp069,MaF1660_ph0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505077,CH35_gp070,CH35_gp070,MaF1660_ph0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505078,CH35_gp071,CH35_gp071,MaF1660_ph0071,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20200629,-
1327959,18505079,CH35_gp072,CH35_gp072,MaF1660_ph0072,-,-,-,-,other,-,-,-,-,20200910,-
1327959,18505080,CH35_gp073,CH35_gp073,MaF1660_ph0073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505081,CH35_gp074,CH35_gp074,MaF1660_ph0074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505082,CH35_gp075,CH35_gp075,MaF1660_ph0075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505083,CH35_gp076,CH35_gp076,MaF1660_ph0076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505084,CH35_gp077,CH35_gp077,MaF1660_ph0077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505085,CH35_gp078,CH35_gp078,MaF1660_ph0078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505086,CH35_gp079,CH35_gp079,MaF1660_ph0079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505087,CH35_gp080,CH35_gp080,MaF1660_ph0080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505088,CH35_gp081,CH35_gp081,MaF1660_ph0081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505089,CH35_gp082,CH35_gp082,MaF1660_ph0082,-,-,-,sporulation initiation inhibitor protein Soj,protein-coding,-,-,-,sporulation initiation inhibitor protein Soj,20200912,-
1327959,18505090,CH35_gp083,CH35_gp083,MaF1660_ph0083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505091,CH35_gp084,CH35_gp084,MaF1660_ph0084,-,-,-,LppP/LprE family lipoprotein,protein-coding,-,-,-,LppP/LprE family lipoprotein,20201221,-
1327959,18505092,CH35_gp085,CH35_gp085,MaF1660_ph0085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505093,CH35_gp086,CH35_gp086,MaF1660_ph0086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505094,CH35_gp087,CH35_gp087,MaF1660_ph0087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505095,CH35_gp088,CH35_gp088,MaF1660_ph0088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505096,CH35_gp089,CH35_gp089,MaF1660_ph0089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505097,CH35_gp090,CH35_gp090,MaF1660_ph0090,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1327959,18505098,CH35_gp091,CH35_gp091,MaF1660_ph0091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505099,CH35_gp092,CH35_gp092,MaF1660_ph0092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505100,CH35_gp093,CH35_gp093,MaF1660_ph0093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505101,CH35_gp094,CH35_gp094,MaF1660_ph0094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505102,CH35_gp095,CH35_gp095,MaF1660_ph0095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505103,CH35_gp096,CH35_gp096,MaF1660_ph0096,-,-,-,C40 family peptidase,protein-coding,-,-,-,C40 family peptidase,20201221,-
1327959,18505104,CH35_gp097,CH35_gp097,MaF1660_ph0097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505105,CH35_gp098,CH35_gp098,MaF1660_ph0098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505106,CH35_gp099,CH35_gp099,MaF1660_ph0099,-,-,-,PPE domain-containing protein,protein-coding,-,-,-,PPE domain-containing protein,20201221,-
1327959,18505107,CH35_gp100,CH35_gp100,MaF1660_ph0100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505108,CH35_gp101,CH35_gp101,MaF1660_ph0101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505109,CH35_gp102,CH35_gp102,MaF1660_ph0102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505110,CH35_gp103,CH35_gp103,MaF1660_ph0103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505111,CH35_gp104,CH35_gp104,MaF1660_ph0104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505112,CH35_gp105,CH35_gp105,MaF1660_ph0105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505113,CH35_gp106,CH35_gp106,MaF1660_ph0106,-,-,-,conjugal transfer protein,protein-coding,-,-,-,conjugal transfer protein,20201221,-
1327959,18505114,CH35_gp107,CH35_gp107,MaF1660_ph0107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505115,CH35_gp108,CH35_gp108,MaF1660_ph0108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505116,CH35_gp109,CH35_gp109,MaF1660_ph0109,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210320,-
1327959,18505117,CH35_gp110,CH35_gp110,MaF1660_ph0110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505118,CH35_gp111,CH35_gp111,MaF1660_ph0111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505119,CH35_gp112,CH35_gp112,MaF1660_ph0112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505120,CH35_gp113,CH35_gp113,MaF1660_ph0113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505121,CH35_gp114,CH35_gp114,MaF1660_ph0114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505122,CH35_gp115,CH35_gp115,MaF1660_ph0115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505123,CH35_gp116,CH35_gp116,MaF1660_ph0116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505124,CH35_gp117,CH35_gp117,MaF1660_ph0117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505125,CH35_gp118,CH35_gp118,MaF1660_ph0118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505126,CH35_gp119,CH35_gp119,MaF1660_ph0119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505127,CH35_gp120,CH35_gp120,MaF1660_ph0120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505128,CH35_gp121,CH35_gp121,MaF1660_ph0121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505129,CH35_gp122,CH35_gp122,MaF1660_ph0122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505130,CH35_gp123,CH35_gp123,MaF1660_ph0123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505131,CH35_gp124,CH35_gp124,MaF1660_ph0124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505132,CH35_gp125,CH35_gp125,MaF1660_ph0125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505133,CH35_gp126,CH35_gp126,MaF1660_ph0126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18505134,CH35_gp001,CH35_gp001,MaF1660_ph0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327959,18558745,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacterium abcessus subsp. bolletii mycobacteriophage Adler).,other,-,-,-,-,20200513,-
