#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2742107,60336128,2,I5J41_gp02,SEA_JUNG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210522,-
2742107,60336145,19,I5J41_gp19,SEA_JUNG_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2742107,60336146,20,I5J41_gp20,SEA_JUNG_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2742107,60336147,21,I5J41_gp21,SEA_JUNG_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2742107,60336148,22,I5J41_gp22,SEA_JUNG_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2742107,60336149,23,I5J41_gp23,SEA_JUNG_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336150,24,I5J41_gp24,SEA_JUNG_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336151,25,I5J41_gp25,SEA_JUNG_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2742107,60336152,26,I5J41_gp26,SEA_JUNG_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2742107,60336153,27,I5J41_gp27,SEA_JUNG_27,-,-,-,holin,protein-coding,-,-,-,holin,20210313,-
2742107,60336154,28,I5J41_gp28,SEA_JUNG_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2742107,60336155,29,I5J41_gp29,SEA_JUNG_29,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210522,-
2742107,60336156,30,I5J41_gp30,SEA_JUNG_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2742107,60336157,31,I5J41_gp31,SEA_JUNG_31,-,-,-,excise,protein-coding,-,-,-,excise,20210116,-
2742107,60336158,32,I5J41_gp32,SEA_JUNG_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336159,33,I5J41_gp33,SEA_JUNG_33,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210313,-
2742107,60336160,34,I5J41_gp34,SEA_JUNG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336161,35,I5J41_gp35,SEA_JUNG_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336162,36,I5J41_gp36,SEA_JUNG_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336163,37,I5J41_gp37,SEA_JUNG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2742107,60336164,38,I5J41_gp38,SEA_JUNG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336165,39,I5J41_gp39,SEA_JUNG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336166,40,I5J41_gp40,SEA_JUNG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336167,41,I5J41_gp41,SEA_JUNG_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336168,42,I5J41_gp42,SEA_JUNG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336169,43,I5J41_gp43,SEA_JUNG_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336170,44,I5J41_gp44,SEA_JUNG_44,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210417,-
2742107,60336171,45,I5J41_gp45,SEA_JUNG_45,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210522,-
2742107,60336172,46,I5J41_gp46,SEA_JUNG_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336173,47,I5J41_gp47,SEA_JUNG_47,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210522,-
2742107,60336174,48,I5J41_gp48,SEA_JUNG_48,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
2742107,60336175,49,I5J41_gp49,SEA_JUNG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336176,50,I5J41_gp50,SEA_JUNG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336177,51,I5J41_gp51,SEA_JUNG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336178,53,I5J41_gp53,SEA_JUNG_53,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201130,-
2742107,60336179,54,I5J41_gp54,SEA_JUNG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336180,55,I5J41_gp55,SEA_JUNG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2742107,60336181,57,I5J41_gp57,SEA_JUNG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336182,59,I5J41_gp59,SEA_JUNG_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2742107,60336183,61,I5J41_gp61,SEA_JUNG_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336184,62,I5J41_gp62,SEA_JUNG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336185,63,I5J41_gp63,SEA_JUNG_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201130,-
2742107,60336186,64,I5J41_gp64,SEA_JUNG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336187,65,I5J41_gp65,SEA_JUNG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336188,66,I5J41_gp66,SEA_JUNG_66,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201130,-
2742107,60336189,67,I5J41_gp67,SEA_JUNG_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336190,68,I5J41_gp68,SEA_JUNG_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336191,69,I5J41_gp69,SEA_JUNG_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336192,70,I5J41_gp70,SEA_JUNG_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336193,71,I5J41_gp71,SEA_JUNG_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336194,72,I5J41_gp72,SEA_JUNG_72,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210522,-
2742107,60336195,73,I5J41_gp73,SEA_JUNG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336196,74,I5J41_gp74,SEA_JUNG_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336197,75,I5J41_gp75,SEA_JUNG_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336198,76,I5J41_gp76,SEA_JUNG_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336199,77,I5J41_gp77,SEA_JUNG_77,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2742107,60336200,60,I5J41_gp60,SEA_JUNG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2742107,60336201,58,I5J41_gp58,SEA_JUNG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2742107,60336202,56,I5J41_gp56,SEA_JUNG_56,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210522,-
2742107,60336203,52,I5J41_gp52,SEA_JUNG_52,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201130,-
2742107,60336204,1,I5J41_gp01,SEA_JUNG_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2742107,60350533,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
