#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1176423,13405620,B621_gp02,B621_gp02,P12026_02,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201221,-
1176423,13405639,B621_gp21,B621_gp21,P12026_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405640,B621_gp22,B621_gp22,P12026_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405641,B621_gp23,B621_gp23,P12026_23,-,-,-,putative N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,putative N-acetylmuramoyl-L-alanine amidase,20201221,-
1176423,13405642,B621_gp24,B621_gp24,P12026_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405643,B621_gp25,B621_gp25,P12026_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405644,B621_gp26,B621_gp26,P12026_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405645,B621_gp27,B621_gp27,P12026_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405646,B621_gp28,B621_gp28,P12026_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405647,B621_gp29,B621_gp29,P12026_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405648,B621_gp30,B621_gp30,P12026_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405649,B621_gp31,B621_gp31,P12026_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405650,B621_gp32,B621_gp32,P12026_32,-,-,-,putative DNA modification methylase,protein-coding,-,-,-,putative DNA modification methylase,20201221,-
1176423,13405651,B621_gp33,B621_gp33,P12026_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405652,B621_gp34,B621_gp34,P12026_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405653,B621_gp35,B621_gp35,P12026_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405654,B621_gp36,B621_gp36,P12026_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405655,B621_gp37,B621_gp37,P12026_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405656,B621_gp38,B621_gp38,P12026_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405657,B621_gp39,B621_gp39,P12026_39,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20201221,-
1176423,13405658,B621_gp40,B621_gp40,P12026_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405659,B621_gp41,B621_gp41,P12026_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405660,B621_gp42,B621_gp42,P12026_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405661,B621_gp43,B621_gp43,P12026_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405662,B621_gp44,B621_gp44,P12026_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405663,B621_gp45,B621_gp45,P12026_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405664,B621_gp46,B621_gp46,P12026_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405665,B621_gp47,B621_gp47,P12026_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405666,B621_gp48,B621_gp48,P12026_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405667,B621_gp49,B621_gp49,P12026_49,-,-,-,RecT protein,protein-coding,-,-,-,RecT protein,20201221,-
1176423,13405668,B621_gp50,B621_gp50,P12026_50,-,-,-,phage exonuclease,protein-coding,-,-,-,phage exonuclease,20201221,-
1176423,13405669,B621_gp51,B621_gp51,P12026_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405670,B621_gp52,B621_gp52,P12026_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405671,B621_gp53,B621_gp53,P12026_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405672,B621_gp54,B621_gp54,P12026_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1176423,13405673,B621_gp01,B621_gp01,P12026_01,-,-,-,"putative phage terminase, small subunit",protein-coding,-,-,-,"putative phage terminase, small subunit",20201221,-
1176423,13436190,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
