#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656562,64868915,2,KIP53_gp002,SEA_BLINN1_2,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210522,-
2656562,64868961,49,KIP53_gp060,SEA_BLINN1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868962,50,KIP53_gp059,SEA_BLINN1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868963,51,KIP53_gp058,SEA_BLINN1_51,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210514,-
2656562,64868964,52,KIP53_gp057,SEA_BLINN1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868965,53,KIP53_gp056,SEA_BLINN1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868966,54,KIP53_gp055,SEA_BLINN1_54,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210514,-
2656562,64868967,55,KIP53_gp054,SEA_BLINN1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868968,56,KIP53_gp053,SEA_BLINN1_56,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210514,-
2656562,64868969,57,KIP53_gp052,SEA_BLINN1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2656562,64868970,58,KIP53_gp051,SEA_BLINN1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868971,59,KIP53_gp050,SEA_BLINN1_59,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210514,-
2656562,64868972,60,KIP53_gp049,SEA_BLINN1_60,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210514,-
2656562,64868973,61,KIP53_gp048,SEA_BLINN1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868974,62,KIP53_gp047,SEA_BLINN1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868975,63,KIP53_gp046,SEA_BLINN1_63,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210514,-
2656562,64868976,64,KIP53_gp045,SEA_BLINN1_64,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210514,-
2656562,64868977,66,KIP53_gp043,SEA_BLINN1_66,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210514,-
2656562,64868978,67,KIP53_gp042,SEA_BLINN1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868979,68,KIP53_gp041,SEA_BLINN1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868980,69,KIP53_gp040,SEA_BLINN1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868981,70,KIP53_gp039,SEA_BLINN1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868982,71,KIP53_gp038,SEA_BLINN1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868983,72,KIP53_gp037,SEA_BLINN1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868984,73,KIP53_gp036,SEA_BLINN1_73,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210514,-
2656562,64868985,74,KIP53_gp035,SEA_BLINN1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868986,75,KIP53_gp034,SEA_BLINN1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868987,76,KIP53_gp033,SEA_BLINN1_76,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210514,-
2656562,64868988,77,KIP53_gp032,SEA_BLINN1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868989,78,KIP53_gp031,SEA_BLINN1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868990,79,KIP53_gp030,SEA_BLINN1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868991,80,KIP53_gp029,SEA_BLINN1_80,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210514,-
2656562,64868992,81,KIP53_gp028,SEA_BLINN1_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868993,82,KIP53_gp027,SEA_BLINN1_82,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210514,-
2656562,64868994,83,KIP53_gp026,SEA_BLINN1_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868995,84,KIP53_gp025,SEA_BLINN1_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868996,85,KIP53_gp024,SEA_BLINN1_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868997,86,KIP53_gp023,SEA_BLINN1_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868998,87,KIP53_gp022,SEA_BLINN1_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64868999,88,KIP53_gp021,SEA_BLINN1_88,-,-,-,SprT-like protease,protein-coding,-,-,-,SprT-like protease,20210514,-
2656562,64869000,89,KIP53_gp020,SEA_BLINN1_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869001,90,KIP53_gp019,SEA_BLINN1_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869002,91,KIP53_gp018,SEA_BLINN1_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869003,92,KIP53_gp017,SEA_BLINN1_92,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210514,-
2656562,64869004,93,KIP53_gp016,SEA_BLINN1_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869005,94,KIP53_gp015,SEA_BLINN1_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869006,95,KIP53_gp014,SEA_BLINN1_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869007,96,KIP53_gp013,SEA_BLINN1_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869008,97,KIP53_gp012,SEA_BLINN1_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869009,98,KIP53_gp011,SEA_BLINN1_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869010,99,KIP53_gp010,SEA_BLINN1_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869011,100,KIP53_gp009,SEA_BLINN1_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64869012,5,KIP53_gp005,SEA_BLINN1_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210514,-
2656562,64869013,38,KIP53_gp071,SEA_BLINN1_38,-,-,-,ParA-like dsDNA partitioning protein,protein-coding,-,-,-,ParA-like dsDNA partitioning protein,20210514,-
2656562,64869014,65,KIP53_gp044,SEA_BLINN1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2656562,64953923,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210517,-
