#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089136,18566270,2,CL95_gp002,JACATTAC_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1089136,18566313,45,CL95_gp045,JACATTAC_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1089136,18566314,46,CL95_gp046,JACATTAC_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566315,47,CL95_gp047,JACATTAC_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566316,48,CL95_gp048,JACATTAC_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566317,49,CL95_gp049,JACATTAC_49,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
1089136,18566318,50,CL95_gp050,JACATTAC_50,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1089136,18566319,51,CL95_gp051,JACATTAC_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566320,52,CL95_gp052,JACATTAC_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566321,53,CL95_gp053,JACATTAC_53,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1089136,18566322,54,CL95_gp054,JACATTAC_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566323,55,CL95_gp055,JACATTAC_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566324,56,CL95_gp056,JACATTAC_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566325,57,CL95_gp057,JACATTAC_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566326,58,CL95_gp058,JACATTAC_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566327,59,CL95_gp059,JACATTAC_59,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1089136,18566328,60,CL95_gp060,JACATTAC_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566329,61,CL95_gp061,JACATTAC_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566330,62,CL95_gp062,JACATTAC_62,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1089136,18566331,63,CL95_gp063,JACATTAC_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566332,64,CL95_gp064,JACATTAC_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566333,65,CL95_gp065,JACATTAC_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566334,66,CL95_gp066,JACATTAC_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566335,67,CL95_gp067,JACATTAC_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566336,68,CL95_gp068,JACATTAC_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566337,69,CL95_gp069,JACATTAC_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566338,70,CL95_gp070,JACATTAC_70,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210123,-
1089136,18566339,71,CL95_gp071,JACATTAC_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566340,72,CL95_gp072,JACATTAC_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566341,73,CL95_gp073,JACATTAC_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1089136,18566342,74,CL95_gp074,JACATTAC_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566343,75,CL95_gp075,JACATTAC_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566344,76,CL95_gp076,JACATTAC_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566345,77,CL95_gp077,JACATTAC_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566346,78,CL95_gp078,JACATTAC_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566347,79,CL95_gp079,JACATTAC_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566348,80,CL95_gp080,JACATTAC_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1089136,18566349,81,CL95_gp081,JACATTAC_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566350,82,CL95_gp082,JACATTAC_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566351,83,CL95_gp083,JACATTAC_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566352,84,CL95_gp084,JACATTAC_84,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1089136,18566353,85,CL95_gp085,JACATTAC_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566354,86,CL95_gp086,JACATTAC_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566355,87,CL95_gp087,JACATTAC_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566356,88,CL95_gp088,JACATTAC_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566357,89,CL95_gp089,JACATTAC_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566358,90,CL95_gp090,JACATTAC_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566359,91,CL95_gp091,JACATTAC_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566360,92,CL95_gp092,JACATTAC_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566361,93,CL95_gp093,JACATTAC_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566362,94,CL95_gp094,JACATTAC_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566363,95,CL95_gp095,JACATTAC_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566364,96,CL95_gp096,JACATTAC_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566365,97,CL95_gp097,JACATTAC_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566366,98,CL95_gp098,JACATTAC_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566367,99,CL95_gp099,JACATTAC_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566368,100,CL95_gp100,JACATTAC_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566369,101,CL95_gp101,JACATTAC_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566370,102,CL95_gp102,JACATTAC_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089136,18566371,1,CL95_gp001,JACATTAC_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210129,-
1089136,18669609,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage JacAttac).,other,-,-,-,-,20200513,-
