#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527515,22157808,PR08_gp02,PR08_gp02,M22_002,-,-,-,putative large terminase,protein-coding,-,-,-,putative large terminase,20201221,-
1527515,22157830,PR08_gp24,PR08_gp24,M22_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157831,PR08_gp25,PR08_gp25,M22_025,-,-,-,putative DUF1789 domain protein,protein-coding,-,-,-,putative DUF1789 domain protein,20201221,-
1527515,22157832,PR08_gp26,PR08_gp26,M22_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157833,PR08_gp27,PR08_gp27,M22_027,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20201221,-
1527515,22157834,PR08_gp28,PR08_gp28,M22_028,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1527515,22157835,PR08_gp29,PR08_gp29,M22_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157836,PR08_gp30,PR08_gp30,M22_030,-,-,-,putative NlpC/P60 hydrolase family protein,protein-coding,-,-,-,putative NlpC/P60 hydrolase family protein,20201221,-
1527515,22157837,PR08_gp31,PR08_gp31,M22_031,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1527515,22157838,PR08_gp32,PR08_gp32,M22_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157839,PR08_gp33,PR08_gp33,M22_033,-,-,-,putative phosphodiesterase/alkaline phosphatase,protein-coding,-,-,-,putative phosphodiesterase/alkaline phosphatase,20201221,-
1527515,22157840,PR08_gp34,PR08_gp34,M22_034,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20201221,-
1527515,22157841,PR08_gp35,PR08_gp35,M22_035,-,-,-,putative holin protein,protein-coding,-,-,-,putative holin protein,20201221,-
1527515,22157842,PR08_gp36,PR08_gp36,M22_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157843,PR08_gp37,PR08_gp37,M22_037,-,-,-,putative Rz-1-like protein,protein-coding,-,-,-,putative Rz-1-like protein,20201221,-
1527515,22157844,PR08_gp38,PR08_gp38,M22_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157845,PR08_gp39,PR08_gp39,M22_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157846,PR08_gp40,PR08_gp40,M22_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157847,PR08_gp41,PR08_gp41,M22_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157848,PR08_gp42,PR08_gp42,M22_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157849,PR08_gp43,PR08_gp43,M22_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157850,PR08_gp44,PR08_gp44,M22_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157851,PR08_gp45,PR08_gp45,M22_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157852,PR08_gp46,PR08_gp46,M22_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157853,PR08_gp47,PR08_gp47,M22_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157854,PR08_gp48,PR08_gp48,M22_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157855,PR08_gp49,PR08_gp49,M22_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157856,PR08_gp50,PR08_gp50,M22_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157857,PR08_gp51,PR08_gp51,M22_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157858,PR08_gp52,PR08_gp52,M22_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157859,PR08_gp53,PR08_gp53,M22_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157860,PR08_gp54,PR08_gp54,M22_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157861,PR08_gp55,PR08_gp55,M22_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157862,PR08_gp56,PR08_gp56,M22_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157863,PR08_gp57,PR08_gp57,M22_057,-,-,-,putative VRR-DNA nuclease,protein-coding,-,-,-,putative VRR-DNA nuclease,20201221,-
1527515,22157864,PR08_gp58,PR08_gp58,M22_058,-,-,-,putative ATP-dependent DNA helicase,protein-coding,-,-,-,putative ATP-dependent DNA helicase,20201221,-
1527515,22157865,PR08_gp59,PR08_gp59,M22_059,-,-,-,putative Yqaj-like alkaline DNA exonuclease,protein-coding,-,-,-,putative Yqaj-like alkaline DNA exonuclease,20201221,-
1527515,22157866,PR08_gp60,PR08_gp60,M22_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157867,PR08_gp61,PR08_gp61,M22_061,-,-,-,putative ssDNA annealing protein,protein-coding,-,-,-,putative ssDNA annealing protein,20201221,-
1527515,22157868,PR08_gp62,PR08_gp62,M22_062,-,-,-,putative RecA-like NTPase,protein-coding,-,-,-,putative RecA-like NTPase,20201221,-
1527515,22157869,PR08_gp64,PR08_gp64,M22_064,-,-,-,putative bifunctional DNA primase/polymerase,protein-coding,-,-,-,putative bifunctional DNA primase/polymerase,20201221,-
1527515,22157870,PR08_gp63,PR08_gp63,M22_063,-,-,-,putative HTH-XRE transcriptional regulator,protein-coding,-,-,-,putative HTH-XRE transcriptional regulator,20201221,-
1527515,22157871,PR08_gp65,PR08_gp65,M22_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527515,22157872,PR08_gp01,PR08_gp01,M22_001,-,-,-,putative small terminase,protein-coding,-,-,-,putative small terminase,20201221,-
1527515,22220224,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Idiomarinacea bacterium bacteriophage Phi1M2-2; Idiomarinacea bacterium phage Phi1M2-2).,other,-,-,-,-,20200513,-
