#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1262533,16385382,HYO71_gp02,HYO71_gp02,340_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200703,-
1262533,16385400,HYO71_gp20,HYO71_gp20,340_0020,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20200703,-
1262533,16385401,HYO71_gp21,HYO71_gp21,340_0021,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200703,-
1262533,16385402,HYO71_gp22,HYO71_gp22,340_0022,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200703,-
1262533,16385403,HYO71_gp23,HYO71_gp23,340_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385404,HYO71_gp24,HYO71_gp24,340_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385405,HYO71_gp25,HYO71_gp25,340_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385406,HYO71_gp26,HYO71_gp26,340_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385407,HYO71_gp27,HYO71_gp27,340_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385408,HYO71_gp28,HYO71_gp28,340_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385409,HYO71_gp29,HYO71_gp29,340_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385410,HYO71_gp30,HYO71_gp30,340_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385411,HYO71_gp31,HYO71_gp31,340_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385412,HYO71_gp32,HYO71_gp32,340_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385413,HYO71_gp33,HYO71_gp33,340_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385414,HYO71_gp34,HYO71_gp34,340_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385415,HYO71_gp35,HYO71_gp35,340_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385416,HYO71_gp36,HYO71_gp36,340_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385417,HYO71_gp37,HYO71_gp37,340_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385418,HYO71_gp38,HYO71_gp38,340_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385419,HYO71_gp39,HYO71_gp39,340_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385420,HYO71_gp40,HYO71_gp40,340_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385421,HYO71_gp41,HYO71_gp41,340_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385422,HYO71_gp42,HYO71_gp42,340_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385423,HYO71_gp43,HYO71_gp43,340_0043,-,-,-,putative sak protein,protein-coding,-,-,-,putative sak protein,20200703,-
1262533,16385424,HYO71_gp44,HYO71_gp44,340_0044,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200703,-
1262533,16385425,HYO71_gp45,HYO71_gp45,340_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385426,HYO71_gp46,HYO71_gp46,340_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385427,HYO71_gp47,HYO71_gp47,340_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385428,HYO71_gp48,HYO71_gp48,340_0048,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200703,-
1262533,16385429,HYO71_gp49,HYO71_gp49,340_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385430,HYO71_gp50,HYO71_gp50,340_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385431,HYO71_gp51,HYO71_gp51,340_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385432,HYO71_gp52,HYO71_gp52,340_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385433,HYO71_gp53,HYO71_gp53,340_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385434,HYO71_gp54,HYO71_gp54,340_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385435,HYO71_gp55,HYO71_gp55,340_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385436,HYO71_gp56,HYO71_gp56,340_0056,-,-,-,putative holliday junction endonuclease,protein-coding,-,-,-,putative holliday junction endonuclease,20200703,-
1262533,16385437,HYO71_gp57,HYO71_gp57,340_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385438,HYO71_gp58,HYO71_gp58,340_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262533,16385439,HYO71_gp01,HYO71_gp01,340_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200703,-
1262533,16545706,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis phage 340).,other,-,-,-,-,20200513,-
