#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445683,10327157,SShM2_002,SShM2_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
445683,10327177,SShM2_022,SShM2_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327178,SShM2_023,SShM2_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327179,SShM2_024,SShM2_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327180,SShM2_025,SShM2_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327181,SShM2_026,SShM2_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327182,talC,SShM2_027,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20200909,-
445683,10327183,SShM2_028,SShM2_028,-,-,-,-,tryptophan halogenase,protein-coding,-,-,-,tryptophan halogenase,20200909,-
445683,10327184,SShM2_029,SShM2_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327185,SShM2_030,SShM2_030,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
445683,10327186,SShM2_031,SShM2_031,-,-,-,-,fiber,protein-coding,-,-,-,fiber,20200909,-
445683,10327187,SShM2_032,SShM2_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327188,SShM2_033,SShM2_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327189,SShM2_034,SShM2_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327190,SShM2_035,SShM2_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327191,SShM2_036,SShM2_036,-,-,-,-,sericin 1 precursor-like protein,protein-coding,-,-,-,sericin 1 precursor-like protein,20200909,-
445683,10327192,SShM2_037,SShM2_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327193,SShM2_038,SShM2_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327194,SShM2_039,SShM2_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327195,SShM2_040,SShM2_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327196,SShM2_041,SShM2_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327197,SShM2_042,SShM2_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327198,petE,SShM2_043,-,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20200909,-
445683,10327199,gnd,SShM2_044,-,-,-,-,6-phosphogluconate dehydrogenase,protein-coding,-,-,-,6-phosphogluconate dehydrogenase,20200909,-
445683,10327200,SShM2_045,SShM2_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327201,SShM2_046,SShM2_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327202,SShM2_047,SShM2_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327203,SShM2_048,SShM2_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327204,SShM2_049,SShM2_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327205,SShM2_050,SShM2_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327206,SShM2_051,SShM2_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327207,SShM2_052,SShM2_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327208,SShM2_053,SShM2_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327209,SShM2_054,SShM2_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327210,SShM2_055,SShM2_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327211,SShM2_056,SShM2_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327212,SShM2_057,SShM2_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327213,SShM2_058,SShM2_058,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
445683,10327214,SShM2_059,SShM2_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327215,SShM2_060,SShM2_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327216,SShM2_061,SShM2_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327217,SShM2_062,SShM2_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327218,SShM2_063,SShM2_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327219,SShM2_064,SShM2_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327220,SShM2_065,SShM2_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327221,SShM2_066,SShM2_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327222,SShM2_067,SShM2_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327223,SShM2_068,SShM2_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327224,SShM2_069,SShM2_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327225,SShM2_070,SShM2_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327226,SShM2_071,SShM2_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327227,SShM2_072,SShM2_072,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20200909,-
445683,10327228,SShM2_073,SShM2_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327229,SShM2_074,SShM2_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327230,SShM2_075,SShM2_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327231,SShM2_076,SShM2_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327232,SShM2_077,SShM2_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327233,SShM2_078,SShM2_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327234,SShM2_079,SShM2_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327235,SShM2_080,SShM2_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327236,SShM2_081,SShM2_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327237,SShM2_082,SShM2_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327238,SShM2_083,SShM2_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327239,SShM2_084,SShM2_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327240,SShM2_085,SShM2_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327241,SShM2_086,SShM2_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327242,SShM2_087,SShM2_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327243,SShM2_088,SShM2_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327244,SShM2_089,SShM2_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327245,SShM2_090,SShM2_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327246,gp25,SShM2_091,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20200909,-
445683,10327247,gp6,SShM2_092,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
445683,10327248,SShM2_093,SShM2_093,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
445683,10327249,gp7,SShM2_094,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200909,-
445683,10327250,SShM2_095,SShM2_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327251,gp9,SShM2_096,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200909,-
445683,10327252,SShM2_097,SShM2_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327253,gp8,SShM2_098,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
445683,10327254,SShM2_099,SShM2_099,-,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20200909,-
445683,10327255,SShM2_100,SShM2_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327256,SShM2_101,SShM2_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327257,SShM2_102,SShM2_102,-,-,-,-,YadA domain-containing structural protein,protein-coding,-,-,-,YadA domain-containing structural protein,20200909,-
445683,10327258,gp13,SShM2_103,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445683,10327259,gp14,SShM2_104,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445683,10327260,gp15,SShM2_105,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20200909,-
445683,10327261,gp16,SShM2_106,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200909,-
445683,10327262,SShM2_107,SShM2_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327263,SShM2_108,SShM2_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327264,SShM2_109,SShM2_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327265,SShM2_110,SShM2_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327266,SShM2_111,SShM2_111,-,-,-,-,plasmid stability protein,protein-coding,-,-,-,plasmid stability protein,20200909,-
445683,10327267,SShM2_112,SShM2_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327268,SShM2_113,SShM2_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327269,SShM2_114,SShM2_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327270,gp17,SShM2_115,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200909,-
445683,10327271,gp17,SShM2_116,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200909,-
445683,10327272,gp18,SShM2_117,-,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20200909,-
445683,10327273,gp18,SShM2_118,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200909,-
445683,10327274,gp19,SShM2_119,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200909,-
445683,10327275,gp20,SShM2_120,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200909,-
445683,10327276,SShM2_121,SShM2_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327277,gp21,SShM2_122,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200909,-
445683,10327278,gp22,SShM2_123,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20200909,-
445683,10327279,gp23,SShM2_124,-,-,-,-,precursor of major head subunit,protein-coding,-,-,-,precursor of major head subunit,20200909,-
445683,10327280,gp3,SShM2_125,-,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,protein-coding,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,20200909,-
445683,10327281,SShM2_126,SShM2_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327282,SShM2_127,SShM2_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327283,uvsY,SShM2_128,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20200909,-
445683,10327284,SShM2_129,SShM2_129,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445683,10327285,uvsW,SShM2_130,-,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20200909,-
445683,10327286,SShM2_131,SShM2_131,-,-,-,-,methylamine utilization protein,protein-coding,-,-,-,methylamine utilization protein,20200909,-
445683,10327287,SShM2_132,SShM2_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327288,gp55,SShM2_133,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200909,-
445683,10327289,gp47,SShM2_134,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445683,10327290,SShM2_135,SShM2_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327291,gp46,SShM2_136,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445683,10327292,SShM2_137,SShM2_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327293,SShM2_138,SShM2_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327294,SShM2_139,SShM2_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327295,SShM2_140,SShM2_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327296,SShM2_141,SShM2_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327297,SShM2_142,SShM2_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327298,SShM2_143,SShM2_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327299,SShM2_144,SShM2_144,-,-,-,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,protein-coding,-,-,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,20200909,-
445683,10327300,SShM2_145,SShM2_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327301,SShM2_146,SShM2_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327302,SShM2_147,SShM2_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327303,SShM2_148,SShM2_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327304,SShM2_149,SShM2_149,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200909,-
445683,10327305,nrdC,SShM2_150,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
445683,10327306,cobS,SShM2_151,-,-,-,-,putative cobalt chelatase subunit CobS,protein-coding,-,-,-,putative cobalt chelatase subunit CobS,20200909,-
445683,10327307,SShM2_152,SShM2_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327308,gp45,SShM2_153,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200909,-
445683,10327309,SShM2_154,SShM2_154,-,-,-,-,ferrochelatase,protein-coding,-,-,-,ferrochelatase,20200909,-
445683,10327310,SShM2_155,SShM2_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327311,gp44,SShM2_156,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445683,10327312,dam,SShM2_157,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
445683,10327313,gp62,SShM2_158,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445683,10327314,regA,SShM2_159,-,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200909,-
445683,10327315,SShM2_160,SShM2_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327316,SShM2_161,SShM2_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327317,SShM2_162,SShM2_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327318,SShM2_163,SShM2_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327319,SShM2_164,SShM2_164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327320,SShM2_165,SShM2_165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327321,hsp20,SShM2_166,-,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200909,-
445683,10327322,SShM2_167,SShM2_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327323,SShM2_168,SShM2_168,-,-,-,-,DUF1583 domain-containing protein,protein-coding,-,-,-,DUF1583 domain-containing protein,20200909,-
445683,10327324,SShM2_169,SShM2_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327325,SShM2_170,SShM2_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327326,gp43,SShM2_171,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
445683,10327327,uvsX,SShM2_172,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20200909,-
445683,10327328,SShM2_173,SShM2_173,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445683,10327329,gp41,SShM2_174,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20200909,-
445683,10327330,mazG,SShM2_175,-,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20200909,-
445683,10327331,SShM2_176,SShM2_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327332,SShM2_177,SShM2_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327333,SShM2_178,SShM2_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327334,SShM2_179,SShM2_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327335,SShM2_180,SShM2_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327336,SShM2_181,SShM2_181,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20200909,-
445683,10327337,SShM2_182,SShM2_182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327338,SShM2_183,SShM2_183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327339,SShM2_184,SShM2_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327340,SShM2_185,SShM2_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327341,SShM2_186,SShM2_186,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200909,-
445683,10327342,SShM2_187,SShM2_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327343,SShM2_188,SShM2_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327344,SShM2_189,SShM2_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327345,gp61,SShM2_190,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200909,-
445683,10327346,nrdA,SShM2_191,-,-,-,-,ribonucleotide reductase class Ia alpha subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia alpha subunit,20200909,-
445683,10327347,nrdB,SShM2_192,-,-,-,-,ribonucleotide reductase class Ia beta subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia beta subunit,20200909,-
445683,10327348,SShM2_193,SShM2_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327349,SShM2_194,SShM2_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327350,SShM2_195,SShM2_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327351,SShM2_196,SShM2_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327352,SShM2_197,SShM2_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327353,SShM2_198,SShM2_198,-,-,-,-,NAD synthetase,protein-coding,-,-,-,NAD synthetase,20200909,-
445683,10327354,SShM2_199,SShM2_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327355,SShM2_200,SShM2_200,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445683,10327356,gp59,SShM2_001,-,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20200909,-
445683,10327357,SShM2_202,SShM2_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327358,SShM2_203,SShM2_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327359,SShM2_204,SShM2_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327360,SShM2_205,SShM2_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327361,SShM2_206,SShM2_206,-,-,-,-,antioxidant protein,protein-coding,-,-,-,antioxidant protein,20200909,-
445683,10327362,hli03,SShM2_207,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445683,10327363,SShM2_208,SShM2_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327364,SShM2_209,SShM2_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327365,SShM2_210,SShM2_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327366,psbA,SShM2_211,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20200909,-
445683,10327367,SShM2_212,SShM2_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445683,10327368,psbD,SShM2_213,-,-,-,-,photosystem II D2 protein,protein-coding,-,-,-,photosystem II D2 protein,20200909,-
445683,10327369,SShM2_214,SShM2_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
