#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743905,63910582,2,KDI96_gp02,SEA_GISSELLE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210605,-
2743905,63910604,24,KDI96_gp24,SEA_GISSELLE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910605,25,KDI96_gp25,SEA_GISSELLE_25,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210515,-
2743905,63910606,26,KDI96_gp26,SEA_GISSELLE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910607,27,KDI96_gp27,SEA_GISSELLE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910608,28,KDI96_gp28,SEA_GISSELLE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910609,29,KDI96_gp29,SEA_GISSELLE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910610,30,KDI96_gp30,SEA_GISSELLE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910611,31,KDI96_gp31,SEA_GISSELLE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910612,32,KDI96_gp32,SEA_GISSELLE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910613,33,KDI96_gp33,SEA_GISSELLE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910614,34,KDI96_gp34,SEA_GISSELLE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910615,35,KDI96_gp35,SEA_GISSELLE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910616,36,KDI96_gp36,SEA_GISSELLE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910617,37,KDI96_gp37,SEA_GISSELLE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2743905,63910618,38,KDI96_gp38,SEA_GISSELLE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910619,39,KDI96_gp39,SEA_GISSELLE_39,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210605,-
2743905,63910620,40,KDI96_gp40,SEA_GISSELLE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910621,41,KDI96_gp41,SEA_GISSELLE_41,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210420,-
2743905,63910622,42,KDI96_gp42,SEA_GISSELLE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910623,43,KDI96_gp43,SEA_GISSELLE_43,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210515,-
2743905,63910624,44,KDI96_gp44,SEA_GISSELLE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910625,45,KDI96_gp45,SEA_GISSELLE_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210515,-
2743905,63910626,46,KDI96_gp46,SEA_GISSELLE_46,-,-,-,PurA-like adenylosuccinate synthetase,protein-coding,-,-,-,PurA-like adenylosuccinate synthetase,20210515,-
2743905,63910627,47,KDI96_gp47,SEA_GISSELLE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2743905,63910628,48,KDI96_gp48,SEA_GISSELLE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910629,49,KDI96_gp49,SEA_GISSELLE_49,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210515,-
2743905,63910630,50,KDI96_gp50,SEA_GISSELLE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910631,51,KDI96_gp51,SEA_GISSELLE_51,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210420,-
2743905,63910632,52,KDI96_gp52,SEA_GISSELLE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910633,53,KDI96_gp53,SEA_GISSELLE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910634,54,KDI96_gp54,SEA_GISSELLE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910635,55,KDI96_gp55,SEA_GISSELLE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910636,56,KDI96_gp56,SEA_GISSELLE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910637,57,KDI96_gp57,SEA_GISSELLE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910638,58,KDI96_gp58,SEA_GISSELLE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910639,59,KDI96_gp59,SEA_GISSELLE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910640,60,KDI96_gp60,SEA_GISSELLE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,63910641,61,KDI96_gp61,SEA_GISSELLE_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
2743905,63910642,1,KDI96_gp01,SEA_GISSELLE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743905,64409767,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
