#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762421,65127828,2,KNV18_gp02,SEA_HEATH_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20210608,-
2762421,65127871,48,KNV18_gp48,SEA_HEATH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127872,49,KNV18_gp49,SEA_HEATH_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127873,50,KNV18_gp50,SEA_HEATH_50,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210608,-
2762421,65127874,51,KNV18_gp51,SEA_HEATH_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127875,52,KNV18_gp52,SEA_HEATH_52,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210608,-
2762421,65127876,53,KNV18_gp53,SEA_HEATH_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127877,54,KNV18_gp54,SEA_HEATH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127878,55,KNV18_gp55,SEA_HEATH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127879,56,KNV18_gp56,SEA_HEATH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127880,57,KNV18_gp57,SEA_HEATH_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127881,58,KNV18_gp58,SEA_HEATH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127882,59,KNV18_gp59,SEA_HEATH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127883,60,KNV18_gp60,SEA_HEATH_60,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210608,-
2762421,65127884,62,KNV18_gp62,SEA_HEATH_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127885,63,KNV18_gp63,SEA_HEATH_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127886,64,KNV18_gp64,SEA_HEATH_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127887,65,KNV18_gp65,SEA_HEATH_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127888,66,KNV18_gp66,SEA_HEATH_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127889,67,KNV18_gp67,SEA_HEATH_67,-,-,-,RNaseE,protein-coding,-,-,-,RNaseE,20210608,-
2762421,65127890,68,KNV18_gp68,SEA_HEATH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127891,69,KNV18_gp69,SEA_HEATH_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127892,70,KNV18_gp70,SEA_HEATH_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127893,71,KNV18_gp71,SEA_HEATH_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127894,72,KNV18_gp72,SEA_HEATH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127895,73,KNV18_gp73,SEA_HEATH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127896,74,KNV18_gp74,SEA_HEATH_74,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210608,-
2762421,65127897,75,KNV18_gp75,SEA_HEATH_75,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762421,65127898,76,KNV18_gp76,SEA_HEATH_76,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2762421,65127899,77,KNV18_gp77,SEA_HEATH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127900,78,KNV18_gp78,SEA_HEATH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127901,79,KNV18_gp79,SEA_HEATH_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127902,80,KNV18_gp80,SEA_HEATH_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127903,82,KNV18_gp82,SEA_HEATH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127904,83,KNV18_gp83,SEA_HEATH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127905,84,KNV18_gp84,SEA_HEATH_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127906,85,KNV18_gp85,SEA_HEATH_85,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762421,65127907,86,KNV18_gp86,SEA_HEATH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127908,87,KNV18_gp87,SEA_HEATH_87,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762421,65127909,88,KNV18_gp88,SEA_HEATH_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127910,89,KNV18_gp89,SEA_HEATH_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127911,90,KNV18_gp90,SEA_HEATH_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127912,91,KNV18_gp91,SEA_HEATH_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127913,3,KNV18_gp03,SEA_HEATH_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127914,5,KNV18_gp05,SEA_HEATH_5,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2762421,65127915,31,KNV18_gp31,SEA_HEATH_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127916,61,KNV18_gp61,SEA_HEATH_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127917,81,KNV18_gp81,SEA_HEATH_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762421,65127918,1,KNV18_gp01,SEA_HEATH_1,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210608,-
2762421,65243503,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
