#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517944,60327218,2,I5H25_gp002,SEA_CORNUCOPIA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2517944,60327246,30,I5H25_gp030,SEA_CORNUCOPIA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327247,31,I5H25_gp031,SEA_CORNUCOPIA_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2517944,60327248,32,I5H25_gp032,SEA_CORNUCOPIA_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2517944,60327249,33,I5H25_gp033,SEA_CORNUCOPIA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2517944,60327250,34,I5H25_gp034,SEA_CORNUCOPIA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2517944,60327251,35,I5H25_gp035,SEA_CORNUCOPIA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327252,36,I5H25_gp036,SEA_CORNUCOPIA_36,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
2517944,60327253,37,I5H25_gp037,SEA_CORNUCOPIA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327254,38,I5H25_gp038,SEA_CORNUCOPIA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327255,39,I5H25_gp039,SEA_CORNUCOPIA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327256,40,I5H25_gp040,SEA_CORNUCOPIA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327257,41,I5H25_gp041,SEA_CORNUCOPIA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327258,42,I5H25_gp042,SEA_CORNUCOPIA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327259,43,I5H25_gp043,SEA_CORNUCOPIA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327260,44,I5H25_gp044,SEA_CORNUCOPIA_44,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2517944,60327261,45,I5H25_gp045,SEA_CORNUCOPIA_45,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2517944,60327262,46,I5H25_gp046,SEA_CORNUCOPIA_46,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
2517944,60327263,47,I5H25_gp047,SEA_CORNUCOPIA_47,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2517944,60327264,48,I5H25_gp048,SEA_CORNUCOPIA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327265,49,I5H25_gp049,SEA_CORNUCOPIA_49,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2517944,60327266,50,I5H25_gp050,SEA_CORNUCOPIA_50,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20201203,-
2517944,60327267,51,I5H25_gp051,SEA_CORNUCOPIA_51,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2517944,60327268,52,I5H25_gp052,SEA_CORNUCOPIA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327269,53,I5H25_gp053,SEA_CORNUCOPIA_53,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2517944,60327270,54,I5H25_gp054,SEA_CORNUCOPIA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327271,55,I5H25_gp055,SEA_CORNUCOPIA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327272,56,I5H25_gp056,SEA_CORNUCOPIA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327273,57,I5H25_gp057,SEA_CORNUCOPIA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327274,58,I5H25_gp058,SEA_CORNUCOPIA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517944,60327275,59,I5H25_gp059,SEA_CORNUCOPIA_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2517944,60327276,60,I5H25_gp060,SEA_CORNUCOPIA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2517944,60327277,61,I5H25_gp061,SEA_CORNUCOPIA_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2517944,60327278,62,I5H25_gp062,SEA_CORNUCOPIA_62,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2517944,60327279,63,I5H25_gp063,SEA_CORNUCOPIA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327280,64,I5H25_gp064,SEA_CORNUCOPIA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327281,65,I5H25_gp065,SEA_CORNUCOPIA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327282,66,I5H25_gp066,SEA_CORNUCOPIA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517944,60327283,67,I5H25_gp067,SEA_CORNUCOPIA_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2517944,60327284,68,I5H25_gp068,SEA_CORNUCOPIA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327285,69,I5H25_gp069,SEA_CORNUCOPIA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327286,70,I5H25_gp070,SEA_CORNUCOPIA_70,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2517944,60327287,71,I5H25_gp071,SEA_CORNUCOPIA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327288,72,I5H25_gp072,SEA_CORNUCOPIA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327289,73,I5H25_gp073,SEA_CORNUCOPIA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327290,74,I5H25_gp074,SEA_CORNUCOPIA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327291,75,I5H25_gp075,SEA_CORNUCOPIA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327292,76,I5H25_gp076,SEA_CORNUCOPIA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327293,77,I5H25_gp077,SEA_CORNUCOPIA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327294,78,I5H25_gp078,SEA_CORNUCOPIA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327295,79,I5H25_gp079,SEA_CORNUCOPIA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327296,80,I5H25_gp080,SEA_CORNUCOPIA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327297,81,I5H25_gp081,SEA_CORNUCOPIA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327298,82,I5H25_gp082,SEA_CORNUCOPIA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327299,83,I5H25_gp083,SEA_CORNUCOPIA_83,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2517944,60327300,84,I5H25_gp084,SEA_CORNUCOPIA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327301,85,I5H25_gp085,SEA_CORNUCOPIA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327302,86,I5H25_gp086,SEA_CORNUCOPIA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327303,87,I5H25_gp087,SEA_CORNUCOPIA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327304,88,I5H25_gp088,SEA_CORNUCOPIA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327305,89,I5H25_gp089,SEA_CORNUCOPIA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327306,90,I5H25_gp090,SEA_CORNUCOPIA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327307,91,I5H25_gp091,SEA_CORNUCOPIA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327308,92,I5H25_gp092,SEA_CORNUCOPIA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327309,93,I5H25_gp093,SEA_CORNUCOPIA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327310,94,I5H25_gp094,SEA_CORNUCOPIA_94,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210129,-
2517944,60327311,95,I5H25_gp095,SEA_CORNUCOPIA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327312,96,I5H25_gp096,SEA_CORNUCOPIA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327313,97,I5H25_gp097,SEA_CORNUCOPIA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327314,98,I5H25_gp098,SEA_CORNUCOPIA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327315,99,I5H25_gp099,SEA_CORNUCOPIA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327316,100,I5H25_gp100,SEA_CORNUCOPIA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327317,101,I5H25_gp101,SEA_CORNUCOPIA_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2517944,60327318,102,I5H25_gp102,SEA_CORNUCOPIA_102,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2517944,60327319,103,I5H25_gp103,SEA_CORNUCOPIA_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517944,60327320,104,I5H25_gp104,SEA_CORNUCOPIA_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517944,60327321,105,I5H25_gp105,SEA_CORNUCOPIA_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2517944,60327322,1,I5H25_gp001,SEA_CORNUCOPIA_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2517944,60338757,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
