#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059880,54987116,HOS57_gp02,HOS57_gp02,SEA_ABBEYMIKOLON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2059880,54987161,HOS57_gp49,HOS57_gp49,SEA_ABBEYMIKOLON_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987162,HOS57_gp50,HOS57_gp50,SEA_ABBEYMIKOLON_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987163,HOS57_gp51,HOS57_gp51,SEA_ABBEYMIKOLON_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987164,HOS57_gt01,HOS57_gt01,SEA_ABBEYMIKOLON_52,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059880,54987165,HOS57_gp58,HOS57_gp58,SEA_ABBEYMIKOLON_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987166,HOS57_gp57,HOS57_gp57,SEA_ABBEYMIKOLON_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059880,54987167,HOS57_gp56,HOS57_gp56,SEA_ABBEYMIKOLON_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987168,HOS57_gp55,HOS57_gp55,SEA_ABBEYMIKOLON_57,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2059880,54987169,HOS57_gp54,HOS57_gp54,SEA_ABBEYMIKOLON_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987170,HOS57_gt02,HOS57_gt02,SEA_ABBEYMIKOLON_59,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059880,54987171,HOS57_gt03,HOS57_gt03,SEA_ABBEYMIKOLON_60,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059880,54987172,HOS57_gt04,HOS57_gt04,SEA_ABBEYMIKOLON_61,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059880,54987173,HOS57_gt05,HOS57_gt05,SEA_ABBEYMIKOLON_62,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2059880,54987174,HOS57_gp53,HOS57_gp53,SEA_ABBEYMIKOLON_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2059880,54987175,HOS57_gp01,HOS57_gp01,SEA_ABBEYMIKOLON_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2059880,54987176,HOS57_gp52,HOS57_gp52,SEA_ABBEYMIKOLON_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987177,HOS57_gp10,HOS57_gp10,SEA_ABBEYMIKOLON_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987178,HOS57_gp38,HOS57_gp38,SEA_ABBEYMIKOLON_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,54987179,HOS57_gp59,HOS57_gp59,SEA_ABBEYMIKOLON_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059880,55153761,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
