#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2231343,54995582,HOT60_gp001,HOT60_gp001,-,-,-,-,small terminase,protein-coding,-,-,-,small terminase,20200910,-
2231343,54995640,HOT60_gp029,HOT60_gp029,-,-,-,-,putative ATP-dependent DNA helicase,protein-coding,-,-,-,putative ATP-dependent DNA helicase,20210129,-
2231343,54995641,HOT60_gp030,HOT60_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995642,HOT60_gp031,HOT60_gp031,-,-,-,-,DNA directed DNA polymerase-like protein,protein-coding,-,-,-,DNA directed DNA polymerase-like protein,20210129,-
2231343,54995643,HOT60_gp032,HOT60_gp032,-,-,-,-,DNA primase-like protein,protein-coding,-,-,-,DNA primase-like protein,20210129,-
2231343,54995644,HOT60_gp033,HOT60_gp033,-,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20210129,-
2231343,54995645,HOT60_gp034,HOT60_gp034,-,-,-,-,putative transcription factor,protein-coding,-,-,-,putative transcription factor,20210403,-
2231343,54995646,HOT60_gp035,HOT60_gp035,-,-,-,-,"DNA ligase, B subunit",protein-coding,-,-,-,"DNA ligase, B subunit",20210129,-
2231343,54995647,HOT60_gp036,HOT60_gp036,-,-,-,-,"DNA ligase, A subunit",protein-coding,-,-,-,"DNA ligase, A subunit",20200910,-
2231343,54995648,HOT60_gp037,HOT60_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2231343,54995649,HOT60_gp038,HOT60_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995650,HOT60_gp039,HOT60_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995651,HOT60_gp040,HOT60_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995652,HOT60_gp041,HOT60_gp041,-,-,-,-,helicase-like protein,protein-coding,-,-,-,helicase-like protein,20200910,-
2231343,54995653,HOT60_gp042,HOT60_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995654,HOT60_gp043,HOT60_gp043,-,-,-,-,DNA primase C-like protein,protein-coding,-,-,-,DNA primase C-like protein,20210129,-
2231343,54995655,HOT60_gp044,HOT60_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995656,HOT60_gp045,HOT60_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995657,HOT60_gp046,HOT60_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2231343,54995658,HOT60_gp047,HOT60_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995659,HOT60_gp048,HOT60_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995660,HOT60_gp049,HOT60_gp049,-,-,-,-,NAD-dependent protein deacetylase of SIR2 family,protein-coding,-,-,-,NAD-dependent protein deacetylase of SIR2 family,20210129,-
2231343,54995661,HOT60_gp050,HOT60_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995662,HOT60_gp051,HOT60_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995663,HOT60_gp052,HOT60_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995664,HOT60_gp053,HOT60_gp053,-,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20210129,-
2231343,54995665,HOT60_gp054,HOT60_gp054,-,-,-,-,phosphate starvation-inducible ATPase,protein-coding,-,-,-,phosphate starvation-inducible ATPase,20210129,-
2231343,54995666,HOT60_gp055,HOT60_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995667,HOT60_gp056,HOT60_gp056,-,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20210129,-
2231343,54995668,HOT60_gp057,HOT60_gp057,-,-,-,-,"aerobic ribonucleotide reductase, beta subunit",protein-coding,-,-,-,"aerobic ribonucleotide reductase, beta subunit",20210129,-
2231343,54995669,HOT60_gp058,HOT60_gp058,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
2231343,54995670,HOT60_gp059,HOT60_gp059,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210129,-
2231343,54995671,HOT60_gp060,HOT60_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2231343,54995672,HOT60_gp061,HOT60_gp061,-,-,-,-,proteasome subunit-like protein,protein-coding,-,-,-,proteasome subunit-like protein,20200912,-
2231343,54995673,HOT60_gp062,HOT60_gp062,-,-,-,-,fibritin-like protein,protein-coding,-,-,-,fibritin-like protein,20200910,-
2231343,54995674,HOT60_gp063,HOT60_gp063,-,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210129,-
2231343,54995675,HOT60_gp064,HOT60_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995676,HOT60_gp065,HOT60_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995677,HOT60_gp066,HOT60_gp066,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200910,-
2231343,54995678,HOT60_gp067,HOT60_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995679,HOT60_gp068,HOT60_gp068,-,-,-,-,metallopeptidase,protein-coding,-,-,-,metallopeptidase,20210123,-
2231343,54995680,HOT60_gp069,HOT60_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995681,HOT60_gp070,HOT60_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995682,HOT60_gp071,HOT60_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995683,HOT60_gp072,HOT60_gp072,-,-,-,-,cell wall hydrolase-like protein,protein-coding,-,-,-,cell wall hydrolase-like protein,20210129,-
2231343,54995684,HOT60_gp073,HOT60_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995685,HOT60_gp074,HOT60_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2231343,54995686,HOT60_gt001,HOT60_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995687,HOT60_gp162,HOT60_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2231343,54995688,HOT60_gp161,HOT60_gp161,-,-,-,-,NadR transcriptional regulator,protein-coding,-,-,-,NadR transcriptional regulator,20200910,-
2231343,54995689,HOT60_gp160,HOT60_gp160,-,-,-,-,"ribosyl nicotinamide transporter, PnuC-like",protein-coding,-,-,-,"ribosyl nicotinamide transporter, PnuC-like",20210129,-
2231343,54995690,HOT60_gp159,HOT60_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995691,HOT60_gp158,HOT60_gp158,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210129,-
2231343,54995692,HOT60_gt002,HOT60_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995693,HOT60_gp156,HOT60_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995694,HOT60_gt004,HOT60_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995695,HOT60_gp154,HOT60_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995696,HOT60_gp153,HOT60_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995697,HOT60_gt005,HOT60_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995698,HOT60_gt006,HOT60_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995699,HOT60_gp150,HOT60_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995700,HOT60_gp149,HOT60_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995701,HOT60_gt009,HOT60_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995702,HOT60_gt011,HOT60_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995703,HOT60_gt012,HOT60_gt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995704,HOT60_gp145,HOT60_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2231343,54995705,HOT60_gt016,HOT60_gt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995706,HOT60_gt018,HOT60_gt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995707,HOT60_gt021,HOT60_gt021,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995708,HOT60_gt023,HOT60_gt023,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995709,HOT60_gt025,HOT60_gt025,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995710,HOT60_gp139,HOT60_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995711,HOT60_gt028,HOT60_gt028,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995712,HOT60_gt029,HOT60_gt029,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2231343,54995713,HOT60_gp136,HOT60_gp136,-,-,-,-,pyruvate formate-lyase,protein-coding,-,-,-,pyruvate formate-lyase,20210129,-
2231343,54995714,HOT60_gp135,HOT60_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995715,HOT60_gp134,HOT60_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995716,HOT60_gp133,HOT60_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995717,HOT60_gp132,HOT60_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995718,HOT60_gp131,HOT60_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995719,HOT60_gp130,HOT60_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995720,HOT60_gp129,HOT60_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995721,HOT60_gp128,HOT60_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995722,HOT60_gp127,HOT60_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995723,HOT60_gp126,HOT60_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2231343,54995724,HOT60_gp125,HOT60_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995725,HOT60_gp124,HOT60_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995726,HOT60_gp123,HOT60_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995727,HOT60_gp122,HOT60_gp122,-,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20210129,-
2231343,54995728,HOT60_gp121,HOT60_gp121,-,-,-,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,-,-,-,ATP-dependent Clp protease proteolytic subunit,20210403,-
2231343,54995729,HOT60_gp120,HOT60_gp120,-,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2231343,54995730,HOT60_gp119,HOT60_gp119,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210129,-
2231343,54995731,HOT60_gp118,HOT60_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995732,HOT60_gp117,HOT60_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995733,HOT60_gp116,HOT60_gp116,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210129,-
2231343,54995734,HOT60_gp115,HOT60_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995735,HOT60_gp114,HOT60_gp114,-,-,-,-,serine/threonine protein phosphatase,protein-coding,-,-,-,serine/threonine protein phosphatase,20210129,-
2231343,54995736,HOT60_gp113,HOT60_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995737,HOT60_gp112,HOT60_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995738,HOT60_gp111,HOT60_gp111,-,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210129,-
2231343,54995739,HOT60_gp110,HOT60_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995740,HOT60_gp109,HOT60_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995741,HOT60_gp108,HOT60_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995742,HOT60_gp107,HOT60_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995743,HOT60_gp106,HOT60_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995744,HOT60_gp105,HOT60_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995745,HOT60_gp104,HOT60_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995746,HOT60_gp103,HOT60_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995747,HOT60_gp102,HOT60_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995748,HOT60_gp101,HOT60_gp101,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200910,-
2231343,54995749,HOT60_gp100,HOT60_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995750,HOT60_gp099,HOT60_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995751,HOT60_gp098,HOT60_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995752,HOT60_gp097,HOT60_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995753,HOT60_gp096,HOT60_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995754,HOT60_gp095,HOT60_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995755,HOT60_gp094,HOT60_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995756,HOT60_gp093,HOT60_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995757,HOT60_gp092,HOT60_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995758,HOT60_gp091,HOT60_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995759,HOT60_gp090,HOT60_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995760,HOT60_gp089,HOT60_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995761,HOT60_gp088,HOT60_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995762,HOT60_gp087,HOT60_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995763,HOT60_gp086,HOT60_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995764,HOT60_gp085,HOT60_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995765,HOT60_gp084,HOT60_gp084,-,-,-,-,A2 protein,protein-coding,-,-,-,A2 protein,20200910,-
2231343,54995766,HOT60_gp083,HOT60_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995767,HOT60_gp082,HOT60_gp082,-,-,-,-,putative A1 protein,protein-coding,-,-,-,putative A1 protein,20200910,-
2231343,54995768,HOT60_gp081,HOT60_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995769,HOT60_gp080,HOT60_gp080,-,-,-,-,5'-deoxyribonucleotide monophosphatase,protein-coding,-,-,-,5'-deoxyribonucleotide monophosphatase,20200910,-
2231343,54995770,HOT60_gp079,HOT60_gp079,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
2231343,54995771,HOT60_gp078,HOT60_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995772,HOT60_gp077,HOT60_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2231343,54995773,HOT60_gp076,HOT60_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2231343,54995774,HOT60_gp075,HOT60_gp075,-,-,-,-,receptor-binding protein,protein-coding,-,-,-,receptor-binding protein,20200910,-
2231343,55154005,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
