#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897542,62362782,JMN85_gp02,JMN85_gp02,SEA_PACERPAUL_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
1897542,62362834,JMN85_gp58,JMN85_gp58,SEA_PACERPAUL_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1897542,62362835,JMN85_gp59,JMN85_gp59,SEA_PACERPAUL_59,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
1897542,62362836,JMN85_gp60,JMN85_gp60,SEA_PACERPAUL_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362837,JMN85_gp61,JMN85_gp61,SEA_PACERPAUL_61,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20210424,-
1897542,62362838,JMN85_gp62,JMN85_gp62,SEA_PACERPAUL_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362839,JMN85_gp63,JMN85_gp63,SEA_PACERPAUL_63,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210424,-
1897542,62362840,JMN85_gp64,JMN85_gp64,SEA_PACERPAUL_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362841,JMN85_gp65,JMN85_gp65,SEA_PACERPAUL_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362842,JMN85_gp66,JMN85_gp66,SEA_PACERPAUL_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362843,JMN85_gp67,JMN85_gp67,SEA_PACERPAUL_67,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20210212,-
1897542,62362844,JMN85_gp68,JMN85_gp68,SEA_PACERPAUL_68,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1897542,62362845,JMN85_gp69,JMN85_gp69,SEA_PACERPAUL_69,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
1897542,62362846,JMN85_gp70,JMN85_gp70,SEA_PACERPAUL_70,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20210123,-
1897542,62362847,JMN85_gp71,JMN85_gp71,SEA_PACERPAUL_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362848,JMN85_gp74,JMN85_gp74,SEA_PACERPAUL_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362849,JMN85_gp75,JMN85_gp75,SEA_PACERPAUL_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362850,JMN85_gp76,JMN85_gp76,SEA_PACERPAUL_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362851,JMN85_gp77,JMN85_gp77,SEA_PACERPAUL_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1897542,62362852,JMN85_gp78,JMN85_gp78,SEA_PACERPAUL_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362853,JMN85_gp79,JMN85_gp79,SEA_PACERPAUL_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362854,JMN85_gp80,JMN85_gp80,SEA_PACERPAUL_80,-,-,-,repressor,protein-coding,-,-,-,repressor,20210123,-
1897542,62362855,JMN85_gp81,JMN85_gp81,SEA_PACERPAUL_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362856,JMN85_gp82,JMN85_gp82,SEA_PACERPAUL_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362857,JMN85_gp83,JMN85_gp83,SEA_PACERPAUL_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362858,JMN85_gp84,JMN85_gp84,SEA_PACERPAUL_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362859,JMN85_gp85,JMN85_gp85,SEA_PACERPAUL_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362860,JMN85_gp86,JMN85_gp86,SEA_PACERPAUL_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362861,JMN85_gp87,JMN85_gp87,SEA_PACERPAUL_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362862,JMN85_gp88,JMN85_gp88,SEA_PACERPAUL_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362863,JMN85_gp89,JMN85_gp89,SEA_PACERPAUL_89,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1897542,62362864,JMN85_gp90,JMN85_gp90,SEA_PACERPAUL_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362865,JMN85_gp91,JMN85_gp91,SEA_PACERPAUL_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362866,JMN85_gp92,JMN85_gp92,SEA_PACERPAUL_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362867,JMN85_gp93,JMN85_gp93,SEA_PACERPAUL_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1897542,62362868,JMN85_gp03,JMN85_gp03,SEA_PACERPAUL_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362869,JMN85_gp37,JMN85_gp37,SEA_PACERPAUL_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362870,JMN85_gp42,JMN85_gp42,SEA_PACERPAUL_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362871,JMN85_gp56,JMN85_gp56,SEA_PACERPAUL_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362872,JMN85_gp72,JMN85_gp72,SEA_PACERPAUL_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362873,JMN85_gp73,JMN85_gp73,SEA_PACERPAUL_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62362874,JMN85_gp01,JMN85_gp01,SEA_PACERPAUL_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1897542,62368939,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage PacerPaul).,other,-,-,-,-,20210125,-
