#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713268,60335889,2,I5J38_gp02,SEA_WILLSAMMY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210129,-
2713268,60335940,55,I5J38_gp55,SEA_WILLSAMMY_55,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210129,-
2713268,60335941,56,I5J38_gp56,SEA_WILLSAMMY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335942,57,I5J38_gp57,SEA_WILLSAMMY_57,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2713268,60335943,58,I5J38_gp58,SEA_WILLSAMMY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335944,59,I5J38_gp59,SEA_WILLSAMMY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2713268,60335945,63,I5J38_gp63,SEA_WILLSAMMY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335946,64,I5J38_gp64,SEA_WILLSAMMY_64,-,-,-,RepA-like replication initiator,protein-coding,-,-,-,RepA-like replication initiator,20201130,-
2713268,60335947,65,I5J38_gp65,SEA_WILLSAMMY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335948,66,I5J38_gp66,SEA_WILLSAMMY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335949,67,I5J38_gp67,SEA_WILLSAMMY_67,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2713268,60335950,68,I5J38_gp68,SEA_WILLSAMMY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335951,69,I5J38_gp69,SEA_WILLSAMMY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335952,70,I5J38_gp70,SEA_WILLSAMMY_70,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2713268,60335953,71,I5J38_gp71,SEA_WILLSAMMY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335954,72,I5J38_gp72,SEA_WILLSAMMY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335955,73,I5J38_gp73,SEA_WILLSAMMY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335956,74,I5J38_gp74,SEA_WILLSAMMY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335957,76,I5J38_gp76,SEA_WILLSAMMY_76,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210313,-
2713268,60335958,77,I5J38_gp77,SEA_WILLSAMMY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335959,78,I5J38_gp78,SEA_WILLSAMMY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335960,79,I5J38_gp79,SEA_WILLSAMMY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335961,80,I5J38_gp80,SEA_WILLSAMMY_80,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2713268,60335962,43,I5J38_gp43,SEA_WILLSAMMY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335963,54,I5J38_gp54,SEA_WILLSAMMY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335964,60,I5J38_gp60,SEA_WILLSAMMY_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2713268,60335965,62,I5J38_gp62,SEA_WILLSAMMY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335966,61,I5J38_gp61,SEA_WILLSAMMY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335967,75,I5J38_gp75,SEA_WILLSAMMY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2713268,60335968,1,I5J38_gp01,SEA_WILLSAMMY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2713268,60350531,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
