#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
205922,3760128,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas fluorescens str. Pf0-1; Pseudomonas fluorescens strain Pf0-1).,other,-,-,-,-,20181022,-
205922,29580320,PFL01_RS25630,PFL01_RS25630,Pfl01_R87,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580402,PFL01_RS21490,PFL01_RS21490,Pfl01_R70,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580565,PFL01_RS00605,PFL01_RS00605,Pfl01_R2,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580642,PFL01_RS06035,PFL01_RS06035,Pfl01_R22,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580766,PFL01_RS24045,PFL01_RS24045,Pfl01_R79,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580797,PFL01_RS21495,PFL01_RS21495,Pfl01_R71,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580839,PFL01_RS24315,PFL01_RS24315,Pfl01_R82,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580898,PFL01_RS25670,PFL01_RS25670,Pfl01_R92,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580906,PFL01_RS22120,PFL01_RS22120,Pfl01_R72,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29580982,PFL01_RS25675,PFL01_RS25675,Pfl01_R93,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581027,PFL01_RS12555,PFL01_RS12555,Pfl01_R47,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581091,PFL01_RS19600,PFL01_RS19600,Pfl01_R59,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581213,PFL01_RS01550,PFL01_RS01550,Pfl01_R8,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581227,PFL01_RS00610,PFL01_RS00610,Pfl01_R3,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581230,PFL01_RS18560,PFL01_RS18560,Pfl01_R52,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581264,PFL01_RS08405,PFL01_RS08405,Pfl01_R25,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581267,PFL01_RS08410,PFL01_RS08410,Pfl01_R26,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581269,PFL01_RS15400,PFL01_RS15400,Pfl01_R49,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581276,PFL01_RS21040,PFL01_RS21040,Pfl01_R62,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581284,PFL01_RS08415,PFL01_RS08415,Pfl01_R27,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581312,PFL01_RS02680,PFL01_RS02680,Pfl01_R10,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581322,PFL01_RS08420,PFL01_RS08420,Pfl01_R28,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581573,PFL01_RS21055,PFL01_RS21055,Pfl01_R65,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581703,PFL01_RS25620,PFL01_RS25620,Pfl01_R86,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581762,PFL01_RS08790,PFL01_RS08790,Pfl01_R29,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581880,PFL01_RS11230,PFL01_RS11230,Pfl01_R42,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581910,PFL01_RS24320,PFL01_RS24320,Pfl01_R83,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29581911,PFL01_RS06030,PFL01_RS06030,Pfl01_R21,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582265,PFL01_RS21035,PFL01_RS21035,Pfl01_R61,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582273,PFL01_RS21445,PFL01_RS21445,Pfl01_R67,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582666,PFL01_RS21060,PFL01_RS21060,Pfl01_R66,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582730,PFL01_RS09430,PFL01_RS09430,Pfl01_R31,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582765,PFL01_RS15395,PFL01_RS15395,Pfl01_R48,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582782,PFL01_RS09470,PFL01_RS09470,Pfl01_R32,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582784,PFL01_RS09475,PFL01_RS09475,Pfl01_R33,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582788,PFL01_RS01615,PFL01_RS01615,Pfl01_R9,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582827,PFL01_RS09480,PFL01_RS09480,Pfl01_R34,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582837,PFL01_RS09485,PFL01_RS09485,Pfl01_R35,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29582985,PFL01_RS24325,PFL01_RS24325,Pfl01_R84,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583042,PFL01_RS09620,PFL01_RS09620,Pfl01_R36,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583047,PFL01_RS21050,PFL01_RS21050,Pfl01_R64,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583050,PFL01_RS09625,PFL01_RS09625,Pfl01_R37,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583069,PFL01_RS09630,PFL01_RS09630,Pfl01_R38,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583075,PFL01_RS18570,PFL01_RS18570,Pfl01_R54,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583128,PFL01_RS09660,PFL01_RS09660,Pfl01_R39,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583228,PFL01_RS24050,PFL01_RS24050,Pfl01_R80,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583345,PFL01_RS09810,PFL01_RS09810,Pfl01_R40,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583546,PFL01_RS21480,PFL01_RS21480,Pfl01_R68,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583850,PFL01_RS23875,PFL01_RS23875,Pfl01_R75,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29583963,PFL01_RS03965,PFL01_RS03965,Pfl01_R20,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29584091,PFL01_RS19595,PFL01_RS19595,Pfl01_R58,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29584094,PFL01_RS03925,PFL01_RS03925,Pfl01_R19,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29584100,PFL01_RS18575,PFL01_RS18575,Pfl01_R55,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29584255,PFL01_RS23235,PFL01_RS23235,Pfl01_R73,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29584276,PFL01_RS03470,PFL01_RS03470,Pfl01_R14,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29584310,PFL01_RS18565,PFL01_RS18565,Pfl01_R53,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29584321,PFL01_RS13650,PFL01_RS13650,-,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
205922,29584383,PFL01_RS03920,PFL01_RS03920,Pfl01_R18,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
