#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147158,14182377,F859_gp02,F859_gp02,mEp390_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1147158,14182398,F859_gp23,F859_gp23,mEp390_023,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20200629,-
1147158,14182399,F859_gp24,F859_gp24,mEp390_024,-,-,-,DinI-like family protein,protein-coding,-,-,-,DinI-like family protein,20210417,-
1147158,14182400,F859_gp25,F859_gp25,mEp390_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182401,F859_gp26,F859_gp26,mEp390_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182402,F859_gp27,F859_gp27,mEp390_027,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1147158,14182403,F859_gp28,F859_gp28,mEp390_028,-,-,-,putative excisionase,protein-coding,-,-,-,putative excisionase,20210123,-
1147158,14182404,F859_gp29,F859_gp29,mEp390_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182405,F859_gp30,F859_gp30,mEp390_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182406,F859_gp31,F859_gp31,mEp390_031,-,-,-,EaA protein,protein-coding,-,-,-,EaA protein,20200629,-
1147158,14182407,F859_gp32,F859_gp32,mEp390_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182408,F859_gp33,F859_gp33,mEp390_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182409,F859_gp34,F859_gp34,mEp390_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182410,F859_gp35,F859_gp35,mEp390_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182411,F859_gp36,F859_gp36,mEp390_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182412,F859_gp37,F859_gp37,mEp390_037,-,-,-,prophage repressor,protein-coding,-,-,-,prophage repressor,20200629,-
1147158,14182413,F859_gp38,F859_gp38,mEp390_038,-,-,-,prophage anti-repressor,protein-coding,-,-,-,prophage anti-repressor,20200629,-
1147158,14182414,F859_gp39,F859_gp39,mEp390_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182415,F859_gp40,F859_gp40,mEp390_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182416,F859_gp41,F859_gp41,mEp390_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182417,F859_gp42,F859_gp42,mEp390_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182418,F859_gp43,F859_gp43,mEp390_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182419,F859_gp44,F859_gp44,mEp390_044,-,-,-,holliday-junction resolvase RusA,protein-coding,-,-,-,holliday-junction resolvase RusA,20200629,-
1147158,14182420,F859_gp45,F859_gp45,mEp390_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182421,F859_gp46,F859_gp46,mEp390_046,-,-,-,late gene regulator Q,protein-coding,-,-,-,late gene regulator Q,20200629,-
1147158,14182422,F859_gp47,F859_gp47,mEp390_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182423,F859_gp48,F859_gp48,mEp390_048,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210417,-
1147158,14182424,F859_gp49,F859_gp49,mEp390_049,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1147158,14182425,F859_gp50,F859_gp50,mEp390_050,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1147158,14182426,F859_gp51,F859_gp51,mEp390_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182427,F859_gp52,F859_gp52,mEp390_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182428,F859_gp53,F859_gp53,mEp390_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182429,F859_gp54,F859_gp54,mEp390_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182430,F859_gp55,F859_gp55,mEp390_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182431,F859_gp56,F859_gp56,mEp390_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182432,F859_gp57,F859_gp57,mEp390_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182433,F859_gp58,F859_gp58,mEp390_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182434,F859_gp59,F859_gp59,mEp390_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147158,14182435,F859_gp01,F859_gp01,mEp390_001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1147158,14250465,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
