#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821561,29124532,2,BJD60_gp02,SEA_SCHNABELTIER_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821561,29124584,54,BJD60_gp54,SEA_SCHNABELTIER_54,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20200927,-
1821561,29124585,55,BJD60_gp55,SEA_SCHNABELTIER_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124586,56,BJD60_gp56,SEA_SCHNABELTIER_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124587,57,BJD60_gp57,SEA_SCHNABELTIER_57,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20200927,-
1821561,29124588,58,BJD60_gp58,SEA_SCHNABELTIER_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124589,59,BJD60_gp59,SEA_SCHNABELTIER_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124590,60,BJD60_gp60,SEA_SCHNABELTIER_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124591,61,BJD60_gp61,SEA_SCHNABELTIER_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124592,62,BJD60_gp62,SEA_SCHNABELTIER_62,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20200927,-
1821561,29124593,63,BJD60_gp63,SEA_SCHNABELTIER_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124594,64,BJD60_gp64,SEA_SCHNABELTIER_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124595,65,BJD60_gp65,SEA_SCHNABELTIER_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821561,29124596,66,BJD60_gp66,SEA_SCHNABELTIER_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124597,67,BJD60_gp67,SEA_SCHNABELTIER_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124598,68,BJD60_gp68,SEA_SCHNABELTIER_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124599,69,BJD60_gp69,SEA_SCHNABELTIER_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821561,29124600,70,BJD60_gp70,SEA_SCHNABELTIER_70,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20210327,-
1821561,29124601,71,BJD60_gp71,SEA_SCHNABELTIER_71,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821561,29124602,1,BJD60_gp01,SEA_SCHNABELTIER_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1821561,29140847,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gordonia phage Schwabeltier).,other,-,-,-,-,20200803,-
