#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1071506,18562003,2,RIDGECB_2,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1071506,18562055,54,RIDGECB_54,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1071506,18562056,55,RIDGECB_55,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1071506,18562057,56,RIDGECB_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562058,57,RIDGECB_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562059,58,RIDGECB_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562060,59,RIDGECB_59,-,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20201220,-
1071506,18562061,60,RIDGECB_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562062,61,RIDGECB_61,-,-,-,-,NrdH-like protein,protein-coding,-,-,-,NrdH-like protein,20201220,-
1071506,18562063,62,RIDGECB_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562064,63,RIDGECB_63,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210403,-
1071506,18562065,64,RIDGECB_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562066,65,RIDGECB_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562067,66,RIDGECB_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562068,67,RIDGECB_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562069,68,RIDGECB_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562070,69,RIDGECB_69,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201220,-
1071506,18562071,70,RIDGECB_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562072,71,RIDGECB_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562073,72,RIDGECB_72,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201220,-
1071506,18562074,73,RIDGECB_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562075,74,RIDGECB_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562076,75,RIDGECB_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562077,76,RIDGECB_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562078,77,RIDGECB_77,-,-,-,-,putative trans-sialidase,protein-coding,-,-,-,putative trans-sialidase,20201220,-
1071506,18562079,78,RIDGECB_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562080,79,RIDGECB_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562081,80,RIDGECB_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562082,81,RIDGECB_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562083,82,RIDGECB_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562084,83,RIDGECB_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562085,84,RIDGECB_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562086,85,RIDGECB_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562087,86,RIDGECB_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1071506,18562088,87,RIDGECB_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562089,88,RIDGECB_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562090,89,RIDGECB_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562091,90,RIDGECB_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562092,91,RIDGECB_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562093,92,RIDGECB_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562094,93,RIDGECB_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562095,94,RIDGECB_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18562096,1,RIDGECB_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071506,18669547,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage RidgeCB).,other,-,-,-,-,20200513,-
