#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458856,19735917,LP101_002,LP101_002,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1458856,19735949,LP101_034,LP101_034,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1458856,19735950,LP101_035,LP101_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735951,LP101_036,LP101_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735952,LP101_037,LP101_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735953,LP101_038,LP101_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735954,LP101_039,LP101_039,-,-,-,-,sugar-phosphate nucleotidyltransferase,protein-coding,-,-,-,sugar-phosphate nucleotidyltransferase,20201221,-
1458856,19735955,LP101_040,LP101_040,-,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201221,-
1458856,19735956,LP101_041,LP101_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735957,LP101_042,LP101_042,-,-,-,-,DUF1642 domain-containing protein,protein-coding,-,-,-,DUF1642 domain-containing protein,20201221,-
1458856,19735958,LP101_043,LP101_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735959,LP101_044,LP101_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735960,LP101_045,LP101_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735961,LP101_046,LP101_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735962,LP101_047,LP101_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735963,LP101_048,LP101_048,-,-,-,-,pentapeptide repeat-containing protein,protein-coding,-,-,-,pentapeptide repeat-containing protein,20201221,-
1458856,19735964,LP101_049,LP101_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735965,LP101_050,LP101_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735966,LP101_051,LP101_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735967,LP101_052,LP101_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735968,LP101_053,LP101_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735969,LP101_054,LP101_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735970,LP101_055,LP101_055,-,-,-,-,DUF3850 domain-containing protein,protein-coding,-,-,-,DUF3850 domain-containing protein,20201221,-
1458856,19735971,LP101_056,LP101_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735972,LP101_057,LP101_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735973,LP101_058,LP101_058,-,-,-,-,RNA ligase family protein,protein-coding,-,-,-,RNA ligase family protein,20201221,-
1458856,19735974,LP101_059,LP101_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735975,LP101_060,LP101_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735976,LP101_061,LP101_061,-,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20210417,-
1458856,19735977,LP101_062,LP101_062,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1458856,19735978,LP101_063,LP101_063,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1458856,19735979,LP101_064,LP101_064,-,-,-,-,DUF669 domain-containing protein,protein-coding,-,-,-,DUF669 domain-containing protein,20210123,-
1458856,19735980,LP101_065,LP101_065,-,-,-,-,primase,protein-coding,-,-,-,primase,20201221,-
1458856,19735981,LP101_066,LP101_066,-,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20201221,-
1458856,19735982,LP101_067,LP101_067,-,-,-,-,DUF3310 domain-containing protein,protein-coding,-,-,-,DUF3310 domain-containing protein,20201221,-
1458856,19735983,LP101_068,LP101_068,-,-,-,-,DUF722 domain-containing protein,protein-coding,-,-,-,DUF722 domain-containing protein,20201221,-
1458856,19735984,LP101_069,LP101_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458856,19735985,LP101_070,LP101_070,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1458856,19735986,LP101_001,LP101_001,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1458856,19791156,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200729,-
