#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
120017,64860427,UHO2_00001,UHO2_00001,-,-,Unknown,-,putative zinc metallo-protease,protein-coding,-,-,-,putative zinc metallo-protease,20210514,-
120017,64860446,UHO2_00020,UHO2_00020,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860447,UHO2_00021,UHO2_00021,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860448,UHO2_00022,UHO2_00022,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860449,UHO2_00023,UHO2_00023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860450,UHO2_00024,UHO2_00024,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860451,UHO2_00025,UHO2_00025,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860452,UHO2_00026,UHO2_00026,-,-,Unknown,-,putative VCX1 - Vacuolar Ca++/H+ exchanger,protein-coding,-,-,-,putative VCX1 - Vacuolar Ca++/H+ exchanger,20210514,-
120017,64860453,UHO2_00027,UHO2_00027,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860454,UHO2_00028,UHO2_00028,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860455,UHO2_00029,UHO2_00029,-,-,Unknown,-,putative tubulin beta chain,protein-coding,-,-,-,putative tubulin beta chain,20210514,-
120017,64860456,UHO2_00030,UHO2_00030,-,-,Unknown,-,putative mago nashi protein,protein-coding,-,-,-,putative mago nashi protein,20210514,-
120017,64860457,UHO2_00031,UHO2_00031,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860458,UHO2_00032,UHO2_00032,-,-,Unknown,-,putative heat-shock protein hsp60,protein-coding,-,-,-,putative heat-shock protein hsp60,20210514,-
120017,64860459,UHO2_00033,UHO2_00033,-,-,Unknown,-,putative heat shock protein 10 (chaperonin CPN10),protein-coding,-,-,-,putative heat shock protein 10 (chaperonin CPN10),20210514,-
120017,64860460,UHO2_00034,UHO2_00034,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860461,UHO2_00035,UHO2_00035,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860462,UHO2_00036,UHO2_00036,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860463,UHO2_00037,UHO2_00037,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860464,UHO2_00038,UHO2_00038,-,-,Unknown,-,putative SMC2 - chromosome segregation protein,protein-coding,-,-,-,putative SMC2 - chromosome segregation protein,20210514,-
120017,64860465,UHO2_00039,UHO2_00039,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860466,UHO2_00040,UHO2_00040,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860467,UHO2_00041,UHO2_00041,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860468,UHO2_00042,UHO2_00042,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860469,UHO2_00043,UHO2_00043,-,-,Unknown,-,related to TRS130 - subunit of the TRAPP complex of the cis-Golgi,protein-coding,-,-,-,related to TRS130 - subunit of the TRAPP complex of the cis-Golgi,20210514,-
120017,64860470,UHO2_00044,UHO2_00044,-,-,Unknown,-,putative CDC9 - DNA ligase I,protein-coding,-,-,-,putative CDC9 - DNA ligase I,20210514,-
120017,64860471,UHO2_00045,UHO2_00045,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860472,UHO2_00046,UHO2_00046,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860473,UHO2_00047,UHO2_00047,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860474,UHO2_00048,UHO2_00048,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860475,UHO2_00049,UHO2_00049,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860476,UHO2_00050,UHO2_00050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860477,UHO2_00051,UHO2_00051,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860478,UHO2_00052,UHO2_00052,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860479,UHO2_00053,UHO2_00053,-,-,Unknown,-,putative Myp1 protein,protein-coding,-,-,-,putative Myp1 protein,20210514,-
120017,64860480,UHO2_00054,UHO2_00054,-,-,Unknown,-,putative ATP-dependent (S)-NAD(P)H-hydrate dehydratase,protein-coding,-,-,-,putative ATP-dependent (S)-NAD(P)H-hydrate dehydratase,20210514,-
120017,64860481,UHO2_00055,UHO2_00055,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860482,UHO2_00056,UHO2_00056,-,-,Unknown,-,"putative MSH1 - DNA mismatch repair protein, mitochondrial",protein-coding,-,-,-,"putative MSH1 - DNA mismatch repair protein, mitochondrial",20210514,-
120017,64860483,UHO2_00057,UHO2_00057,-,-,Unknown,-,putative TYS1 - tyrosyl-tRNA synthetase,protein-coding,-,-,-,putative TYS1 - tyrosyl-tRNA synthetase,20210514,-
120017,64860484,UHO2_00058,UHO2_00058,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860485,UHO2_00059,UHO2_00059,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860486,UHO2_00060,UHO2_00060,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860487,UHO2_00061,UHO2_00061,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860488,UHO2_00062,UHO2_00062,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860489,UHO2_00063,UHO2_00063,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860490,UHO2_00064,UHO2_00064,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860491,UHO2_00065,UHO2_00065,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860492,UHO2_00066,UHO2_00066,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860493,UHO2_00067,UHO2_00067,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860494,UHO2_00068,UHO2_00068,-,-,Unknown,-,putative PRE4 - 20S proteasome subunit (beta7),protein-coding,-,-,-,putative PRE4 - 20S proteasome subunit (beta7),20210514,-
120017,64860495,UHO2_00069,UHO2_00069,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860496,UHO2_00070,UHO2_00070,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860497,UHO2_00071,UHO2_00071,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860498,UHO2_00072,UHO2_00072,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860499,UHO2_00073,UHO2_00073,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860500,UHO2_00074,UHO2_00074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860501,UHO2_00075,UHO2_00075,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860502,UHO2_00076,UHO2_00076,-,-,Unknown,-,putative mitochondrial precursor protein import receptor tom70,protein-coding,-,-,-,putative mitochondrial precursor protein import receptor tom70,20210514,-
120017,64860503,UHO2_00077,UHO2_00077,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860504,UHO2_00078,UHO2_00078,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860505,UHO2_00079,UHO2_00079,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860506,UHO2_00080,UHO2_00080,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860507,UHO2_00081,UHO2_00081,-,-,Unknown,-,putative carnitine/acyl carnitine carrier,protein-coding,-,-,-,putative carnitine/acyl carnitine carrier,20210514,-
120017,64860508,UHO2_00082,UHO2_00082,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860509,UHO2_00083,UHO2_00083,-,-,Unknown,-,putative transposase,protein-coding,-,-,-,putative transposase,20210514,-
120017,64860510,UHO2_00084,UHO2_00084,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860511,UHO2_00085,UHO2_00085,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860512,UHO2_00086,UHO2_00086,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860513,UHO2_00087,UHO2_00087,-,-,Unknown,-,putative SEC22 - synaptobrevin (V-SNARE),protein-coding,-,-,-,putative SEC22 - synaptobrevin (V-SNARE),20210514,-
120017,64860514,UHO2_00088,UHO2_00088,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860515,UHO2_00089,UHO2_00089,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860516,UHO2_00090,UHO2_00090,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860517,UHO2_00091,UHO2_00091,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860518,UHO2_00092,UHO2_00092,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860519,UHO2_00093,UHO2_00093,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860520,UHO2_00094,UHO2_00094,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860521,UHO2_00095,UHO2_00095,-,-,Unknown,-,putative ERG25 - C-4 methyl sterol oxidase,protein-coding,-,-,-,putative ERG25 - C-4 methyl sterol oxidase,20210514,-
120017,64860522,UHO2_00096,UHO2_00096,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860523,UHO2_00097,UHO2_00097,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860524,UHO2_00098,UHO2_00098,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860525,UHO2_00099,UHO2_00099,-,-,Unknown,-,putative high affinity ammonium transporter,protein-coding,-,-,-,putative high affinity ammonium transporter,20210514,-
120017,64860526,UHO2_00100,UHO2_00100,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860527,UHO2_00101,UHO2_00101,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860528,UHO2_00102,UHO2_00102,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860529,UHO2_00103,UHO2_00103,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860530,UHO2_00104,UHO2_00104,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860531,UHO2_00105,UHO2_00105,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860532,UHO2_00106,UHO2_00106,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860533,UHO2_00107,UHO2_00107,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860534,UHO2_00108,UHO2_00108,-,-,Unknown,-,putative CPS1 - Gly-X carboxypeptidase YSCS precursor,protein-coding,-,-,-,putative CPS1 - Gly-X carboxypeptidase YSCS precursor,20210514,-
120017,64860535,UHO2_00109,UHO2_00109,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860536,UHO2_00110,UHO2_00110,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860537,UHO2_00111,UHO2_00111,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860538,UHO2_00112,UHO2_00112,-,-,Unknown,-,putative HMT1 - hnRNP arginine N-methyltransferase,protein-coding,-,-,-,putative HMT1 - hnRNP arginine N-methyltransferase,20210514,-
120017,64860539,UHO2_00113,UHO2_00113,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860540,UHO2_00114,UHO2_00114,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860541,UHO2_00115,UHO2_00115,-,-,Unknown,-,"putative NADH-ubiquinone oxidoreductase 19.3 kDa subunit, mitochondrial precursor",protein-coding,-,-,-,"putative NADH-ubiquinone oxidoreductase 19.3 kDa subunit, mitochondrial precursor",20210514,-
120017,64860542,UHO2_00116,UHO2_00116,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860543,UHO2_00117,UHO2_00117,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860544,UHO2_00118,UHO2_00118,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860545,UHO2_00119,UHO2_00119,-,-,Unknown,-,putative Arp2/3 protein complex subunit sop2,protein-coding,-,-,-,putative Arp2/3 protein complex subunit sop2,20210514,-
120017,64860546,UHO2_00120,UHO2_00120,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860547,UHO2_00121,UHO2_00121,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860548,UHO2_00122,UHO2_00122,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860549,UHO2_00123,UHO2_00123,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860550,UHO2_00124,UHO2_00124,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860551,UHO2_00125,UHO2_00125,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860552,UHO2_00126,UHO2_00126,-,-,Unknown,-,putative DNA repair endonuclease rad2,protein-coding,-,-,-,putative DNA repair endonuclease rad2,20210514,-
120017,64860553,UHO2_00127,UHO2_00127,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860554,UHO2_00128,UHO2_00128,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860555,UHO2_00129,UHO2_00129,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860556,UHO2_00130,UHO2_00130,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860557,UHO2_00131,UHO2_00131,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860558,UHO2_00132,UHO2_00132,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860559,UHO2_00133,UHO2_00133,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860560,UHO2_00134,UHO2_00134,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860561,UHO2_00135,UHO2_00135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860562,UHO2_00136,UHO2_00136,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860563,UHO2_00137,UHO2_00137,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860564,UHO2_00138,UHO2_00138,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860565,UHO2_00139,UHO2_00139,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860566,UHO2_00140,UHO2_00140,-,-,Unknown,-,putative heat shock protein Hsp88,protein-coding,-,-,-,putative heat shock protein Hsp88,20210514,-
120017,64860567,UHO2_00141,UHO2_00141,-,-,Unknown,-,putative PRO2 - gamma-glutamyl phosphate reductase,protein-coding,-,-,-,putative PRO2 - gamma-glutamyl phosphate reductase,20210514,-
120017,64860568,UHO2_00142,UHO2_00142,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860569,UHO2_00143,UHO2_00143,-,-,Unknown,-,"putative PPA1 - H+-ATPase 23 KD subunit, vacuolar",protein-coding,-,-,-,"putative PPA1 - H+-ATPase 23 KD subunit, vacuolar",20210514,-
120017,64860570,UHO2_00144,UHO2_00144,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860571,UHO2_00145,UHO2_00145,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860572,UHO2_00146,UHO2_00146,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860573,UHO2_00147,UHO2_00147,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860574,UHO2_00148,UHO2_00148,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860575,UHO2_00149,UHO2_00149,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860576,UHO2_00150,UHO2_00150,-,-,Unknown,-,putative lanosterol synthase,protein-coding,-,-,-,putative lanosterol synthase,20210514,-
120017,64860577,UHO2_00151,UHO2_00151,-,-,Unknown,-,putative theta class glutathione s-transferase,protein-coding,-,-,-,putative theta class glutathione s-transferase,20210514,-
120017,64860578,UHO2_00152,UHO2_00152,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860579,UHO2_00153,UHO2_00153,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860580,UHO2_00154,UHO2_00154,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860581,UHO2_00155,UHO2_00155,-,-,Unknown,-,putative SEC13 - protein transport protein,protein-coding,-,-,-,putative SEC13 - protein transport protein,20210514,-
120017,64860582,UHO2_00156,UHO2_00156,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860583,UHO2_00157,UHO2_00157,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860584,UHO2_00158,UHO2_00158,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860585,UHO2_00159,UHO2_00159,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860586,UHO2_00160,UHO2_00160,-,-,Unknown,-,putative dynactin Arp1 p25 subunit RO12,protein-coding,-,-,-,putative dynactin Arp1 p25 subunit RO12,20210514,-
120017,64860587,UHO2_00161,UHO2_00161,-,-,Unknown,-,putative vacuolar protein sorting protein VpsB,protein-coding,-,-,-,putative vacuolar protein sorting protein VpsB,20210514,-
120017,64860588,UHO2_00162,UHO2_00162,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860589,UHO2_00163,UHO2_00163,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860590,UHO2_00164,UHO2_00164,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860591,UHO2_00165,UHO2_00165,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860592,UHO2_00166,UHO2_00166,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860593,UHO2_00167,UHO2_00167,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860594,UHO2_00168,UHO2_00168,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860595,UHO2_00169,UHO2_00169,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860596,UHO2_00170,UHO2_00170,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860597,UHO2_00171,UHO2_00171,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860598,UHO2_00172,UHO2_00172,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860599,UHO2_00173,UHO2_00173,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860600,UHO2_00174,UHO2_00174,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860601,UHO2_00175,UHO2_00175,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860602,UHO2_00176,UHO2_00176,-,-,Unknown,-,putative ATP-binding cassette (ABC) transporter,protein-coding,-,-,-,putative ATP-binding cassette (ABC) transporter,20210514,-
120017,64860603,UHO2_00177,UHO2_00177,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860604,UHO2_00178,UHO2_00178,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860605,UHO2_00179,UHO2_00179,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860606,UHO2_00180,UHO2_00180,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860607,UHO2_00181,UHO2_00181,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860608,UHO2_00182,UHO2_00182,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
120017,64860609,UHO2_00183,UHO2_00183,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210514,-
