#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500825,24724853,ACQ67_gp02,ACQ67_gp02,PHL152M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500825,24724885,ACQ67_gp34,ACQ67_gp34,PHL152M00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724886,ACQ67_gp35,ACQ67_gp35,PHL152M00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724887,ACQ67_gp36,ACQ67_gp36,PHL152M00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500825,24724888,ACQ67_gp37,ACQ67_gp37,PHL152M00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724889,ACQ67_gp38,ACQ67_gp38,PHL152M00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724890,ACQ67_gp39,ACQ67_gp39,PHL152M00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724891,ACQ67_gp40,ACQ67_gp40,PHL152M00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724892,ACQ67_gp41,ACQ67_gp41,PHL152M00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724893,ACQ67_gp42,ACQ67_gp42,PHL152M00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724894,ACQ67_gp43,ACQ67_gp43,PHL152M00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724895,ACQ67_gp44,ACQ67_gp44,PHL152M00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500825,24724896,ACQ67_gp45,ACQ67_gp45,PHL152M00_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500825,24724897,ACQ67_gp01,ACQ67_gp01,PHL152M00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500825,24936542,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
