#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419980,60330703,2,I5H58_gp002,SEA_LIZZIANA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2419980,60330742,41,I5H58_gp041,SEA_LIZZIANA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330743,42,I5H58_gp042,SEA_LIZZIANA_42,-,-,-,transposase,protein-coding,-,-,-,transposase,20210406,-
2419980,60330744,43,I5H58_gp043,SEA_LIZZIANA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330745,44,I5H58_gp044,SEA_LIZZIANA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330746,45,I5H58_gp045,SEA_LIZZIANA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330747,46,I5H58_gp046,SEA_LIZZIANA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330748,47,I5H58_gp047,SEA_LIZZIANA_47,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2419980,60330749,48,I5H58_gp048,SEA_LIZZIANA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330750,49,I5H58_gp049,SEA_LIZZIANA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330751,50,I5H58_gp050,SEA_LIZZIANA_50,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2419980,60330752,51,I5H58_gp051,SEA_LIZZIANA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330753,52,I5H58_gp052,SEA_LIZZIANA_52,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
2419980,60330754,54,I5H58_gp054,SEA_LIZZIANA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330755,53,I5H58_gp053,SEA_LIZZIANA_53,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2419980,60330756,55,I5H58_gp055,SEA_LIZZIANA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330757,56,I5H58_gp056,SEA_LIZZIANA_56,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2419980,60330758,57,I5H58_gp057,SEA_LIZZIANA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330759,58,I5H58_gp058,SEA_LIZZIANA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330760,59,I5H58_gp059,SEA_LIZZIANA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330761,60,I5H58_gp060,SEA_LIZZIANA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330762,61,I5H58_gp061,SEA_LIZZIANA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330763,62,I5H58_gp062,SEA_LIZZIANA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2419980,60330764,63,I5H58_gp063,SEA_LIZZIANA_63,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2419980,60330765,64,I5H58_gp064,SEA_LIZZIANA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2419980,60330766,65,I5H58_gp065,SEA_LIZZIANA_65,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2419980,60330767,66,I5H58_gp066,SEA_LIZZIANA_66,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2419980,60330768,67,I5H58_gp067,SEA_LIZZIANA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330769,68,I5H58_gp068,SEA_LIZZIANA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330770,69,I5H58_gp069,SEA_LIZZIANA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330771,70,I5H58_gp070,SEA_LIZZIANA_70,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2419980,60330772,71,I5H58_gp071,SEA_LIZZIANA_71,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2419980,60330773,72,I5H58_gp072,SEA_LIZZIANA_72,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2419980,60330774,73,I5H58_gp073,SEA_LIZZIANA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330775,74,I5H58_gp074,SEA_LIZZIANA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330776,75,I5H58_gp075,SEA_LIZZIANA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330777,76,I5H58_gp076,SEA_LIZZIANA_76,-,-,-,PAPS reductase-like domain protein,protein-coding,-,-,-,PAPS reductase-like domain protein,20201129,-
2419980,60330778,77,I5H58_gp077,SEA_LIZZIANA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330779,78,I5H58_gp078,SEA_LIZZIANA_78,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210424,-
2419980,60330780,79,I5H58_gp079,SEA_LIZZIANA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330781,80,I5H58_gp080,SEA_LIZZIANA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330782,81,I5H58_gp081,SEA_LIZZIANA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330783,82,I5H58_gp082,SEA_LIZZIANA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330784,83,I5H58_gp083,SEA_LIZZIANA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330785,84,I5H58_gp084,SEA_LIZZIANA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330786,85,I5H58_gp085,SEA_LIZZIANA_85,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201129,-
2419980,60330787,86,I5H58_gp086,SEA_LIZZIANA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330788,87,I5H58_gp087,SEA_LIZZIANA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330789,88,I5H58_gp088,SEA_LIZZIANA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330790,89,I5H58_gp089,SEA_LIZZIANA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330791,90,I5H58_gp090,SEA_LIZZIANA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330792,91,I5H58_gp091,SEA_LIZZIANA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419980,60330793,92,I5H58_gp092,SEA_LIZZIANA_92,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2419980,60330794,93,I5H58_gp093,SEA_LIZZIANA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330795,94,I5H58_gp094,SEA_LIZZIANA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330796,95,I5H58_gp095,SEA_LIZZIANA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330797,96,I5H58_gp096,SEA_LIZZIANA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330798,97,I5H58_gp097,SEA_LIZZIANA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330799,98,I5H58_gp098,SEA_LIZZIANA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330800,99,I5H58_gp099,SEA_LIZZIANA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330801,100,I5H58_gp100,SEA_LIZZIANA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330802,101,I5H58_gp101,SEA_LIZZIANA_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330803,102,I5H58_gp102,SEA_LIZZIANA_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2419980,60330804,103,I5H58_gp103,SEA_LIZZIANA_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2419980,60330805,104,I5H58_gp104,SEA_LIZZIANA_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2419980,60330806,105,I5H58_gp105,SEA_LIZZIANA_105,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2419980,60330807,1,I5H58_gp001,SEA_LIZZIANA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2419980,60338731,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
