#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873696,29068983,BI025_gp002,BI025_gp002,SEA_GARDANN_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1873696,29069000,BI025_gp019,BI025_gp019,SEA_GARDANN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1873696,29069001,BI025_gp020,BI025_gp020,SEA_GARDANN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1873696,29069002,BI025_gp021,BI025_gp021,SEA_GARDANN_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1873696,29069003,BI025_gp022,BI025_gp022,SEA_GARDANN_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1873696,29069004,BI025_gp023,BI025_gp023,SEA_GARDANN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069005,BI025_gp024,BI025_gp024,SEA_GARDANN_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1873696,29069006,BI025_gp025,BI025_gp025,SEA_GARDANN_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069007,BI025_gp026,BI025_gp026,SEA_GARDANN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069008,BI025_gp027,BI025_gp027,SEA_GARDANN_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210123,-
1873696,29069009,BI025_gp028,BI025_gp028,SEA_GARDANN_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1873696,29069010,BI025_gp029,BI025_gp029,SEA_GARDANN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069011,BI025_gp030,BI025_gp030,SEA_GARDANN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069012,BI025_gp031,BI025_gp031,SEA_GARDANN_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069013,BI025_gp032,BI025_gp032,SEA_GARDANN_32,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210212,-
1873696,29069014,BI025_gp033,BI025_gp033,SEA_GARDANN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069015,BI025_gp034,BI025_gp034,SEA_GARDANN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069016,BI025_gp035,BI025_gp035,SEA_GARDANN_35,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20200927,-
1873696,29069017,BI025_gp036,BI025_gp036,SEA_GARDANN_36,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20200927,-
1873696,29069018,BI025_gp037,BI025_gp037,SEA_GARDANN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069019,BI025_gp038,BI025_gp038,SEA_GARDANN_38,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210123,-
1873696,29069020,BI025_gp039,BI025_gp039,SEA_GARDANN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069021,BI025_gp040,BI025_gp040,SEA_GARDANN_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1873696,29069022,BI025_gp041,BI025_gp041,SEA_GARDANN_41,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20200927,-
1873696,29069023,BI025_gp042,BI025_gp042,SEA_GARDANN_42,-,-,-,excise,protein-coding,-,-,-,excise,20210123,-
1873696,29069024,BI025_gp043,BI025_gp043,SEA_GARDANN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069025,BI025_gp044,BI025_gp044,SEA_GARDANN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069026,BI025_gp045,BI025_gp045,SEA_GARDANN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069027,BI025_gp046,BI025_gp046,SEA_GARDANN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069028,BI025_gp047,BI025_gp047,SEA_GARDANN_47,-,-,-,esterase,protein-coding,-,-,-,esterase,20210123,-
1873696,29069029,BI025_gp048,BI025_gp048,SEA_GARDANN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069030,BI025_gp049,BI025_gp049,SEA_GARDANN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069031,BI025_gp050,BI025_gp050,SEA_GARDANN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069032,BI025_gp051,BI025_gp051,SEA_GARDANN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069033,BI025_gp052,BI025_gp052,SEA_GARDANN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069034,BI025_gp053,BI025_gp053,SEA_GARDANN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069035,BI025_gp054,BI025_gp054,SEA_GARDANN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069036,BI025_gp055,BI025_gp055,SEA_GARDANN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1873696,29069037,BI025_gt001,BI025_gt001,SEA_GARDANN_56,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069038,BI025_gp126,BI025_gp126,SEA_GARDANN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069039,BI025_gp125,BI025_gp125,SEA_GARDANN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069040,BI025_gp124,BI025_gp124,SEA_GARDANN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069041,BI025_gp123,BI025_gp123,SEA_GARDANN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069042,BI025_gp122,BI025_gp122,SEA_GARDANN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069043,BI025_gp121,BI025_gp121,SEA_GARDANN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069044,BI025_gp120,BI025_gp120,SEA_GARDANN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069045,BI025_gp119,BI025_gp119,SEA_GARDANN_64,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210123,-
1873696,29069046,BI025_gp118,BI025_gp118,SEA_GARDANN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069047,BI025_gp117,BI025_gp117,SEA_GARDANN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069048,BI025_gp116,BI025_gp116,SEA_GARDANN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069049,BI025_gp115,BI025_gp115,SEA_GARDANN_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201217,-
1873696,29069050,BI025_gp114,BI025_gp114,SEA_GARDANN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069051,BI025_gp113,BI025_gp113,SEA_GARDANN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069052,BI025_gp112,BI025_gp112,SEA_GARDANN_71,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210123,-
1873696,29069053,BI025_gp111,BI025_gp111,SEA_GARDANN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069054,BI025_gp110,BI025_gp110,SEA_GARDANN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069055,BI025_gp109,BI025_gp109,SEA_GARDANN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069056,BI025_gp108,BI025_gp108,SEA_GARDANN_75,-,-,-,phosphoribosyl pyrophosphate transferase,protein-coding,-,-,-,phosphoribosyl pyrophosphate transferase,20200927,-
1873696,29069057,BI025_gp107,BI025_gp107,SEA_GARDANN_76,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20200927,-
1873696,29069058,BI025_gp106,BI025_gp106,SEA_GARDANN_77,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200927,-
1873696,29069059,BI025_gp105,BI025_gp105,SEA_GARDANN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069060,BI025_gp104,BI025_gp104,SEA_GARDANN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069061,BI025_gp103,BI025_gp103,SEA_GARDANN_80,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210123,-
1873696,29069062,BI025_gp102,BI025_gp102,SEA_GARDANN_81,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210123,-
1873696,29069063,BI025_gp101,BI025_gp101,SEA_GARDANN_82,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200927,-
1873696,29069064,BI025_gp100,BI025_gp100,SEA_GARDANN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069065,BI025_gp099,BI025_gp099,SEA_GARDANN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069066,BI025_gp098,BI025_gp098,SEA_GARDANN_85,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210123,-
1873696,29069067,BI025_gp097,BI025_gp097,SEA_GARDANN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069068,BI025_gp096,BI025_gp096,SEA_GARDANN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069069,BI025_gp095,BI025_gp095,SEA_GARDANN_88,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210123,-
1873696,29069070,BI025_gp094,BI025_gp094,SEA_GARDANN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069071,BI025_gp093,BI025_gp093,SEA_GARDANN_90,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20200927,-
1873696,29069072,BI025_gp092,BI025_gp092,SEA_GARDANN_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069073,BI025_gp091,BI025_gp091,SEA_GARDANN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069074,BI025_gp090,BI025_gp090,SEA_GARDANN_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069075,BI025_gp089,BI025_gp089,SEA_GARDANN_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069076,BI025_gp088,BI025_gp088,SEA_GARDANN_95,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201026,-
1873696,29069077,BI025_gp087,BI025_gp087,SEA_GARDANN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069078,BI025_gp086,BI025_gp086,SEA_GARDANN_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069079,BI025_gp085,BI025_gp085,SEA_GARDANN_98,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210123,-
1873696,29069080,BI025_gp084,BI025_gp084,SEA_GARDANN_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069081,BI025_gp083,BI025_gp083,SEA_GARDANN_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069082,BI025_gp082,BI025_gp082,SEA_GARDANN_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069083,BI025_gp081,BI025_gp081,SEA_GARDANN_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069084,BI025_gp080,BI025_gp080,SEA_GARDANN_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069085,BI025_gp079,BI025_gp079,SEA_GARDANN_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069086,BI025_gt002,BI025_gt002,SEA_GARDANN_105,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069087,BI025_gp078,BI025_gp078,SEA_GARDANN_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069088,BI025_gt003,BI025_gt003,SEA_GARDANN_107,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069089,BI025_gt004,BI025_gt004,SEA_GARDANN_108,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069090,BI025_gt005,BI025_gt005,SEA_GARDANN_109,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069091,BI025_gt006,BI025_gt006,SEA_GARDANN_110,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069092,BI025_gt007,BI025_gt007,SEA_GARDANN_111,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069093,BI025_gt008,BI025_gt008,SEA_GARDANN_112,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069094,BI025_gt009,BI025_gt009,SEA_GARDANN_113,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069095,BI025_gt010,BI025_gt010,SEA_GARDANN_114,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069096,BI025_gt011,BI025_gt011,SEA_GARDANN_115,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069097,BI025_gp077,BI025_gp077,SEA_GARDANN_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1873696,29069098,BI025_gp076,BI025_gp076,SEA_GARDANN_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069099,BI025_gt012,BI025_gt012,SEA_GARDANN_118,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069100,BI025_gp075,BI025_gp075,SEA_GARDANN_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069101,BI025_gp074,BI025_gp074,SEA_GARDANN_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069102,BI025_gt013,BI025_gt013,SEA_GARDANN_121,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069103,BI025_gp073,BI025_gp073,SEA_GARDANN_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069104,BI025_gt014,BI025_gt014,SEA_GARDANN_123,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1873696,29069105,BI025_gp072,BI025_gp072,SEA_GARDANN_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069106,BI025_gp071,BI025_gp071,SEA_GARDANN_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069107,BI025_gp070,BI025_gp070,SEA_GARDANN_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069108,BI025_gp069,BI025_gp069,SEA_GARDANN_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069109,BI025_gp068,BI025_gp068,SEA_GARDANN_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069110,BI025_gp067,BI025_gp067,SEA_GARDANN_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069111,BI025_gp066,BI025_gp066,SEA_GARDANN_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069112,BI025_gp065,BI025_gp065,SEA_GARDANN_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069113,BI025_gp064,BI025_gp064,SEA_GARDANN_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069114,BI025_gp063,BI025_gp063,SEA_GARDANN_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069115,BI025_gp062,BI025_gp062,SEA_GARDANN_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069116,BI025_gp061,BI025_gp061,SEA_GARDANN_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069117,BI025_gp060,BI025_gp060,SEA_GARDANN_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069118,BI025_gp059,BI025_gp059,SEA_GARDANN_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069119,BI025_gp058,BI025_gp058,SEA_GARDANN_138,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20200927,-
1873696,29069120,BI025_gp057,BI025_gp057,SEA_GARDANN_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069121,BI025_gp056,BI025_gp056,SEA_GARDANN_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29069122,BI025_gp001,BI025_gp001,SEA_GARDANN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873696,29139998,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
