#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079565,60328823,I5H40_gp002,I5H40_gp002,SEA_FRANKIE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2079565,60328874,I5H40_gp053,I5H40_gp053,SEA_FRANKIE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079565,60328875,I5H40_gp054,I5H40_gp054,SEA_FRANKIE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328876,I5H40_gp055,I5H40_gp055,SEA_FRANKIE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328877,I5H40_gp056,I5H40_gp056,SEA_FRANKIE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328878,I5H40_gp057,I5H40_gp057,SEA_FRANKIE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328879,I5H40_gp058,I5H40_gp058,SEA_FRANKIE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328880,I5H40_gp059,I5H40_gp059,SEA_FRANKIE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079565,60328881,I5H40_gp060,I5H40_gp060,SEA_FRANKIE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079565,60328882,I5H40_gp061,I5H40_gp061,SEA_FRANKIE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328883,I5H40_gp062,I5H40_gp062,SEA_FRANKIE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328884,I5H40_gp063,I5H40_gp063,SEA_FRANKIE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328885,I5H40_gp064,I5H40_gp064,SEA_FRANKIE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079565,60328886,I5H40_gp065,I5H40_gp065,SEA_FRANKIE_65,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2079565,60328887,I5H40_gp066,I5H40_gp066,SEA_FRANKIE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328888,I5H40_gp067,I5H40_gp067,SEA_FRANKIE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328889,I5H40_gp068,I5H40_gp068,SEA_FRANKIE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328890,I5H40_gp069,I5H40_gp069,SEA_FRANKIE_69,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2079565,60328891,I5H40_gp070,I5H40_gp070,SEA_FRANKIE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328892,I5H40_gp071,I5H40_gp071,SEA_FRANKIE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328893,I5H40_gp072,I5H40_gp072,SEA_FRANKIE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328894,I5H40_gp073,I5H40_gp073,SEA_FRANKIE_73,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20201129,-
2079565,60328895,I5H40_gp074,I5H40_gp074,SEA_FRANKIE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328896,I5H40_gp075,I5H40_gp075,SEA_FRANKIE_75,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201129,-
2079565,60328897,I5H40_gp076,I5H40_gp076,SEA_FRANKIE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328898,I5H40_gp077,I5H40_gp077,SEA_FRANKIE_77,-,-,-,MPME2 protein,protein-coding,-,-,-,MPME2 protein,20201129,-
2079565,60328899,I5H40_gp078,I5H40_gp078,SEA_FRANKIE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328900,I5H40_gp079,I5H40_gp079,SEA_FRANKIE_79,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2079565,60328901,I5H40_gp080,I5H40_gp080,SEA_FRANKIE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328902,I5H40_gp081,I5H40_gp081,SEA_FRANKIE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328903,I5H40_gp082,I5H40_gp082,SEA_FRANKIE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328904,I5H40_gp083,I5H40_gp083,SEA_FRANKIE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328905,I5H40_gp084,I5H40_gp084,SEA_FRANKIE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328906,I5H40_gp085,I5H40_gp085,SEA_FRANKIE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328907,I5H40_gp086,I5H40_gp086,SEA_FRANKIE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328908,I5H40_gp087,I5H40_gp087,SEA_FRANKIE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328909,I5H40_gp088,I5H40_gp088,SEA_FRANKIE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328910,I5H40_gp089,I5H40_gp089,SEA_FRANKIE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328911,I5H40_gp090,I5H40_gp090,SEA_FRANKIE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328912,I5H40_gp091,I5H40_gp091,SEA_FRANKIE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328913,I5H40_gp092,I5H40_gp092,SEA_FRANKIE_92,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210424,-
2079565,60328914,I5H40_gp093,I5H40_gp093,SEA_FRANKIE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328915,I5H40_gp094,I5H40_gp094,SEA_FRANKIE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328916,I5H40_gp095,I5H40_gp095,SEA_FRANKIE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328917,I5H40_gp096,I5H40_gp096,SEA_FRANKIE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328918,I5H40_gp097,I5H40_gp097,SEA_FRANKIE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328919,I5H40_gp098,I5H40_gp098,SEA_FRANKIE_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328920,I5H40_gp099,I5H40_gp099,SEA_FRANKIE_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328921,I5H40_gp100,I5H40_gp100,SEA_FRANKIE_100,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210424,-
2079565,60328922,I5H40_gp101,I5H40_gp101,SEA_FRANKIE_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328923,I5H40_gp102,I5H40_gp102,SEA_FRANKIE_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079565,60328924,I5H40_gp103,I5H40_gp103,SEA_FRANKIE_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2079565,60328925,I5H40_gp001,I5H40_gp001,SEA_FRANKIE_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
2079565,60338635,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
