#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1365176,16572651,N186_RS00010,N186_RS00010,N186_00010,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,protein-coding,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,20200829,-
1365176,16572675,N186_RS00135,N186_RS00135,N186_00135,-,-,-,CRISPR-associated endonuclease Cas1,protein-coding,-,-,-,CRISPR-associated endonuclease Cas1,20200829,-
1365176,16572677,N186_RS00140,N186_RS00140,N186_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572678,N186_RS00145,N186_RS00145,N186_00150,-,-,-,AIR synthase family protein,protein-coding,-,-,-,AIR synthase family protein,20200829,-
1365176,16572679,N186_RS00150,N186_RS00150,N186_00155,-,-,-,ECF transporter S component,protein-coding,-,-,-,ECF transporter S component,20200829,-
1365176,16572680,N186_RS00155,N186_RS00155,N186_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572681,N186_RS00160,N186_RS00160,N186_00165,-,-,-,DUF211 domain-containing protein,protein-coding,-,-,-,DUF211 domain-containing protein,20201026,-
1365176,16572682,N186_RS00165,N186_RS00165,N186_00170,-,-,-,VIT1/CCC1 transporter family protein,protein-coding,-,-,-,VIT1/CCC1 transporter family protein,20201217,-
1365176,16572683,N186_RS00170,N186_RS00170,N186_00175,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200831,-
1365176,16572685,N186_RS00175,N186_RS00175,N186_00185,-,-,-,dihydrodipicolinate synthase family protein,protein-coding,-,-,-,dihydrodipicolinate synthase family protein,20200829,-
1365176,16572686,N186_RS00180,N186_RS00180,N186_00190,-,-,-,cyclase family protein,protein-coding,-,-,-,cyclase family protein,20200829,-
1365176,16572687,N186_RS00185,N186_RS00185,N186_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572688,N186_RS00190,N186_RS00190,N186_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572689,N186_RS00195,N186_RS00195,N186_00205,-,-,-,magnesium-dependent phosphatase-1,protein-coding,-,-,-,magnesium-dependent phosphatase-1,20210529,-
1365176,16572690,N186_RS00200,N186_RS00200,N186_00210,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20201026,-
1365176,16572691,N186_RS00205,N186_RS00205,N186_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572692,N186_RS00210,N186_RS00210,N186_00220,-,-,-,SPOUT family RNA methylase,protein-coding,-,-,-,SPOUT family RNA methylase,20200829,-
1365176,16572693,N186_RS00215,N186_RS00215,N186_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572694,N186_RS00220,N186_RS00220,N186_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572695,N186_RS00225,N186_RS00225,N186_00235,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,protein-coding,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,20201026,-
1365176,16572696,N186_RS00230,N186_RS00230,N186_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572697,N186_RS00235,N186_RS00235,N186_00245,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20201026,-
1365176,16572698,N186_RS00240,N186_RS00240,N186_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200831,-
1365176,16572699,N186_RS00245,N186_RS00245,N186_00255,-,-,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20200829,-
1365176,16572700,N186_RS00250,N186_RS00250,N186_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572701,N186_RS00255,N186_RS00255,N186_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572702,N186_RS00260,N186_RS00260,N186_00270,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20201026,-
1365176,16572703,N186_RS00265,N186_RS00265,N186_00275,-,-,-,SDR family NAD(P)-dependent oxidoreductase,protein-coding,-,-,-,SDR family NAD(P)-dependent oxidoreductase,20210529,-
1365176,16572704,N186_RS00270,N186_RS00270,N186_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572705,N186_RS00275,N186_RS00275,N186_00285,-,-,-,endonuclease III domain-containing protein,protein-coding,-,-,-,endonuclease III domain-containing protein,20200829,-
1365176,16572706,N186_RS00280,N186_RS00280,N186_00290,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20201026,-
1365176,16572707,N186_RS00285,N186_RS00285,N186_00295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572708,N186_RS00290,N186_RS00290,N186_00300,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20200829,-
1365176,16572709,N186_RS00295,N186_RS00295,N186_00305,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200829,-
1365176,16572710,N186_RS00300,N186_RS00300,N186_00310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572711,N186_RS00305,N186_RS00305,N186_00315,-,-,-,serpin family protein,protein-coding,-,-,-,serpin family protein,20201026,-
1365176,16572712,N186_RS00310,N186_RS00310,N186_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572713,N186_RS00315,N186_RS00315,N186_00325,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
1365176,16572714,N186_RS00320,N186_RS00320,N186_00330,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
1365176,16572715,N186_RS00325,N186_RS00325,N186_00335,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20200829,-
1365176,16572716,N186_RS00330,N186_RS00330,N186_00340,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201026,-
1365176,16572717,N186_RS00335,N186_RS00335,N186_00345,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201217,-
1365176,16572718,N186_RS00340,N186_RS00340,N186_00350,-,-,-,glycoside hydrolase family 1 protein,protein-coding,-,-,-,glycoside hydrolase family 1 protein,20200829,-
1365176,16572719,N186_RS00345,N186_RS00345,N186_00355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572720,N186_RS00350,N186_RS00350,N186_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572722,N186_RS00360,N186_RS00360,N186_00370,-,-,-,NAD-dependent epimerase/dehydratase family protein,protein-coding,-,-,-,NAD-dependent epimerase/dehydratase family protein,20210529,-
1365176,16572723,N186_RS00365,N186_RS00365,N186_00375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572724,N186_RS00370,N186_RS00370,N186_00380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572725,N186_RS00375,N186_RS00375,N186_00385,-,-,-,NAD(P)-dependent alcohol dehydrogenase,protein-coding,-,-,-,NAD(P)-dependent alcohol dehydrogenase,20200919,-
1365176,16572726,N186_RS00380,N186_RS00380,N186_00390,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20201026,-
1365176,16572727,N186_RS00385,N186_RS00385,N186_00395,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201026,-
1365176,16572729,N186_RS00390,N186_RS00390,N186_00405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572730,N186_RS00395,N186_RS00395,N186_00410,-,-,-,ZIP family metal transporter,protein-coding,-,-,-,ZIP family metal transporter,20200919,-
1365176,16572731,N186_RS00400,N186_RS00400,N186_00415,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20201217,-
1365176,16572732,N186_RS00405,N186_RS00405,N186_00420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572733,N186_RS00410,N186_RS00410,N186_00425,-,-,-,aspartyl protease family protein,protein-coding,-,-,-,aspartyl protease family protein,20201026,-
1365176,16572734,N186_RS00415,N186_RS00415,N186_00430,-,-,-,RNA 2'-phosphotransferase,protein-coding,-,-,-,RNA 2'-phosphotransferase,20200829,-
1365176,16572735,N186_RS00420,N186_RS00420,N186_00435,-,-,-,glycogen/starch/alpha-glucan phosphorylase,protein-coding,-,-,-,glycogen/starch/alpha-glucan phosphorylase,20201026,-
1365176,16572736,N186_RS00425,N186_RS00425,N186_00440,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201026,-
1365176,16572737,N186_RS00430,N186_RS00430,N186_00445,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
1365176,16572738,N186_RS00435,N186_RS00435,N186_00450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572739,N186_RS00440,N186_RS00440,N186_00455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572740,N186_RS00445,N186_RS00445,N186_00460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572741,N186_RS00450,N186_RS00450,N186_00465,-,-,-,alcohol dehydrogenase catalytic domain-containing protein,protein-coding,-,-,-,alcohol dehydrogenase catalytic domain-containing protein,20201026,-
1365176,16572742,N186_RS00455,N186_RS00455,N186_00470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572743,N186_RS00460,N186_RS00460,N186_00475,-,-,-,extracellular solute-binding protein,protein-coding,-,-,-,extracellular solute-binding protein,20210529,-
1365176,16572744,N186_RS00465,N186_RS00465,N186_00480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572745,N186_RS00470,N186_RS00470,N186_00485,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20201026,-
1365176,16572746,N186_RS00475,N186_RS00475,N186_00490,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
1365176,16572747,N186_RS00480,N186_RS00480,N186_00495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572748,N186_RS00485,N186_RS00485,N186_00500,-,-,-,DNA-3-methyladenine glycosylase,protein-coding,-,-,-,DNA-3-methyladenine glycosylase,20200919,-
1365176,16572749,N186_RS00490,N186_RS00490,N186_00505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572750,N186_RS00495,N186_RS00495,N186_00510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572751,N186_RS00500,N186_RS00500,N186_00515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572753,N186_RS00510,N186_RS00510,N186_00525,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20201217,-
1365176,16572754,N186_RS00515,N186_RS00515,N186_00530,-,-,-,amino acid ABC transporter ATP-binding protein,protein-coding,-,-,-,amino acid ABC transporter ATP-binding protein,20201217,-
1365176,16572755,N186_RS00520,N186_RS00520,N186_00535,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201026,-
1365176,16572756,N186_RS00525,N186_RS00525,N186_00540,-,-,-,substrate-binding domain-containing protein,protein-coding,-,-,-,substrate-binding domain-containing protein,20210529,-
1365176,16572757,N186_RS00530,N186_RS00530,N186_00545,-,-,-,plasma-membrane proton-efflux P-type ATPase,protein-coding,-,-,-,plasma-membrane proton-efflux P-type ATPase,20201026,-
1365176,16572758,N186_RS00535,N186_RS00535,N186_00550,-,-,-,ATP-cone domain-containing protein,protein-coding,-,-,-,ATP-cone domain-containing protein,20201026,-
1365176,16572759,N186_RS00540,N186_RS00540,N186_00555,-,-,-,QueT transporter family protein,protein-coding,-,-,-,QueT transporter family protein,20201026,-
1365176,16572760,N186_RS00545,N186_RS00545,N186_00560,-,-,-,DUF4013 domain-containing protein,protein-coding,-,-,-,DUF4013 domain-containing protein,20201026,-
1365176,16572762,N186_RS00550,N186_RS00550,N186_00570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572763,brxL,N186_RS00555,N186_00575,-,-,-,BREX system Lon protease-like protein BrxL,protein-coding,-,-,-,BREX system Lon protease-like protein BrxL,20201026,-
1365176,16572764,N186_RS00560,N186_RS00560,N186_00580,-,-,-,DUF1641 domain-containing protein,protein-coding,-,-,-,DUF1641 domain-containing protein,20201217,-
1365176,16572765,N186_RS00565,N186_RS00565,N186_00585,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20200829,-
1365176,16572766,N186_RS00570,N186_RS00570,N186_00590,-,-,-,sulfurtransferase TusA family protein,protein-coding,-,-,-,sulfurtransferase TusA family protein,20201026,-
1365176,16572767,N186_RS00575,N186_RS00575,N186_00595,-,-,-,DsrE/DsrF/DrsH-like family protein,protein-coding,-,-,-,DsrE/DsrF/DrsH-like family protein,20200829,-
1365176,16572768,N186_RS00580,N186_RS00580,N186_00600,-,-,-,creatininase family protein,protein-coding,-,-,-,creatininase family protein,20201026,-
1365176,16572769,N186_RS00585,N186_RS00585,N186_00605,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200829,-
1365176,16572770,N186_RS00590,N186_RS00590,N186_00610,-,-,-,iron ABC transporter permease,protein-coding,-,-,-,iron ABC transporter permease,20201026,-
1365176,16572771,N186_RS00595,N186_RS00595,N186_00615,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20200829,-
1365176,16572772,N186_RS00600,N186_RS00600,N186_00620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1365176,16572773,N186_RS00605,N186_RS00605,N186_00625,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201217,-
1365176,16572774,N186_RS00610,N186_RS00610,N186_00630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572775,N186_RS00615,N186_RS00615,N186_00635,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20200829,-
1365176,16572776,N186_RS00620,N186_RS00620,N186_00640,-,-,-,threonylcarbamoyl-AMP synthase,protein-coding,-,-,-,threonylcarbamoyl-AMP synthase,20200829,-
1365176,16572777,N186_RS00625,N186_RS00625,N186_00645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572778,N186_RS00630,N186_RS00630,N186_00650,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20200829,-
1365176,16572779,N186_RS00635,N186_RS00635,N186_00655,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200829,-
1365176,16572780,N186_RS00640,N186_RS00640,N186_00660,-,-,-,aldehyde ferredoxin oxidoreductase family protein,protein-coding,-,-,-,aldehyde ferredoxin oxidoreductase family protein,20201026,-
1365176,16572781,sfsA,N186_RS00645,N186_00665,-,-,-,DNA/RNA nuclease SfsA,protein-coding,-,-,-,DNA/RNA nuclease SfsA,20200829,-
1365176,16572782,N186_RS00650,N186_RS00650,N186_00670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572783,mobB,N186_RS00655,N186_00675,-,-,-,molybdopterin-guanine dinucleotide biosynthesis protein B,protein-coding,-,-,-,molybdopterin-guanine dinucleotide biosynthesis protein B,20200829,-
1365176,16572784,N186_RS00660,N186_RS00660,N186_00680,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210529,-
1365176,16572785,N186_RS00665,N186_RS00665,N186_00685,-,-,-,HesA/MoeB/ThiF family protein,protein-coding,-,-,-,HesA/MoeB/ThiF family protein,20200829,-
1365176,16572786,N186_RS00670,N186_RS00670,N186_00690,-,-,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20201217,-
1365176,16572787,N186_RS00675,N186_RS00675,N186_00695,-,-,-,heavy metal translocating P-type ATPase,protein-coding,-,-,-,heavy metal translocating P-type ATPase,20200829,-
1365176,16572788,N186_RS00680,N186_RS00680,N186_00700,-,-,-,pyridoxal-phosphate dependent enzyme,protein-coding,-,-,-,pyridoxal-phosphate dependent enzyme,20200829,-
1365176,16572790,N186_RS00690,N186_RS00690,N186_00710,-,-,-,ParB N-terminal domain-containing protein,protein-coding,-,-,-,ParB N-terminal domain-containing protein,20200829,-
1365176,16572791,N186_RS00695,N186_RS00695,N186_00715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572792,N186_RS00700,N186_RS00700,N186_00720,-,-,-,DUF981 family protein,protein-coding,-,-,-,DUF981 family protein,20200829,-
1365176,16572793,N186_RS00705,N186_RS00705,N186_00725,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200829,-
1365176,16572794,N186_RS00710,N186_RS00710,N186_00730,-,-,-,dihydrolipoyl dehydrogenase,protein-coding,-,-,-,dihydrolipoyl dehydrogenase,20200829,-
1365176,16572795,sppA,N186_RS00715,N186_00735,-,-,-,signal peptide peptidase SppA,protein-coding,-,-,-,signal peptide peptidase SppA,20210529,-
1365176,16572796,N186_RS00720,N186_RS00720,N186_00740,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200829,-
1365176,16572797,N186_RS00725,N186_RS00725,N186_00745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572798,N186_RS00730,N186_RS00730,N186_00750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572799,N186_RS00735,N186_RS00735,N186_00755,-,-,-,NTP transferase domain-containing protein,protein-coding,-,-,-,NTP transferase domain-containing protein,20201026,-
1365176,16572800,N186_RS00740,N186_RS00740,N186_00760,-,-,-,class II SORL domain-containing protein,protein-coding,-,-,-,class II SORL domain-containing protein,20201026,-
1365176,16572801,N186_RS00745,N186_RS00745,N186_00765,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200829,-
1365176,16572802,N186_RS00750,N186_RS00750,N186_00770,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20201026,-
1365176,16572803,N186_RS00755,N186_RS00755,N186_00775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572804,N186_RS00760,N186_RS00760,N186_00780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572805,N186_RS00765,N186_RS00765,N186_00785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572806,N186_RS00770,N186_RS00770,N186_00790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1365176,16572807,N186_RS00775,N186_RS00775,N186_00795,-,-,-,ferritin,protein-coding,-,-,-,ferritin,20200829,-
1365176,16572808,N186_RS00780,N186_RS00780,N186_00800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572809,N186_RS00785,N186_RS00785,N186_00805,-,-,-,dipeptide epimerase,protein-coding,-,-,-,dipeptide epimerase,20201026,-
1365176,16572810,N186_RS00790,N186_RS00790,N186_00810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572811,N186_RS00795,N186_RS00795,N186_00815,-,-,-,pyrroline-5-carboxylate reductase,protein-coding,-,-,-,pyrroline-5-carboxylate reductase,20201026,-
1365176,16572812,N186_RS00800,N186_RS00800,N186_00820,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20210529,-
1365176,16572813,N186_RS00805,N186_RS00805,N186_00825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1365176,16572814,N186_RS00810,N186_RS00810,N186_00830,-,-,-,phosphatase PAP2 family protein,protein-coding,-,-,-,phosphatase PAP2 family protein,20201026,-
1365176,16572815,N186_RS00815,N186_RS00815,N186_00835,-,-,-,M42 family metallopeptidase,protein-coding,-,-,-,M42 family metallopeptidase,20201026,-
1365176,16572816,N186_RS00820,N186_RS00820,N186_00840,-,-,-,rubrerythrin family protein,protein-coding,-,-,-,rubrerythrin family protein,20200829,-
1365176,16572817,N186_RS00825,N186_RS00825,N186_00845,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20201026,-
1365176,16572819,N186_RS00830,N186_RS00830,N186_00855,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20201026,-
1365176,16572820,N186_RS00835,N186_RS00835,N186_00860,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200829,-
1365176,16572822,N186_RS00845,N186_RS00845,N186_00870,-,-,-,alpha/beta fold hydrolase,protein-coding,-,-,-,alpha/beta fold hydrolase,20201026,-
1365176,16572823,N186_RS00850,N186_RS00850,N186_00875,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20201026,-
1365176,16572824,N186_RS00855,N186_RS00855,N186_00880,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
1365176,16572825,N186_RS00860,N186_RS00860,N186_00885,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20210529,-
1365176,16572826,N186_RS00865,N186_RS00865,N186_00890,-,-,-,energy-coupling factor transporter transmembrane protein EcfT,protein-coding,-,-,-,energy-coupling factor transporter transmembrane protein EcfT,20210529,-
1365176,16572827,N186_RS00870,N186_RS00870,N186_00895,-,-,-,QueT transporter family protein,protein-coding,-,-,-,QueT transporter family protein,20201026,-
1365176,16572828,N186_RS00875,N186_RS00875,N186_00900,-,-,-,transglutaminase domain-containing protein,protein-coding,-,-,-,transglutaminase domain-containing protein,20200829,-
1365176,16572829,N186_RS00880,N186_RS00880,N186_00905,-,-,-,nucleoside monophosphate kinase,protein-coding,-,-,-,nucleoside monophosphate kinase,20201026,-
1365176,16572830,N186_RS00885,N186_RS00885,N186_00910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200831,-
