#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1080800,11257781,SFP_0002,SFP_0002,-,-,-,-,RIIB phage protein,protein-coding,-,-,-,RIIB phage protein,20210313,-
1080800,11257804,SFP_0025,SFP_0025,-,-,-,-,serine/threonine protein phosphatase,protein-coding,-,-,-,serine/threonine protein phosphatase,20210313,-
1080800,11257805,SFP_0026,SFP_0026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257806,SFP_0027,SFP_0027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257807,SFP_0028,SFP_0028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257808,SFP_0029,SFP_0029,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210313,-
1080800,11257809,SFP_0030,SFP_0030,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20210313,-
1080800,11257810,SFP_0031,SFP_0031,-,-,-,-,phage head completion protein,protein-coding,-,-,-,phage head completion protein,20210313,-
1080800,11257811,SFP_0032,SFP_0032,-,-,-,-,phage tail tube associated base plate protein,protein-coding,-,-,-,phage tail tube associated base plate protein,20201220,-
1080800,11257812,SFP_0033,SFP_0033,-,-,-,-,phage baseplate wedge subunit,protein-coding,-,-,-,phage baseplate wedge subunit,20210313,-
1080800,11257813,SFP_0034,SFP_0034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257814,SFP_0035,SFP_0035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257815,SFP_0036,SFP_0036,-,-,-,-,T4-like loader of DNA helicase,protein-coding,-,-,-,T4-like loader of DNA helicase,20201220,-
1080800,11257816,SFP_0037,SFP_0037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257817,SFP_0038,SFP_0038,-,-,-,-,phage DNA ligase,protein-coding,-,-,-,phage DNA ligase,20201220,-
1080800,11257818,SFP_0039,SFP_0039,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
1080800,11257819,SFP_0040,SFP_0040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257820,SFP_0041,SFP_0041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257821,SFP_0042,SFP_0042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257822,SFP_0043,SFP_0043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257823,SFP_0044,SFP_0044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257824,SFP_0045,SFP_0045,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
1080800,11257825,SFP_0046,SFP_0046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257826,SFP_0047,SFP_0047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257827,SFP_0048,SFP_0048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257828,SFP_0049,SFP_0049,-,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210313,-
1080800,11257829,SFP_0050,SFP_0050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257830,SFP_0051,SFP_0051,-,-,-,-,UvsX RecA-like recombination protein,protein-coding,-,-,-,UvsX RecA-like recombination protein,20201220,-
1080800,11257831,SFP_0052,SFP_0052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257832,SFP_0053,SFP_0053,-,-,-,-,dUTP diphosphatase,protein-coding,-,-,-,dUTP diphosphatase,20210313,-
1080800,11257833,SFP_0054,SFP_0054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257834,SFP_0055,SFP_0055,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210313,-
1080800,11257835,SFP_0056,SFP_0056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257836,SFP_0057,SFP_0057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257837,SFP_0058,SFP_0058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257838,SFP_0059,SFP_0059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257839,SFP_0060,SFP_0060,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20201220,-
1080800,11257840,SFP_0061,SFP_0061,-,-,-,-,baseplate tail tube initiator protein,protein-coding,-,-,-,baseplate tail tube initiator protein,20201220,-
1080800,11257841,SFP_0062,SFP_0062,-,-,-,-,single strand DNA binding protein,protein-coding,-,-,-,single strand DNA binding protein,20210313,-
1080800,11257842,SFP_0063,SFP_0063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257843,SFP_0064,SFP_0064,-,-,-,-,T4-like late promoter transcription accessory protein,protein-coding,-,-,-,T4-like late promoter transcription accessory protein,20201220,-
1080800,11257844,SFP_0065,SFP_0065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257845,SFP_0066,SFP_0066,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
1080800,11257846,SFP_0067,SFP_0067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257847,SFP_0068,SFP_0068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257848,SFP_0069,SFP_0069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257849,SFP_0070,SFP_0070,-,-,-,-,base plate hub subunit protein,protein-coding,-,-,-,base plate hub subunit protein,20201220,-
1080800,11257850,SFP_0071,SFP_0071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1080800,11257851,SFP_0072,SFP_0072,-,-,-,-,base plate wedge subunit protein,protein-coding,-,-,-,base plate wedge subunit protein,20210313,-
1080800,11257852,SFP_0073,SFP_0073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257853,SFP_0074,SFP_0074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257854,SFP_0075,SFP_0075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257855,SFP_0076,SFP_0076,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210129,-
1080800,11257856,SFP_0077,SFP_0077,-,-,-,-,ribonucleotide-diphosphate reductase beta subunit NrdB,protein-coding,-,-,-,ribonucleotide-diphosphate reductase beta subunit NrdB,20210313,-
1080800,11257857,SFP_0078,SFP_0078,-,-,-,-,ribonucleoside-diphosphate reductase alpha subunit NrdA,protein-coding,-,-,-,ribonucleoside-diphosphate reductase alpha subunit NrdA,20210424,-
1080800,11257858,SFP_0079,SFP_0079,-,-,-,-,phosphate starvation-inducible PhoH-like protein,protein-coding,-,-,-,phosphate starvation-inducible PhoH-like protein,20210313,-
1080800,11257859,SFP_0080,SFP_0080,-,-,-,-,peptidoglycan binding protein,protein-coding,-,-,-,peptidoglycan binding protein,20210313,-
1080800,11257860,SFP_0081,SFP_0081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257861,SFP_0082,SFP_0082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257862,SFP_0083,SFP_0083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257863,SFP_0084,SFP_0084,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201220,-
1080800,11257864,SFP_0085,SFP_0085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257865,SFP_0086,SFP_0086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1080800,11257866,SFP_0087,SFP_0087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257867,SFP_0088,SFP_0088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257868,SFP_0089,SFP_0089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257869,SFP_0090,SFP_0090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257870,SFP_0091,SFP_0091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257871,SFP_0092,SFP_0092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257872,SFP_0093,SFP_0093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257873,SFP_0094,SFP_0094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257874,SFP_0095,SFP_0095,-,-,-,-,recombination endonuclease Gp46,protein-coding,-,-,-,recombination endonuclease Gp46,20210313,-
1080800,11257875,SFP_0096,SFP_0096,-,-,-,-,recombination endonucelase Gp47,protein-coding,-,-,-,recombination endonucelase Gp47,20201220,-
1080800,11257876,SFP_0097,SFP_0097,-,-,-,-,T4-like sigma transcription factor,protein-coding,-,-,-,T4-like sigma transcription factor,20201220,-
1080800,11257877,SFP_0098,SFP_0098,-,-,-,-,ribonuclease HI,protein-coding,-,-,-,ribonuclease HI,20201220,-
1080800,11257878,SFP_0099,SFP_0099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257879,SFP_0100,SFP_0100,-,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20201220,-
1080800,11257880,SFP_0101,SFP_0101,-,-,-,-,histon-like DNA binding protein,protein-coding,-,-,-,histon-like DNA binding protein,20201220,-
1080800,11257881,SFP_0102,SFP_0102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257882,SFP_0103,SFP_0103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257883,SFP_0104,SFP_0104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257884,SFP_0105,SFP_0105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257885,SFP_0106,SFP_0106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257886,SFP_0107,SFP_0107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257887,SFP_0108,SFP_0108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257888,SFP_0109,SFP_0109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257889,SFP_0110,SFP_0110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257890,SFP_0111,SFP_0111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257891,SFP_0112,SFP_0112,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210313,-
1080800,11257892,SFP_0113,SFP_0113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257893,SFP_0114,SFP_0114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1080800,11257894,SFP_0115,SFP_0115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1080800,11257895,SFP_0116,SFP_0116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257896,SFP_0117,SFP_0117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1080800,11257897,SFP_0118,SFP_0118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257898,SFP_0119,SFP_0119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257899,SFP_0120,SFP_0120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257900,SFP_0121,SFP_0121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257901,SFP_0122,SFP_0122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1080800,11257902,SFP_0123,SFP_0123,-,-,-,-,RegA translational repressor,protein-coding,-,-,-,RegA translational repressor,20201220,-
1080800,11257903,SFP_0124,SFP_0124,-,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20210313,-
1080800,11257904,SFP_0125,SFP_0125,-,-,-,-,clamp loader subunit DNA polymerase accessory protein Gp44,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein Gp44,20210313,-
1080800,11257905,SFP_0126,SFP_0126,-,-,-,-,sliding clamp DNA polymerase accessory protein Gp45,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein Gp45,20201220,-
1080800,11257906,SFP_0127,SFP_0127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1080800,11257907,SFP_0128,SFP_0128,-,-,-,-,RNA-DNA and DNA-DNA helicase UvsW,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase UvsW,20210313,-
1080800,11257908,SFP_0129,SFP_0129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257909,SFP_0130,SFP_0130,-,-,-,-,DNA repair/recombination protein UvsY,protein-coding,-,-,-,DNA repair/recombination protein UvsY,20210313,-
1080800,11257910,SFP_0131,SFP_0131,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20201220,-
1080800,11257911,SFP_0132,SFP_0132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257912,SFP_0133,SFP_0133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257913,SFP_0134,SFP_0134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257914,SFP_0135,SFP_0135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257915,SFP_0136,SFP_0136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257916,SFP_0137,SFP_0137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257917,SFP_0138,SFP_0138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257918,SFP_0139,SFP_0139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257919,SFP_0140,SFP_0140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257920,SFP_0141,SFP_0141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257921,SFP_0142,SFP_0142,-,-,-,-,phage major head protein/major capsid protein,protein-coding,-,-,-,phage major head protein/major capsid protein,20210313,-
1080800,11257922,SFP_0143,SFP_0143,-,-,-,-,phage prohead core protein Gp22,protein-coding,-,-,-,phage prohead core protein Gp22,20201220,-
1080800,11257923,SFP_0144,SFP_0144,-,-,-,-,phage prohead protease,protein-coding,-,-,-,phage prohead protease,20210313,-
1080800,11257924,SFP_0145,SFP_0145,-,-,-,-,phage prohead core protein Gp68,protein-coding,-,-,-,phage prohead core protein Gp68,20201220,-
1080800,11257925,SFP_0146,SFP_0146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257926,SFP_0147,SFP_0147,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20201220,-
1080800,11257927,SFP_0148,SFP_0148,-,-,-,-,phage tail tube protein,protein-coding,-,-,-,phage tail tube protein,20201220,-
1080800,11257928,SFP_0149,SFP_0149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257929,SFP_0150,SFP_0150,-,-,-,-,phage tail sheath protein,protein-coding,-,-,-,phage tail sheath protein,20201220,-
1080800,11257930,SFP_0151,SFP_0151,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20210313,-
1080800,11257931,SFP_0152,SFP_0152,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20201220,-
1080800,11257932,SFP_0153,SFP_0153,-,-,-,-,phage tail sheath stabilizer protein,protein-coding,-,-,-,phage tail sheath stabilizer protein,20210313,-
1080800,11257933,SFP_0154,SFP_0154,-,-,-,-,phage neck protein Gp14,protein-coding,-,-,-,phage neck protein Gp14,20201220,-
1080800,11257934,SFP_0155,SFP_0155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257935,SFP_0156,SFP_0156,-,-,-,-,phage neck protein Gp13,protein-coding,-,-,-,phage neck protein Gp13,20201220,-
1080800,11257936,SFP_0157,SFP_0157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257937,SFP_0158,SFP_0158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257938,SFP_0159,SFP_0159,-,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20210313,-
1080800,11257939,SFP_0160,SFP_0160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257940,SFP_0161,SFP_0161,-,-,-,-,phage tail fiber protein,protein-coding,-,-,-,phage tail fiber protein,20201220,-
1080800,11257941,SFP_0162,SFP_0162,-,-,-,-,phage tailspike protein,protein-coding,-,-,-,phage tailspike protein,20210313,-
1080800,11257942,SFP_0163,SFP_0163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257943,SFP_0164,SFP_0164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257944,SFP_0165,SFP_0165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257945,SFP_0166,SFP_0166,-,-,-,-,phage baseplate wedge subunit Gp6,protein-coding,-,-,-,phage baseplate wedge subunit Gp6,20201220,-
1080800,11257946,SFP_0167,SFP_0167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257947,SFP_0168,SFP_0168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257948,SFP_0169,SFP_0169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257949,SFP_0170,SFP_0170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257950,SFP_0171,SFP_0171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1080800,11257951,SFP_0172,SFP_0172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257952,SFP_0173,SFP_0173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257953,SFP_0174,SFP_0174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257954,SFP_0175,SFP_0175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257955,SFP_0176,SFP_0176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257956,SFP_0177,SFP_0177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257957,SFP_0178,SFP_0178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257958,SFP_0179,SFP_0179,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
1080800,11257959,SFP_0180,SFP_0180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257960,SFP_0181,SFP_0181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257961,SFP_0182,SFP_0182,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210313,-
1080800,11257962,SFP_0183,SFP_0183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257963,SFP_0184,SFP_0184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257964,SFP_0185,SFP_0185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257965,SFP_0186,SFP_0186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257966,SFP_0187,SFP_0187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257967,SFP_0188,SFP_0188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257968,SFP_0189,SFP_0189,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
1080800,11257969,SFP_0190,SFP_0190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257970,SFP_0191,SFP_0191,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
1080800,11257971,SFP_0192,SFP_0192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257972,SFP_0193,SFP_0193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257973,SFP_0194,SFP_0194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257974,SFP_0195,SFP_0195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257975,SFP_0196,SFP_0196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1080800,11257976,SFP_0197,SFP_0197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257977,SFP_0198,SFP_0198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257978,SFP_0199,SFP_0199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257979,SFP_0200,SFP_0200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257980,SFP_0201,SFP_0201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1080800,11257981,SFP_0001,SFP_0001,-,-,-,-,RIIA phage protein,protein-coding,-,-,-,RIIA phage protein,20201220,-
1080800,11266665,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
