#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588511,64367953,2,KD932_gp02,SEA_FULBRIGHT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2588511,64367975,24,KD932_gp24,SEA_FULBRIGHT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367976,25,KD932_gp25,SEA_FULBRIGHT_25,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210423,-
2588511,64367977,26,KD932_gp26,SEA_FULBRIGHT_26,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210423,-
2588511,64367978,27,KD932_gp27,SEA_FULBRIGHT_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210423,-
2588511,64367979,28,KD932_gp28,SEA_FULBRIGHT_28,-,-,-,holin,protein-coding,-,-,-,holin,20210529,-
2588511,64367980,29,KD932_gp29,SEA_FULBRIGHT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367981,30,KD932_gp30,SEA_FULBRIGHT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367982,31,KD932_gp31,SEA_FULBRIGHT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367983,32,KD932_gp32,SEA_FULBRIGHT_32,-,-,-,HicB-like antitoxin,protein-coding,-,-,-,HicB-like antitoxin,20210423,-
2588511,64367984,33,KD932_gp33,SEA_FULBRIGHT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367985,34,KD932_gp34,SEA_FULBRIGHT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2588511,64367986,35,KD932_gp35,SEA_FULBRIGHT_35,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210529,-
2588511,64367987,36,KD932_gp36,SEA_FULBRIGHT_36,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210529,-
2588511,64367988,37,KD932_gp37,SEA_FULBRIGHT_37,-,-,-,excise,protein-coding,-,-,-,excise,20210529,-
2588511,64367989,38,KD932_gp38,SEA_FULBRIGHT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367990,39,KD932_gp39,SEA_FULBRIGHT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367991,40,KD932_gp40,SEA_FULBRIGHT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367992,41,KD932_gp41,SEA_FULBRIGHT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367993,42,KD932_gp42,SEA_FULBRIGHT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367994,43,KD932_gp43,SEA_FULBRIGHT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367995,44,KD932_gp44,SEA_FULBRIGHT_44,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2588511,64367996,45,KD932_gp45,SEA_FULBRIGHT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64367997,46,KD932_gp46,SEA_FULBRIGHT_46,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210529,-
2588511,64367998,47,KD932_gp47,SEA_FULBRIGHT_47,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210529,-
2588511,64367999,48,KD932_gp48,SEA_FULBRIGHT_48,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210423,-
2588511,64368000,49,KD932_gp49,SEA_FULBRIGHT_49,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210529,-
2588511,64368001,50,KD932_gp50,SEA_FULBRIGHT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368002,51,KD932_gp51,SEA_FULBRIGHT_51,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210423,-
2588511,64368003,52,KD932_gp52,SEA_FULBRIGHT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368004,53,KD932_gp53,SEA_FULBRIGHT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368005,54,KD932_gp54,SEA_FULBRIGHT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368006,55,KD932_gp55,SEA_FULBRIGHT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368007,56,KD932_gp56,SEA_FULBRIGHT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368008,57,KD932_gp57,SEA_FULBRIGHT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368009,58,KD932_gp58,SEA_FULBRIGHT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368010,59,KD932_gp59,SEA_FULBRIGHT_59,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2588511,64368011,60,KD932_gp60,SEA_FULBRIGHT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368012,61,KD932_gp61,SEA_FULBRIGHT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368013,62,KD932_gp62,SEA_FULBRIGHT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368014,63,KD932_gp63,SEA_FULBRIGHT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368015,64,KD932_gp64,SEA_FULBRIGHT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368016,65,KD932_gp65,SEA_FULBRIGHT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368017,66,KD932_gp66,SEA_FULBRIGHT_66,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210423,-
2588511,64368018,67,KD932_gp67,SEA_FULBRIGHT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368019,68,KD932_gp68,SEA_FULBRIGHT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368020,69,KD932_gp69,SEA_FULBRIGHT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64368021,70,KD932_gp70,SEA_FULBRIGHT_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2588511,64368022,1,KD932_gp01,SEA_FULBRIGHT_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2588511,64409761,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
