#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1324617,52325162,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia aspalathi.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200408,-
1324617,64446225,BM438_RS00080,BM438_RS00080,SAMN05192563_100117,-,-,-,HDOD domain-containing protein,protein-coding,-,-,-,HDOD domain-containing protein,20210430,-
1324617,64446226,BM438_RS00085,BM438_RS00085,SAMN05192563_100118,-,-,-,sensor domain-containing phosphodiesterase,protein-coding,-,-,-,sensor domain-containing phosphodiesterase,20210430,-
1324617,64446227,BM438_RS00090,BM438_RS00090,SAMN05192563_100119,-,-,-,EAL domain-containing protein,protein-coding,-,-,-,EAL domain-containing protein,20210430,-
1324617,64446228,BM438_RS00095,BM438_RS00095,SAMN05192563_100120,-,-,-,peroxiredoxin,protein-coding,-,-,-,peroxiredoxin,20210430,-
1324617,64446229,BM438_RS00100,BM438_RS00100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446230,BM438_RS00105,BM438_RS00105,SAMN05192563_100123,-,-,-,efflux RND transporter permease subunit,protein-coding,-,-,-,efflux RND transporter permease subunit,20210430,-
1324617,64446231,BM438_RS00110,BM438_RS00110,SAMN05192563_100124,-,-,-,MdtB/MuxB family multidrug efflux RND transporter permease subunit,protein-coding,-,-,-,MdtB/MuxB family multidrug efflux RND transporter permease subunit,20210430,-
1324617,64446232,BM438_RS00115,BM438_RS00115,SAMN05192563_100125,-,-,-,MdtA/MuxA family multidrug efflux RND transporter periplasmic adaptor subunit,protein-coding,-,-,-,MdtA/MuxA family multidrug efflux RND transporter periplasmic adaptor subunit,20210430,-
1324617,64446233,BM438_RS00120,BM438_RS00120,SAMN05192563_100126,-,-,-,IclR family transcriptional regulator,protein-coding,-,-,-,IclR family transcriptional regulator,20210430,-
1324617,64446234,BM438_RS00125,BM438_RS00125,SAMN05192563_100127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446235,BM438_RS00130,BM438_RS00130,SAMN05192563_100128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446236,BM438_RS00135,BM438_RS00135,SAMN05192563_100130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446237,BM438_RS00140,BM438_RS00140,SAMN05192563_100133,-,-,-,PRC-barrel domain-containing protein,protein-coding,-,-,-,PRC-barrel domain-containing protein,20210430,-
1324617,64446238,BM438_RS00145,BM438_RS00145,SAMN05192563_100134,-,-,-,response regulator,protein-coding,-,-,-,response regulator,20210430,-
1324617,64446239,BM438_RS00155,BM438_RS00155,SAMN05192563_100136,-,-,-,DUF883 domain-containing protein,protein-coding,-,-,-,DUF883 domain-containing protein,20210430,-
1324617,64446240,BM438_RS00160,BM438_RS00160,SAMN05192563_100137,-,-,-,GlsB/YeaQ/YmgE family stress response membrane protein,protein-coding,-,-,-,GlsB/YeaQ/YmgE family stress response membrane protein,20210430,-
1324617,64446241,BM438_RS00165,BM438_RS00165,SAMN05192563_100138,-,-,-,SDR family NAD(P)-dependent oxidoreductase,protein-coding,-,-,-,SDR family NAD(P)-dependent oxidoreductase,20210430,-
1324617,64446242,BM438_RS00170,BM438_RS00170,SAMN05192563_100139,-,-,-,NAD(P)-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)-dependent oxidoreductase,20210430,-
1324617,64446243,BM438_RS00175,BM438_RS00175,SAMN05192563_100140,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210430,-
1324617,64446244,BM438_RS00180,BM438_RS00180,SAMN05192563_100141,-,-,-,DUF2934 domain-containing protein,protein-coding,-,-,-,DUF2934 domain-containing protein,20210430,-
1324617,64446245,BM438_RS00185,BM438_RS00185,SAMN05192563_100142,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210430,-
1324617,64446246,BM438_RS00190,BM438_RS00190,SAMN05192563_100143,-,-,-,VOC family protein,protein-coding,-,-,-,VOC family protein,20210430,-
1324617,64446247,BM438_RS00195,BM438_RS00195,SAMN05192563_100144,-,-,-,nuclear transport factor 2 family protein,protein-coding,-,-,-,nuclear transport factor 2 family protein,20210429,-
1324617,64446248,BM438_RS00200,BM438_RS00200,SAMN05192563_100145,-,-,-,acetylacetone-cleaving protein,protein-coding,-,-,-,acetylacetone-cleaving protein,20210430,-
1324617,64446249,BM438_RS00205,BM438_RS00205,SAMN05192563_100146,-,-,-,TIGR00366 family protein,protein-coding,-,-,-,TIGR00366 family protein,20210430,-
1324617,64446250,BM438_RS00210,BM438_RS00210,SAMN05192563_100147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446251,BM438_RS00215,BM438_RS00215,SAMN05192563_100148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446252,BM438_RS00220,BM438_RS00220,SAMN05192563_100149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210430,-
1324617,64446253,trpS,BM438_RS00225,SAMN05192563_100150,-,-,-,tryptophan--tRNA ligase,protein-coding,-,-,-,tryptophan--tRNA ligase,20210430,-
1324617,64446254,BM438_RS00230,BM438_RS00230,SAMN05192563_100151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446255,BM438_RS00235,BM438_RS00235,SAMN05192563_100152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446256,BM438_RS00240,BM438_RS00240,SAMN05192563_100153,-,-,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,protein-coding,-,-,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,20210430,-
1324617,64446257,BM438_RS00245,BM438_RS00245,SAMN05192563_100154,-,-,-,patatin-like phospholipase family protein,protein-coding,-,-,-,patatin-like phospholipase family protein,20210430,-
1324617,64446258,BM438_RS00250,BM438_RS00250,SAMN05192563_100155,-,-,-,GGDEF domain-containing protein,protein-coding,-,-,-,GGDEF domain-containing protein,20210430,-
1324617,64446259,BM438_RS00255,BM438_RS00255,SAMN05192563_100156,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64446260,BM438_RS00260,BM438_RS00260,SAMN05192563_100157,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64446261,BM438_RS00265,BM438_RS00265,SAMN05192563_100158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210430,-
1324617,64446262,BM438_RS00270,BM438_RS00270,SAMN05192563_100159,-,-,-,amidohydrolase family protein,protein-coding,-,-,-,amidohydrolase family protein,20210430,-
1324617,64446263,BM438_RS00275,BM438_RS00275,SAMN05192563_100160,-,-,-,DUF5624 domain-containing protein,protein-coding,-,-,-,DUF5624 domain-containing protein,20210429,-
1324617,64446264,BM438_RS00280,BM438_RS00280,SAMN05192563_100161,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210430,-
1324617,64446265,BM438_RS00285,BM438_RS00285,SAMN05192563_100162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210430,-
1324617,64446266,BM438_RS00290,BM438_RS00290,SAMN05192563_100163,-,-,-,porin,protein-coding,-,-,-,porin,20210430,-
1324617,64446267,BM438_RS00295,BM438_RS00295,SAMN05192563_100164,-,-,-,carboxylesterase family protein,protein-coding,-,-,-,carboxylesterase family protein,20210430,-
1324617,64446268,BM438_RS00300,BM438_RS00300,SAMN05192563_100165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446269,BM438_RS00305,BM438_RS00305,SAMN05192563_100166,-,-,-,rhodanese-like domain-containing protein,protein-coding,-,-,-,rhodanese-like domain-containing protein,20210430,-
1324617,64446270,BM438_RS00310,BM438_RS00310,SAMN05192563_100167,-,-,-,serine acetyltransferase,protein-coding,-,-,-,serine acetyltransferase,20210430,-
1324617,64446271,BM438_RS00315,BM438_RS00315,SAMN05192563_100168,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210430,-
1324617,64446272,BM438_RS00320,BM438_RS00320,SAMN05192563_100169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446273,BM438_RS00325,BM438_RS00325,SAMN05192563_100170,-,-,-,SufS family cysteine desulfurase,protein-coding,-,-,-,SufS family cysteine desulfurase,20210430,-
1324617,64446274,BM438_RS00330,BM438_RS00330,SAMN05192563_100171,-,-,-,DUF971 domain-containing protein,protein-coding,-,-,-,DUF971 domain-containing protein,20210430,-
1324617,64446275,BM438_RS00335,BM438_RS00335,SAMN05192563_100172,-,-,-,HEAT repeat domain-containing protein,protein-coding,-,-,-,HEAT repeat domain-containing protein,20210430,-
1324617,64446276,BM438_RS00340,BM438_RS00340,SAMN05192563_100173,-,-,-,ferredoxin family protein,protein-coding,-,-,-,ferredoxin family protein,20210430,-
1324617,64446277,BM438_RS00345,BM438_RS00345,SAMN05192563_100174,-,-,-,fumarate reductase/succinate dehydrogenase flavoprotein subunit,protein-coding,-,-,-,fumarate reductase/succinate dehydrogenase flavoprotein subunit,20210430,-
1324617,64446278,BM438_RS00350,BM438_RS00350,SAMN05192563_100175,-,-,-,GntR family transcriptional regulator,protein-coding,-,-,-,GntR family transcriptional regulator,20210430,-
1324617,64446279,BM438_RS00355,BM438_RS00355,SAMN05192563_100176,-,-,-,LLM class flavin-dependent oxidoreductase,protein-coding,-,-,-,LLM class flavin-dependent oxidoreductase,20210430,-
1324617,64446280,BM438_RS00360,BM438_RS00360,SAMN05192563_100177,-,-,-,LLM class flavin-dependent oxidoreductase,protein-coding,-,-,-,LLM class flavin-dependent oxidoreductase,20210430,-
1324617,64446281,BM438_RS00365,BM438_RS00365,SAMN05192563_100178,-,-,-,sugar ABC transporter ATP-binding protein,protein-coding,-,-,-,sugar ABC transporter ATP-binding protein,20210429,-
1324617,64446282,BM438_RS00370,BM438_RS00370,SAMN05192563_100179,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210430,-
1324617,64446283,BM438_RS00375,BM438_RS00375,SAMN05192563_100180,-,-,-,SfnB family sulfur acquisition oxidoreductase,protein-coding,-,-,-,SfnB family sulfur acquisition oxidoreductase,20210430,-
1324617,64446284,BM438_RS00380,BM438_RS00380,SAMN05192563_100181,-,-,-,LLM class flavin-dependent oxidoreductase,protein-coding,-,-,-,LLM class flavin-dependent oxidoreductase,20210430,-
1324617,64446285,BM438_RS00385,BM438_RS00385,SAMN05192563_100182,-,-,-,substrate-binding domain-containing protein,protein-coding,-,-,-,substrate-binding domain-containing protein,20210430,-
1324617,64446286,BM438_RS00390,BM438_RS00390,SAMN05192563_100183,-,-,-,LLM class flavin-dependent oxidoreductase,protein-coding,-,-,-,LLM class flavin-dependent oxidoreductase,20210430,-
1324617,64446287,BM438_RS00395,BM438_RS00395,SAMN05192563_100184,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210429,-
1324617,64446288,BM438_RS00400,BM438_RS00400,SAMN05192563_100185,-,-,-,MmgE/PrpD family protein,protein-coding,-,-,-,MmgE/PrpD family protein,20210430,-
1324617,64446289,BM438_RS00405,BM438_RS00405,SAMN05192563_100186,-,-,-,LLM class flavin-dependent oxidoreductase,protein-coding,-,-,-,LLM class flavin-dependent oxidoreductase,20210430,-
1324617,64446290,BM438_RS00410,BM438_RS00410,SAMN05192563_100187,-,-,-,amino acid ABC transporter ATP-binding protein,protein-coding,-,-,-,amino acid ABC transporter ATP-binding protein,20210430,-
1324617,64446291,BM438_RS00415,BM438_RS00415,SAMN05192563_100188,-,-,-,amino acid ABC transporter permease,protein-coding,-,-,-,amino acid ABC transporter permease,20210430,-
1324617,64446292,BM438_RS00420,BM438_RS00420,SAMN05192563_100189,-,-,-,amino acid ABC transporter permease,protein-coding,-,-,-,amino acid ABC transporter permease,20210430,-
1324617,64446293,BM438_RS00425,BM438_RS00425,SAMN05192563_100190,-,-,-,transporter substrate-binding domain-containing protein,protein-coding,-,-,-,transporter substrate-binding domain-containing protein,20210430,-
1324617,64446294,groL,BM438_RS00430,SAMN05192563_100191,-,-,-,chaperonin GroEL,protein-coding,-,-,-,chaperonin GroEL,20210430,-
1324617,64446295,BM438_RS00435,BM438_RS00435,SAMN05192563_100192,-,-,-,co-chaperone GroES,protein-coding,-,-,-,co-chaperone GroES,20210430,-
1324617,64446296,BM438_RS00440,BM438_RS00440,SAMN05192563_100193,-,-,-,acyl-CoA dehydrogenase family protein,protein-coding,-,-,-,acyl-CoA dehydrogenase family protein,20210430,-
1324617,64446297,BM438_RS00445,BM438_RS00445,SAMN05192563_100194,-,-,-,DUF3088 domain-containing protein,protein-coding,-,-,-,DUF3088 domain-containing protein,20210430,-
1324617,64446298,BM438_RS00450,BM438_RS00450,SAMN05192563_100195,-,-,-,TauD/TfdA family dioxygenase,protein-coding,-,-,-,TauD/TfdA family dioxygenase,20210430,-
1324617,64446299,BM438_RS00455,BM438_RS00455,SAMN05192563_100196,-,-,-,LLM class flavin-dependent oxidoreductase,protein-coding,-,-,-,LLM class flavin-dependent oxidoreductase,20210430,-
1324617,64446300,BM438_RS00460,BM438_RS00460,SAMN05192563_100197,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210430,-
1324617,64446301,BM438_RS00465,BM438_RS00465,SAMN05192563_100198,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210430,-
1324617,64446302,BM438_RS00470,BM438_RS00470,SAMN05192563_100199,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210430,-
1324617,64446303,BM438_RS00475,BM438_RS00475,SAMN05192563_1001100,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210430,-
1324617,64446304,BM438_RS00480,BM438_RS00480,SAMN05192563_1001101,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210430,-
1324617,64446305,BM438_RS00485,BM438_RS00485,SAMN05192563_1001102,-,-,-,alpha-hydroxy-acid oxidizing protein,protein-coding,-,-,-,alpha-hydroxy-acid oxidizing protein,20210430,-
1324617,64446306,BM438_RS00490,BM438_RS00490,SAMN05192563_1001103,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210430,-
1324617,64446307,dapA,BM438_RS00495,SAMN05192563_1001104,-,-,-,4-hydroxy-tetrahydrodipicolinate synthase,protein-coding,-,-,-,4-hydroxy-tetrahydrodipicolinate synthase,20210430,-
1324617,64446308,BM438_RS00500,BM438_RS00500,SAMN05192563_1001105,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20210430,-
1324617,64446309,BM438_RS00505,BM438_RS00505,SAMN05192563_1001106,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210430,-
1324617,64446310,BM438_RS00510,BM438_RS00510,SAMN05192563_1001107,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210430,-
1324617,64446311,BM438_RS00515,BM438_RS00515,SAMN05192563_1001108,-,-,-,FAD-binding oxidoreductase,protein-coding,-,-,-,FAD-binding oxidoreductase,20210430,-
1324617,64446312,BM438_RS00520,BM438_RS00520,SAMN05192563_1001109,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210430,-
1324617,64446313,BM438_RS00525,BM438_RS00525,SAMN05192563_1001110,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20210430,-
1324617,64446314,BM438_RS00530,BM438_RS00530,SAMN05192563_1001111,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210430,-
1324617,64446315,BM438_RS00535,BM438_RS00535,SAMN05192563_1001112,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210430,-
1324617,64446316,soxC,BM438_RS00540,SAMN05192563_1001113,-,-,-,sulfite dehydrogenase,protein-coding,-,-,-,sulfite dehydrogenase,20210430,-
1324617,64446317,BM438_RS00545,BM438_RS00545,SAMN05192563_1001114,-,-,-,cytochrome c,protein-coding,-,-,-,cytochrome c,20210430,-
1324617,64446318,BM438_RS00550,BM438_RS00550,SAMN05192563_1001115,-,-,-,acyltransferase,protein-coding,-,-,-,acyltransferase,20210430,-
1324617,64446319,BM438_RS00555,BM438_RS00555,SAMN05192563_1001116,-,-,-,DUF1801 domain-containing protein,protein-coding,-,-,-,DUF1801 domain-containing protein,20210430,-
1324617,64446320,crcB,BM438_RS00560,SAMN05192563_1001117,-,-,-,fluoride efflux transporter CrcB,protein-coding,-,-,-,fluoride efflux transporter CrcB,20210430,-
1324617,64446321,BM438_RS00565,BM438_RS00565,SAMN05192563_1001119,-,-,-,DUF190 domain-containing protein,protein-coding,-,-,-,DUF190 domain-containing protein,20210430,-
1324617,64446322,BM438_RS00570,BM438_RS00570,SAMN05192563_1001120,-,-,-,ammonium transporter,protein-coding,-,-,-,ammonium transporter,20210430,-
1324617,64446323,BM438_RS00575,BM438_RS00575,SAMN05192563_1001121,-,-,-,sensor histidine kinase,protein-coding,-,-,-,sensor histidine kinase,20210430,-
1324617,64446324,BM438_RS00580,BM438_RS00580,SAMN05192563_1001122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210430,-
1324617,64446325,BM438_RS00585,BM438_RS00585,SAMN05192563_1001123,-,-,-,DJ-1/PfpI family protein,protein-coding,-,-,-,DJ-1/PfpI family protein,20210430,-
1324617,64446326,BM438_RS00590,BM438_RS00590,SAMN05192563_1001124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446327,BM438_RS00595,BM438_RS00595,SAMN05192563_1001125,-,-,-,Rrf2 family transcriptional regulator,protein-coding,-,-,-,Rrf2 family transcriptional regulator,20210430,-
1324617,64446328,BM438_RS00600,BM438_RS00600,SAMN05192563_1001126,-,-,-,NAD(P)H-binding protein,protein-coding,-,-,-,NAD(P)H-binding protein,20210430,-
1324617,64446329,BM438_RS00605,BM438_RS00605,SAMN05192563_1001127,-,-,-,mechanosensitive ion channel,protein-coding,-,-,-,mechanosensitive ion channel,20210430,-
1324617,64446330,BM438_RS00610,BM438_RS00610,SAMN05192563_1001128,-,-,-,cysteine dioxygenase family protein,protein-coding,-,-,-,cysteine dioxygenase family protein,20210430,-
1324617,64446331,BM438_RS00615,BM438_RS00615,SAMN05192563_1001129,-,-,-,Lrp/AsnC family transcriptional regulator,protein-coding,-,-,-,Lrp/AsnC family transcriptional regulator,20210430,-
1324617,64446332,BM438_RS00620,BM438_RS00620,SAMN05192563_1001130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446333,BM438_RS00625,BM438_RS00625,SAMN05192563_1001131,-,-,-,FUSC family protein,protein-coding,-,-,-,FUSC family protein,20210430,-
1324617,64446334,recC,BM438_RS00630,SAMN05192563_1001132,-,-,-,exodeoxyribonuclease V subunit gamma,protein-coding,-,-,-,exodeoxyribonuclease V subunit gamma,20210430,-
1324617,64446335,recB,BM438_RS00635,SAMN05192563_1001133,-,-,-,exodeoxyribonuclease V subunit beta,protein-coding,-,-,-,exodeoxyribonuclease V subunit beta,20210430,-
1324617,64446336,BM438_RS00640,BM438_RS00640,SAMN05192563_1001134,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210430,-
1324617,64446337,BM438_RS00645,BM438_RS00645,SAMN05192563_1001135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446338,arfB,BM438_RS00650,SAMN05192563_1001136,-,-,-,aminoacyl-tRNA hydrolase,protein-coding,-,-,-,aminoacyl-tRNA hydrolase,20210430,-
1324617,64446339,BM438_RS00655,BM438_RS00655,SAMN05192563_1001137,-,-,-,EAL domain-containing protein,protein-coding,-,-,-,EAL domain-containing protein,20210430,-
1324617,64446340,BM438_RS00660,BM438_RS00660,SAMN05192563_1001138,-,-,-,antibiotic biosynthesis monooxygenase,protein-coding,-,-,-,antibiotic biosynthesis monooxygenase,20210430,-
1324617,64446341,BM438_RS00665,BM438_RS00665,SAMN05192563_1001139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210430,-
1324617,64446342,BM438_RS00670,BM438_RS00670,SAMN05192563_1001140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446343,BM438_RS00675,BM438_RS00675,SAMN05192563_1001141,-,-,-,YdcF family protein,protein-coding,-,-,-,YdcF family protein,20210430,-
1324617,64446344,BM438_RS00680,BM438_RS00680,SAMN05192563_1001142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446345,BM438_RS00685,BM438_RS00685,SAMN05192563_1001143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210430,-
1324617,64446346,BM438_RS00690,BM438_RS00690,SAMN05192563_1001144,-,-,-,transposase,protein-coding,-,-,-,transposase,20210430,-
1324617,64446347,BM438_RS00695,BM438_RS00695,SAMN05192563_1001145,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210430,-
1324617,64446348,BM438_RS00700,BM438_RS00700,SAMN05192563_1001146,-,-,-,pyridoxal phosphate-dependent aminotransferase,protein-coding,-,-,-,pyridoxal phosphate-dependent aminotransferase,20210430,-
1324617,64446349,scpB,BM438_RS00705,SAMN05192563_1001147,-,-,-,SMC-Scp complex subunit ScpB,protein-coding,-,-,-,SMC-Scp complex subunit ScpB,20210430,-
1324617,64446350,BM438_RS00710,BM438_RS00710,SAMN05192563_1001148,-,-,-,rRNA pseudouridine synthase,protein-coding,-,-,-,rRNA pseudouridine synthase,20210430,-
1324617,64446351,BM438_RS00715,BM438_RS00715,SAMN05192563_1001149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
1324617,64446352,rimP,BM438_RS00720,SAMN05192563_1001150,-,-,-,ribosome maturation factor RimP,protein-coding,-,-,-,ribosome maturation factor RimP,20210430,-
1324617,64446353,nusA,BM438_RS00725,SAMN05192563_1001151,-,-,-,transcription termination/antitermination protein NusA,protein-coding,-,-,-,transcription termination/antitermination protein NusA,20210430,-
1324617,64446354,infB,BM438_RS00730,SAMN05192563_1001152,-,-,-,translation initiation factor IF-2,protein-coding,-,-,-,translation initiation factor IF-2,20210430,-
1324617,64446355,rbfA,BM438_RS00735,SAMN05192563_1001153,-,-,-,30S ribosome-binding factor RbfA,protein-coding,-,-,-,30S ribosome-binding factor RbfA,20210430,-
1324617,64446356,truB,BM438_RS00740,SAMN05192563_1001154,-,-,-,tRNA pseudouridine(55) synthase TruB,protein-coding,-,-,-,tRNA pseudouridine(55) synthase TruB,20210430,-
1324617,64446357,BM438_RS00745,BM438_RS00745,SAMN05192563_1001155,-,-,-,DHA2 family efflux MFS transporter permease subunit,protein-coding,-,-,-,DHA2 family efflux MFS transporter permease subunit,20210430,-
1324617,64446358,BM438_RS00750,BM438_RS00750,SAMN05192563_1001156,-,-,-,EmrA/EmrK family multidrug efflux transporter periplasmic adaptor subunit,protein-coding,-,-,-,EmrA/EmrK family multidrug efflux transporter periplasmic adaptor subunit,20210430,-
1324617,64446359,BM438_RS00755,BM438_RS00755,SAMN05192563_1001157,-,-,-,efflux transporter outer membrane subunit,protein-coding,-,-,-,efflux transporter outer membrane subunit,20210430,-
1324617,64446360,BM438_RS00760,BM438_RS00760,SAMN05192563_1001158,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210430,-
1324617,64446361,typA,BM438_RS00765,SAMN05192563_1001159,-,-,-,translational GTPase TypA,protein-coding,-,-,-,translational GTPase TypA,20210430,-
1324617,64446362,BM438_RS00770,BM438_RS00770,SAMN05192563_1001161,-,-,-,2-oxoglutarate dehydrogenase E1 component,protein-coding,-,-,-,2-oxoglutarate dehydrogenase E1 component,20210430,-
