#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2575323,65053111,KMB85_gp03,KMB85_gp03,vBEcoSW011D_3,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210608,-
2575323,65053136,KMB85_gp28,KMB85_gp28,vBEcoSW011D_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053137,KMB85_gp29,KMB85_gp29,vBEcoSW011D_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053138,KMB85_gp30,KMB85_gp30,vBEcoSW011D_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053139,KMB85_gp31,KMB85_gp31,vBEcoSW011D_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053140,KMB85_gp32,KMB85_gp32,vBEcoSW011D_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053141,KMB85_gp33,KMB85_gp33,vBEcoSW011D_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053142,KMB85_gp34,KMB85_gp34,vBEcoSW011D_34,-,-,-,putative apolipoprotein N-acyltransferase,protein-coding,-,-,-,putative apolipoprotein N-acyltransferase,20210608,-
2575323,65053143,KMB85_gp35,KMB85_gp35,vBEcoSW011D_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053144,KMB85_gp36,KMB85_gp36,vBEcoSW011D_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053145,KMB85_gp37,KMB85_gp37,vBEcoSW011D_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053146,KMB85_gp38,KMB85_gp38,vBEcoSW011D_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053147,KMB85_gp39,KMB85_gp39,vBEcoSW011D_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053148,KMB85_gp40,KMB85_gp40,vBEcoSW011D_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053149,KMB85_gp41,KMB85_gp41,vBEcoSW011D_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053150,KMB85_gp42,KMB85_gp42,vBEcoSW011D_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053151,KMB85_gp43,KMB85_gp43,vBEcoSW011D_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053152,KMB85_gp44,KMB85_gp44,vBEcoSW011D_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053153,KMB85_gp45,KMB85_gp45,vBEcoSW011D_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053154,KMB85_gp46,KMB85_gp46,vBEcoSW011D_46,-,-,-,putative cytosine DNA methylase,protein-coding,-,-,-,putative cytosine DNA methylase,20210608,-
2575323,65053155,KMB85_gp47,KMB85_gp47,vBEcoSW011D_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053156,KMB85_gp48,KMB85_gp48,vBEcoSW011D_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053157,KMB85_gp49,KMB85_gp49,vBEcoSW011D_49,-,-,-,helicase,protein-coding,-,-,-,helicase,20210608,-
2575323,65053158,KMB85_gp50,KMB85_gp50,vBEcoSW011D_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053159,KMB85_gp51,KMB85_gp51,vBEcoSW011D_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053160,KMB85_gp52,KMB85_gp52,vBEcoSW011D_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053161,KMB85_gp53,KMB85_gp53,vBEcoSW011D_53,-,-,-,unimolecular spanin,protein-coding,-,-,-,unimolecular spanin,20210608,-
2575323,65053162,KMB85_gp54,KMB85_gp54,vBEcoSW011D_54,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210608,-
2575323,65053163,KMB85_gp55,KMB85_gp55,vBEcoSW011D_55,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2575323,65053164,KMB85_gp56,KMB85_gp56,vBEcoSW011D_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053165,KMB85_gp57,KMB85_gp57,vBEcoSW011D_57,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20210608,-
2575323,65053166,KMB85_gp58,KMB85_gp58,vBEcoSW011D_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053167,KMB85_gp59,KMB85_gp59,vBEcoSW011D_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053168,KMB85_gp60,KMB85_gp60,vBEcoSW011D_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053169,KMB85_gp61,KMB85_gp61,vBEcoSW011D_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053170,KMB85_gp62,KMB85_gp62,vBEcoSW011D_62,-,-,-,Dam,protein-coding,-,-,-,Dam,20210608,-
2575323,65053171,KMB85_gp63,KMB85_gp63,vBEcoSW011D_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053172,KMB85_gp64,KMB85_gp64,vBEcoSW011D_64,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210608,-
2575323,65053173,KMB85_gp65,KMB85_gp65,vBEcoSW011D_65,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210608,-
2575323,65053174,KMB85_gp66,KMB85_gp66,vBEcoSW011D_66,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2575323,65053175,KMB85_gp67,KMB85_gp67,vBEcoSW011D_67,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210608,-
2575323,65053176,KMB85_gp68,KMB85_gp68,vBEcoSW011D_68,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210608,-
2575323,65053177,KMB85_gp69,KMB85_gp69,vBEcoSW011D_69,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210608,-
2575323,65053178,KMB85_gp70,KMB85_gp70,vBEcoSW011D_70,-,-,-,exodeoxyribonuclease VIII,protein-coding,-,-,-,exodeoxyribonuclease VIII,20210608,-
2575323,65053179,KMB85_gp71,KMB85_gp71,vBEcoSW011D_71,-,-,-,super-infection exclusion protein,protein-coding,-,-,-,super-infection exclusion protein,20210608,-
2575323,65053180,KMB85_gp72,KMB85_gp72,vBEcoSW011D_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053181,KMB85_gp73,KMB85_gp73,vBEcoSW011D_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053182,KMB85_gp74,KMB85_gp74,vBEcoSW011D_74,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210608,-
2575323,65053183,KMB85_gp75,KMB85_gp75,vBEcoSW011D_75,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210608,-
2575323,65053184,KMB85_gp76,KMB85_gp76,vBEcoSW011D_76,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210608,-
2575323,65053185,KMB85_gp77,KMB85_gp77,vBEcoSW011D_77,-,-,-,tail tip assembly protein,protein-coding,-,-,-,tail tip assembly protein,20210608,-
2575323,65053186,KMB85_gp78,KMB85_gp78,vBEcoSW011D_78,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2575323,65053187,KMB85_gp79,KMB85_gp79,vBEcoSW011D_79,-,-,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20210608,-
2575323,65053188,KMB85_gp80,KMB85_gp80,vBEcoSW011D_80,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210608,-
2575323,65053189,KMB85_gp81,KMB85_gp81,vBEcoSW011D_81,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210608,-
2575323,65053190,KMB85_gp82,KMB85_gp82,vBEcoSW011D_82,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210608,-
2575323,65053191,KMB85_gp83,KMB85_gp83,vBEcoSW011D_83,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210608,-
2575323,65053192,KMB85_gp84,KMB85_gp84,vBEcoSW011D_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053193,KMB85_gp85,KMB85_gp85,vBEcoSW011D_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65053194,KMB85_gp02,KMB85_gp02,vBEcoSW011D_2,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2575323,65053195,KMB85_gp01,KMB85_gp01,vBEcoSW011D_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2575323,65243131,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
