#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024239,54981763,HOR92_gp02,HOR92_gp02,KPNN141_02,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210403,-
2024239,54981828,HOR92_gp67,HOR92_gp67,KPNN141_67,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210403,-
2024239,54981829,HOR92_gp68,HOR92_gp68,KPNN141_68,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2024239,54981830,HOR92_gp69,HOR92_gp69,KPNN141_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981831,HOR92_gp70,HOR92_gp70,KPNN141_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024239,54981832,HOR92_gp71,HOR92_gp71,KPNN141_71,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2024239,54981833,HOR92_gp72,HOR92_gp72,KPNN141_72,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20201221,-
2024239,54981834,HOR92_gp73,HOR92_gp73,KPNN141_73,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210403,-
2024239,54981835,HOR92_gp74,HOR92_gp74,KPNN141_74,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2024239,54981836,HOR92_gp75,HOR92_gp75,KPNN141_75,-,-,-,primase,protein-coding,-,-,-,primase,20210403,-
2024239,54981837,HOR92_gp76,HOR92_gp76,KPNN141_76,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210123,-
2024239,54981838,HOR92_gp01,HOR92_gp01,KPNN141_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024239,55153596,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
