#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1572743,26630364,AVV64_gp02,AVV64_gp02,535AP2_02,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1572743,26630402,AVV64_gp40,AVV64_gp40,535AP2_40,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20201221,-
1572743,26630403,AVV64_gp41,AVV64_gp41,535AP2_41,-,-,-,pyruvate kinase,protein-coding,-,-,-,pyruvate kinase,20200629,-
1572743,26630404,AVV64_gp42,AVV64_gp42,535AP2_42,-,-,-,YqaJ viral recombinase family protein,protein-coding,-,-,-,YqaJ viral recombinase family protein,20201221,-
1572743,26630405,AVV64_gp43,AVV64_gp43,535AP2_43,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20201221,-
1572743,26630406,AVV64_gp44,AVV64_gp44,535AP2_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630407,AVV64_gp45,AVV64_gp45,535AP2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630408,AVV64_gp46,AVV64_gp46,535AP2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630409,AVV64_gp47,AVV64_gp47,535AP2_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630410,AVV64_gp48,AVV64_gp48,535AP2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630411,AVV64_gt01,AVV64_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572743,26630412,AVV64_gp78,AVV64_gp78,535AP2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630413,AVV64_gp77,AVV64_gp77,535AP2_51,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,protein-coding,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,20210417,-
1572743,26630414,AVV64_gp76,AVV64_gp76,535AP2_52,-,-,-,HigA family addiction module antidote protein,protein-coding,-,-,-,HigA family addiction module antidote protein,20201221,-
1572743,26630415,AVV64_gp75,AVV64_gp75,535AP2_53,-,-,-,IS481 family transposase,protein-coding,-,-,-,IS481 family transposase,20201221,-
1572743,26630416,AVV64_gp74,AVV64_gp74,535AP2_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1572743,26630417,AVV64_gp73,AVV64_gp73,535AP2_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630418,AVV64_gp72,AVV64_gp72,535AP2_56,-,-,-,LexA family transcriptional regulator,protein-coding,-,-,-,LexA family transcriptional regulator,20210417,-
1572743,26630419,AVV64_gp71,AVV64_gp71,535AP2_57,-,-,-,Cro repressor,protein-coding,-,-,-,Cro repressor,20200629,-
1572743,26630420,AVV64_gp70,AVV64_gp70,535AP2_58,-,-,-,CII protein,protein-coding,-,-,-,CII protein,20200926,-
1572743,26630421,AVV64_gp69,AVV64_gp69,535AP2_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630422,AVV64_gp68,AVV64_gp68,535AP2_60,-,-,-,replication protein O,protein-coding,-,-,-,replication protein O,20200629,-
1572743,26630423,AVV64_gp67,AVV64_gp67,535AP2_61,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
1572743,26630424,AVV64_gp66,AVV64_gp66,535AP2_62,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1572743,26630425,AVV64_gp65,AVV64_gp65,535AP2_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630426,AVV64_gp64,AVV64_gp64,535AP2_64,-,-,-,DUF1367 family protein,protein-coding,-,-,-,DUF1367 family protein,20201221,-
1572743,26630427,AVV64_gp63,AVV64_gp63,535AP2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630428,AVV64_gp62,AVV64_gp62,535AP2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630429,AVV64_gp61,AVV64_gp61,535AP2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630430,AVV64_gp60,AVV64_gp60,535AP2_68,-,-,-,recombination protein NinG,protein-coding,-,-,-,recombination protein NinG,20201221,-
1572743,26630431,AVV64_gp59,AVV64_gp59,535AP2_69,-,-,-,antitermination protein Q,protein-coding,-,-,-,antitermination protein Q,20200912,-
1572743,26630432,AVV64_gp58,AVV64_gp58,535AP2_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630433,AVV64_gp57,AVV64_gp57,535AP2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630434,AVV64_gp56,AVV64_gp56,535AP2_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630435,AVV64_gp55,AVV64_gp55,535AP2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630436,AVV64_gp54,AVV64_gp54,535AP2_74,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1572743,26630437,AVV64_gp53,AVV64_gp53,535AP2_75,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1572743,26630438,AVV64_gp52,AVV64_gp52,535AP2_76,-,-,-,DUF2570 domain-containing protein,protein-coding,-,-,-,DUF2570 domain-containing protein,20201221,-
1572743,26630439,AVV64_gp51,AVV64_gp51,535AP2_77,-,-,-,lytic protein Rz1,protein-coding,-,-,-,lytic protein Rz1,20200629,-
1572743,26630440,AVV64_gp50,AVV64_gp50,535AP2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630441,AVV64_gp49,AVV64_gp49,535AP2_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630442,AVV64_gp79,AVV64_gp79,535AP2_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572743,26630443,AVV64_gp01,AVV64_gp01,535AP2_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1572743,26680690,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mannheimia haemolytica bacteriophage vB_MhS_535AP2).,other,-,-,-,-,20200513,-
