#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1536603,23678943,PBI_ESTAVE1_2,PBI_ESTAVE1_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1536603,23678986,PBI_ESTAVE1_45,PBI_ESTAVE1_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678987,PBI_ESTAVE1_46,PBI_ESTAVE1_46,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1536603,23678988,PBI_ESTAVE1_47,PBI_ESTAVE1_47,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1536603,23678989,PBI_ESTAVE1_48,PBI_ESTAVE1_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1536603,23678990,PBI_ESTAVE1_49,PBI_ESTAVE1_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678991,PBI_ESTAVE1_50,PBI_ESTAVE1_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678992,PBI_ESTAVE1_51,PBI_ESTAVE1_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678993,PBI_ESTAVE1_52,PBI_ESTAVE1_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678994,PBI_ESTAVE1_53,PBI_ESTAVE1_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678995,PBI_ESTAVE1_54,PBI_ESTAVE1_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678996,PBI_ESTAVE1_55,PBI_ESTAVE1_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678997,PBI_ESTAVE1_56,PBI_ESTAVE1_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678998,PBI_ESTAVE1_57,PBI_ESTAVE1_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23678999,PBI_ESTAVE1_58,PBI_ESTAVE1_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679000,PBI_ESTAVE1_59,PBI_ESTAVE1_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679001,PBI_ESTAVE1_60,PBI_ESTAVE1_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1536603,23679002,PBI_ESTAVE1_61,PBI_ESTAVE1_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679003,PBI_ESTAVE1_62,PBI_ESTAVE1_62,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210417,-
1536603,23679004,PBI_ESTAVE1_63,PBI_ESTAVE1_63,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210417,-
1536603,23679005,PBI_ESTAVE1_64,PBI_ESTAVE1_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679006,PBI_ESTAVE1_65,PBI_ESTAVE1_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679007,PBI_ESTAVE1_66,PBI_ESTAVE1_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679008,PBI_ESTAVE1_67,PBI_ESTAVE1_67,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20201221,-
1536603,23679009,PBI_ESTAVE1_68,PBI_ESTAVE1_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679010,PBI_ESTAVE1_69,PBI_ESTAVE1_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679011,PBI_ESTAVE1_70,PBI_ESTAVE1_70,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1536603,23679012,PBI_ESTAVE1_71,PBI_ESTAVE1_71,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1536603,23679013,PBI_ESTAVE1_72,PBI_ESTAVE1_72,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1536603,23679014,PBI_ESTAVE1_73,PBI_ESTAVE1_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679015,PBI_ESTAVE1_74,PBI_ESTAVE1_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679016,PBI_ESTAVE1_75,PBI_ESTAVE1_75,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1536603,23679017,PBI_ESTAVE1_76,PBI_ESTAVE1_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679018,PBI_ESTAVE1_77,PBI_ESTAVE1_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679019,PBI_ESTAVE1_78,PBI_ESTAVE1_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679020,PBI_ESTAVE1_79,PBI_ESTAVE1_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679021,PBI_ESTAVE1_80,PBI_ESTAVE1_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679022,PBI_ESTAVE1_81,PBI_ESTAVE1_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679023,PBI_ESTAVE1_82,PBI_ESTAVE1_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679024,PBI_ESTAVE1_83,PBI_ESTAVE1_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679025,PBI_ESTAVE1_84,PBI_ESTAVE1_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679026,PBI_ESTAVE1_85,PBI_ESTAVE1_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679027,PBI_ESTAVE1_86,PBI_ESTAVE1_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679028,PBI_ESTAVE1_87,PBI_ESTAVE1_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679029,PBI_ESTAVE1_88,PBI_ESTAVE1_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679030,PBI_ESTAVE1_89,PBI_ESTAVE1_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679031,PBI_ESTAVE1_90,PBI_ESTAVE1_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679032,PBI_ESTAVE1_91,PBI_ESTAVE1_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679033,PBI_ESTAVE1_92,PBI_ESTAVE1_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679034,PBI_ESTAVE1_93,PBI_ESTAVE1_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679035,PBI_ESTAVE1_94,PBI_ESTAVE1_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679036,PBI_ESTAVE1_95,PBI_ESTAVE1_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679037,PBI_ESTAVE1_96,PBI_ESTAVE1_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679038,PBI_ESTAVE1_97,PBI_ESTAVE1_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679039,PBI_ESTAVE1_98,PBI_ESTAVE1_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679040,PBI_ESTAVE1_99,PBI_ESTAVE1_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679041,PBI_ESTAVE1_100,PBI_ESTAVE1_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679042,PBI_ESTAVE1_101,PBI_ESTAVE1_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679043,PBI_ESTAVE1_102,PBI_ESTAVE1_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1536603,23679044,PBI_ESTAVE1_103,PBI_ESTAVE1_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679045,PBI_ESTAVE1_104,PBI_ESTAVE1_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679046,PBI_ESTAVE1_105,PBI_ESTAVE1_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679047,PBI_ESTAVE1_106,PBI_ESTAVE1_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679048,PBI_ESTAVE1_107,PBI_ESTAVE1_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679049,PBI_ESTAVE1_108,PBI_ESTAVE1_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679050,PBI_ESTAVE1_109,PBI_ESTAVE1_109,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1536603,23679051,PBI_ESTAVE1_110,PBI_ESTAVE1_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536603,23679052,PBI_ESTAVE1_111,PBI_ESTAVE1_111,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1536603,23679053,PBI_ESTAVE1_112,PBI_ESTAVE1_112,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1536603,23679054,PBI_ESTAVE1_1,PBI_ESTAVE1_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1536603,23711127,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Estave1).,other,-,-,-,-,20200513,-
