#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743932,64368024,2,KD933_gp02,SEA_REBEL_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210423,-
2743932,64368063,46,KD933_gp46,SEA_REBEL_46,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210522,-
2743932,64368064,47,KD933_gp47,SEA_REBEL_47,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210522,-
2743932,64368065,48,KD933_gp48,SEA_REBEL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368066,49,KD933_gp49,SEA_REBEL_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368067,50,KD933_gp50,SEA_REBEL_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368068,51,KD933_gp51,SEA_REBEL_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368069,52,KD933_gp52,SEA_REBEL_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368070,53,KD933_gp53,SEA_REBEL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368071,54,KD933_gp54,SEA_REBEL_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368072,55,KD933_gp55,SEA_REBEL_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368073,56,KD933_gp56,SEA_REBEL_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368074,57,KD933_gp57,SEA_REBEL_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743932,64368075,58,KD933_gp58,SEA_REBEL_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210423,-
2743932,64368076,59,KD933_gp59,SEA_REBEL_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368077,60,KD933_gp60,SEA_REBEL_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368078,61,KD933_gp61,SEA_REBEL_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210423,-
2743932,64368079,62,KD933_gp62,SEA_REBEL_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368080,63,KD933_gp63,SEA_REBEL_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368081,64,KD933_gp64,SEA_REBEL_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368082,65,KD933_gp65,SEA_REBEL_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368083,66,KD933_gp66,SEA_REBEL_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2743932,64368084,39,KD933_gp39,SEA_REBEL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368085,32,KD933_gp32,SEA_REBEL_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368086,25,KD933_gp25,SEA_REBEL_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210515,-
2743932,64368087,40,KD933_gp40,SEA_REBEL_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64368088,31,KD933_gp31,SEA_REBEL_31,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210522,-
2743932,64368089,1,KD933_gp01,SEA_REBEL_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743932,64409775,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
