#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2704043,55626931,2,HWD06_gp002,SEA_CORNIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200620,-
2704043,55626954,26,HWD06_gp026,SEA_CORNIE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626955,27,HWD06_gp027,SEA_CORNIE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626956,28,HWD06_gp028,SEA_CORNIE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626957,29,HWD06_gp029,SEA_CORNIE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626958,30,HWD06_gp030,SEA_CORNIE_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210320,-
2704043,55626959,31,HWD06_gp031,SEA_CORNIE_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200620,-
2704043,55626960,32,HWD06_gp032,SEA_CORNIE_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2704043,55626961,33,HWD06_gp033,SEA_CORNIE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626962,34,HWD06_gp034,SEA_CORNIE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626963,35,HWD06_gp035,SEA_CORNIE_35,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210320,-
2704043,55626964,36,HWD06_gp036,SEA_CORNIE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626965,37,HWD06_gp037,SEA_CORNIE_37,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200620,-
2704043,55626966,38,HWD06_gp038,SEA_CORNIE_38,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210320,-
2704043,55626967,39,HWD06_gp039,SEA_CORNIE_39,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210306,-
2704043,55626968,40,HWD06_gp040,SEA_CORNIE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626969,41,HWD06_gp041,SEA_CORNIE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626970,42,HWD06_gp042,SEA_CORNIE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626971,44,HWD06_gp044,SEA_CORNIE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626972,45,HWD06_gp045,SEA_CORNIE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626973,46,HWD06_gp046,SEA_CORNIE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626974,47,HWD06_gp047,SEA_CORNIE_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2704043,55626975,49,HWD06_gp049,SEA_CORNIE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626976,50,HWD06_gp050,SEA_CORNIE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626977,51,HWD06_gp051,SEA_CORNIE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704043,55626978,52,HWD06_gp052,SEA_CORNIE_52,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210212,-
2704043,55626979,53,HWD06_gp053,SEA_CORNIE_53,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2704043,55626980,54,HWD06_gp054,SEA_CORNIE_54,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2704043,55626981,55,HWD06_gp055,SEA_CORNIE_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210320,-
2704043,55626982,56,HWD06_gp056,SEA_CORNIE_56,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210320,-
2704043,55626983,57,HWD06_gp057,SEA_CORNIE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626984,58,HWD06_gp058,SEA_CORNIE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626985,59,HWD06_gp059,SEA_CORNIE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626986,60,HWD06_gp060,SEA_CORNIE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626987,61,HWD06_gp061,SEA_CORNIE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626988,62,HWD06_gp062,SEA_CORNIE_62,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210320,-
2704043,55626989,63,HWD06_gp063,SEA_CORNIE_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210320,-
2704043,55626990,64,HWD06_gp064,SEA_CORNIE_64,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210320,-
2704043,55626991,65,HWD06_gp065,SEA_CORNIE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626992,66,HWD06_gp066,SEA_CORNIE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626993,67,HWD06_gp067,SEA_CORNIE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626994,68,HWD06_gp068,SEA_CORNIE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626995,69,HWD06_gp069,SEA_CORNIE_69,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210212,-
2704043,55626996,70,HWD06_gp070,SEA_CORNIE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626997,71,HWD06_gp071,SEA_CORNIE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626998,72,HWD06_gp072,SEA_CORNIE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55626999,73,HWD06_gp073,SEA_CORNIE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627000,74,HWD06_gp074,SEA_CORNIE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704043,55627001,75,HWD06_gp075,SEA_CORNIE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627002,76,HWD06_gp076,SEA_CORNIE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627003,77,HWD06_gp077,SEA_CORNIE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627004,78,HWD06_gp078,SEA_CORNIE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627005,79,HWD06_gp079,SEA_CORNIE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627006,80,HWD06_gp080,SEA_CORNIE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627007,81,HWD06_gp081,SEA_CORNIE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627008,82,HWD06_gp082,SEA_CORNIE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627009,83,HWD06_gp083,SEA_CORNIE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627010,84,HWD06_gp084,SEA_CORNIE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627011,85,HWD06_gp085,SEA_CORNIE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627012,86,HWD06_gp086,SEA_CORNIE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627013,87,HWD06_gp087,SEA_CORNIE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627014,88,HWD06_gp088,SEA_CORNIE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627015,89,HWD06_gp089,SEA_CORNIE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627016,90,HWD06_gp090,SEA_CORNIE_90,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2704043,55627017,91,HWD06_gp091,SEA_CORNIE_91,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210320,-
2704043,55627018,92,HWD06_gp092,SEA_CORNIE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627019,93,HWD06_gp093,SEA_CORNIE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627020,94,HWD06_gp094,SEA_CORNIE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627021,95,HWD06_gp095,SEA_CORNIE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627022,96,HWD06_gp096,SEA_CORNIE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627023,97,HWD06_gp097,SEA_CORNIE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627024,98,HWD06_gp098,SEA_CORNIE_98,-,-,-,O-methyltransferase,protein-coding,-,-,-,O-methyltransferase,20210320,-
2704043,55627025,99,HWD06_gp099,SEA_CORNIE_99,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200620,-
2704043,55627026,100,HWD06_gp100,SEA_CORNIE_100,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210320,-
2704043,55627027,101,HWD06_gp101,SEA_CORNIE_101,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200620,-
2704043,55627028,13,HWD06_gp014,SEA_CORNIE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2704043,55627029,43,HWD06_gp043,SEA_CORNIE_43,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210212,-
2704043,55627030,48,HWD06_gp048,SEA_CORNIE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55627031,1,HWD06_gp001,SEA_CORNIE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704043,55636125,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
