#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2048976,65068152,KMC58_gp02,KMC58_gp02,CNR35_00002,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2048976,65068165,RuvC,KMC58_gp15,CNR35_00015,-,-,-,crossover junction endodeoxyribonuclease,protein-coding,-,-,-,crossover junction endodeoxyribonuclease,20210607,-
2048976,65068166,KMC58_gp16,KMC58_gp16,CNR35_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068167,KMC58_gp17,KMC58_gp17,CNR35_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068168,KMC58_gp18,KMC58_gp18,CNR35_00018,-,-,-,virion RNA polymerase,protein-coding,-,-,-,virion RNA polymerase,20210607,-
2048976,65068169,KMC58_gp19,KMC58_gp19,CNR35_00019,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210607,-
2048976,65068170,KMC58_gp20,KMC58_gp20,CNR35_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068171,KMC58_gp21,KMC58_gp21,CNR35_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068172,KMC58_gp22,KMC58_gp22,CNR35_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068173,KMC58_gp23,KMC58_gp23,CNR35_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068174,KMC58_gp24,KMC58_gp24,CNR35_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068175,KMC58_gp25,KMC58_gp25,CNR35_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068176,KMC58_gp26,KMC58_gp26,CNR35_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068177,KMC58_gp27,KMC58_gp27,CNR35_00027,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2048976,65068178,KMC58_gp28,KMC58_gp28,CNR35_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068179,KMC58_gp29,KMC58_gp29,CNR35_00029,-,-,-,putative N-acetylmuramidase,protein-coding,-,-,-,putative N-acetylmuramidase,20210607,-
2048976,65068180,KMC58_gp30,KMC58_gp30,CNR35_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068181,KMC58_gp31,KMC58_gp31,CNR35_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068182,KMC58_gp32,KMC58_gp32,CNR35_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068183,KMC58_gp33,KMC58_gp33,CNR35_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068184,KMC58_gp34,KMC58_gp34,CNR35_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068185,KMC58_gp35,KMC58_gp35,CNR35_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068186,KMC58_gp36,KMC58_gp36,CNR35_00036,-,-,-,terminase-like family protein,protein-coding,-,-,-,terminase-like family protein,20210607,-
2048976,65068187,KMC58_gp37,KMC58_gp37,CNR35_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068188,KMC58_gp38,KMC58_gp38,CNR35_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068189,KMC58_gp39,KMC58_gp39,CNR35_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068190,KMC58_gp40,KMC58_gp40,CNR35_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068191,KMC58_gp41,KMC58_gp41,CNR35_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068192,KMC58_gp42,KMC58_gp42,CNR35_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068193,KMC58_gp43,KMC58_gp43,CNR35_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068194,KMC58_gp44,KMC58_gp44,CNR35_00044,-,-,-,putative DNA processing chain A,protein-coding,-,-,-,putative DNA processing chain A,20210607,-
2048976,65068195,KMC58_gp45,KMC58_gp45,CNR35_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068196,KMC58_gp46,KMC58_gp46,CNR35_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068197,KMC58_gp47,KMC58_gp47,CNR35_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068198,KMC58_gp48,KMC58_gp48,CNR35_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068199,KMC58_gp49,KMC58_gp49,CNR35_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068200,KMC58_gp50,KMC58_gp50,CNR35_00050,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20210607,-
2048976,65068201,KMC58_gp51,KMC58_gp51,CNR35_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068202,KMC58_gp52,KMC58_gp52,CNR35_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068203,KMC58_gp53,KMC58_gp53,CNR35_00053,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20210607,-
2048976,65068204,KMC58_gp54,KMC58_gp54,CNR35_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068205,KMC58_gp55,KMC58_gp55,CNR35_00055,-,-,-,Ig-like domain protein,protein-coding,-,-,-,Ig-like domain protein,20210607,-
2048976,65068206,KMC58_gp56,KMC58_gp56,CNR35_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068207,KMC58_gp57,KMC58_gp57,CNR35_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068208,KMC58_gp58,KMC58_gp58,CNR35_00058,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2048976,65068209,KMC58_gp59,KMC58_gp59,CNR35_00059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068210,KMC58_gp60,KMC58_gp60,CNR35_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068211,KMC58_gp61,KMC58_gp61,CNR35_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068212,KMC58_gp62,KMC58_gp62,CNR35_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068213,KMC58_gp63,KMC58_gp63,CNR35_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068214,KMC58_gp64,KMC58_gp64,CNR35_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068215,KMC58_gp65,KMC58_gp65,CNR35_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068216,KMC58_gp66,KMC58_gp66,CNR35_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068217,KMC58_gp67,KMC58_gp67,CNR35_00067,-,-,-,putative AAA domain protein,protein-coding,-,-,-,putative AAA domain protein,20210607,-
2048976,65068218,KMC58_gp68,KMC58_gp68,CNR35_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068219,KMC58_gp69,KMC58_gp69,CNR35_00069,-,-,-,putative metallopeptidase domain protein,protein-coding,-,-,-,putative metallopeptidase domain protein,20210607,-
2048976,65068220,dcd,KMC58_gp70,CNR35_00070,-,-,-,deoxycytidine triphosphate deaminase,protein-coding,-,-,-,deoxycytidine triphosphate deaminase,20210607,-
2048976,65068221,KMC58_gp71,KMC58_gp71,CNR35_00071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068222,KMC58_gp72,KMC58_gp72,CNR35_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068223,KMC58_gt01,KMC58_gt01,CNR35_00073,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2048976,65068224,KMC58_gt02,KMC58_gt02,CNR35_00074,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2048976,65068225,KMC58_gp01,KMC58_gp01,CNR35_00001,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210607,-
2048976,65068226,trxA,KMC58_gp76,CNR35_00075,-,-,-,thioredoxin-1,protein-coding,-,-,-,thioredoxin-1,20210607,-
2048976,65068227,KMC58_gp75,KMC58_gp75,CNR35_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068228,KMC58_gp74,KMC58_gp74,CNR35_00077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65068229,KMC58_gp73,KMC58_gp73,CNR35_00078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2048976,65242660,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
