#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
673376,14008201,phi26F_gp2,F431_gp02,-,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201220,-
673376,14008220,phi26F_gp21,F431_gp21,-,-,-,-,hydrolase-like protein,protein-coding,-,-,-,hydrolase-like protein,20201220,-
673376,14008221,phi26F_gp22,F431_gp22,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201220,-
673376,14008222,phi26F_gp23,F431_gp23,-,-,-,-,small integral membrane protein,protein-coding,-,-,-,small integral membrane protein,20201220,-
673376,14008223,phi26F_gp24,F431_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008224,phi26F_gp25,F431_gp25,-,-,-,-,phage anti-repressor protein,protein-coding,-,-,-,phage anti-repressor protein,20201220,-
673376,14008225,phi26F_gp26,F431_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008226,phi26F_gp27,F431_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008227,phi26F_gp28,F431_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008228,phi26F_gp29,F431_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008229,phi26F_gp30,F431_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008230,phi26F_gp31,F431_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008231,phi26F_gp32,F431_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008232,phi26F_gp33,F431_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008233,phi26F_gp34,F431_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008234,phi26F_gp35,F431_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008235,phi26F_gp36,F431_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008236,phi26F_gp37,F431_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008237,phi26F_gp38,F431_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008238,phi26F_gp39,F431_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008239,phi26F_gp40,F431_gp40,-,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20201220,-
673376,14008240,phi26F_gp41,F431_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008241,phi26F_gp42,F431_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008242,phi26F_gp43,F431_gp43,-,-,-,-,alternative thymidylate synthase-like protein,protein-coding,-,-,-,alternative thymidylate synthase-like protein,20201220,-
673376,14008243,phi26F_gp44,F431_gp44,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201220,-
673376,14008244,phi26F_gp45,F431_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008245,phi26F_gp46,F431_gp46,-,-,-,-,CHC2 zinc finger protein,protein-coding,-,-,-,CHC2 zinc finger protein,20201220,-
673376,14008246,phi26F_gp47,F431_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008247,phi26F_gp48,F431_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008248,phi26F_gp49,F431_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14008249,phi26F_gp1,F431_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673376,14023524,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Clostridium perfringens bacteriophage CP26F; Clostridium phage CP26F).,other,-,-,-,-,20200513,-
