#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1486472,23679508,2,VC46_gp002,PBI_GAIA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1486472,23679592,86,VC46_gp147,PBI_GAIA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679593,87,VC46_gp146,PBI_GAIA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679594,88,VC46_gp145,PBI_GAIA_88,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20200910,-
1486472,23679595,89,VC46_gp144,PBI_GAIA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679596,90,VC46_gp143,PBI_GAIA_90,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
1486472,23679597,91,VC46_gp142,PBI_GAIA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679598,92,VC46_gp141,PBI_GAIA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679599,93,VC46_gp140,PBI_GAIA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679600,94,VC46_gp139,PBI_GAIA_94,-,-,-,polymerase primase,protein-coding,-,-,-,polymerase primase,20200910,-
1486472,23679601,95,VC46_gp138,PBI_GAIA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679602,96,VC46_gp137,PBI_GAIA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679603,97,VC46_gp136,PBI_GAIA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679604,98,VC46_gp135,PBI_GAIA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679605,99,VC46_gp134,PBI_GAIA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679606,100,VC46_gp133,PBI_GAIA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679607,101,VC46_gp132,PBI_GAIA_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679608,102,VC46_gp131,PBI_GAIA_102,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
1486472,23679609,103,VC46_gp130,PBI_GAIA_103,-,-,-,PAPS reductase,protein-coding,-,-,-,PAPS reductase,20200910,-
1486472,23679610,104,VC46_gp129,PBI_GAIA_104,-,-,-,ectoine synthase/ParB multidomain protein,protein-coding,-,-,-,ectoine synthase/ParB multidomain protein,20200910,-
1486472,23679611,105,VC46_gp128,PBI_GAIA_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679612,106,VC46_gp127,PBI_GAIA_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679613,107,VC46_gp126,PBI_GAIA_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679614,108,VC46_gp125,PBI_GAIA_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679615,109,VC46_gp124,PBI_GAIA_109,-,-,-,RepA-like helicase,protein-coding,-,-,-,RepA-like helicase,20200910,-
1486472,23679616,110,VC46_gp123,PBI_GAIA_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679617,111,VC46_gp122,PBI_GAIA_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679618,112,VC46_gp121,PBI_GAIA_112,-,-,-,nucleotide hydrolase,protein-coding,-,-,-,nucleotide hydrolase,20200910,-
1486472,23679619,113,VC46_gp120,PBI_GAIA_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679620,114,VC46_gp119,PBI_GAIA_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679621,115,VC46_gp118,PBI_GAIA_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679622,116,VC46_gp117,PBI_GAIA_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679623,117,VC46_gp116,PBI_GAIA_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679624,118,VC46_gp115,PBI_GAIA_118,-,-,-,ClpP,protein-coding,-,-,-,ClpP,20200910,-
1486472,23679625,119,VC46_gp114,PBI_GAIA_119,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20200910,-
1486472,23679626,120,VC46_gp113,PBI_GAIA_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679627,121,VC46_gp112,PBI_GAIA_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679628,122,VC46_gp111,PBI_GAIA_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679629,123,VC46_gp110,PBI_GAIA_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679630,124,VC46_gp109,PBI_GAIA_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679631,125,VC46_gp108,PBI_GAIA_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679632,126,VC46_gp107,PBI_GAIA_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679633,127,VC46_gp106,PBI_GAIA_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679634,128,VC46_gp105,PBI_GAIA_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679635,129,VC46_gp104,PBI_GAIA_129,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20200910,-
1486472,23679636,130,VC46_gp103,PBI_GAIA_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679637,131,VC46_gp102,PBI_GAIA_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679638,132,VC46_gp101,PBI_GAIA_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679639,133,VC46_gp100,PBI_GAIA_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679640,134,VC46_gp099,PBI_GAIA_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679641,135,VC46_gp098,PBI_GAIA_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679642,136,VC46_gp097,PBI_GAIA_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679643,137,VC46_gp096,PBI_GAIA_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679644,138,VC46_gp095,PBI_GAIA_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679645,139,VC46_gp094,PBI_GAIA_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679646,140,VC46_gp093,PBI_GAIA_140,-,-,-,"restriction endonuclease, HNH endonuclease domain",protein-coding,-,-,-,"restriction endonuclease, HNH endonuclease domain",20200910,-
1486472,23679647,141,VC46_gp092,PBI_GAIA_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679648,142,VC46_gp091,PBI_GAIA_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679649,143,VC46_gp090,PBI_GAIA_143,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200910,-
1486472,23679650,144,VC46_gp089,PBI_GAIA_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679651,145,VC46_gp088,PBI_GAIA_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679652,146,VC46_gt002,PBI_GAIA_146,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1486472,23679653,147,VC46_gp087,PBI_GAIA_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679654,148,VC46_gt003,PBI_GAIA_148,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1486472,23679655,149,VC46_gt004,PBI_GAIA_149,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1486472,23679656,150,VC46_gp086,PBI_GAIA_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679657,151,VC46_gp085,PBI_GAIA_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679658,152,VC46_gp084,PBI_GAIA_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679659,153,VC46_gp083,PBI_GAIA_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679660,154,VC46_gp082,PBI_GAIA_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679661,155,VC46_gp081,PBI_GAIA_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679662,156,VC46_gp080,PBI_GAIA_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679663,157,VC46_gp079,PBI_GAIA_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679664,158,VC46_gp078,PBI_GAIA_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679665,159,VC46_gp077,PBI_GAIA_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679666,160,VC46_gp076,PBI_GAIA_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679667,161,VC46_gp075,PBI_GAIA_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679668,162,VC46_gp074,PBI_GAIA_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679669,163,VC46_gp073,PBI_GAIA_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679670,164,VC46_gp072,PBI_GAIA_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679671,165,VC46_gp071,PBI_GAIA_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679672,166,VC46_gp070,PBI_GAIA_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679673,167,VC46_gp069,PBI_GAIA_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679674,168,VC46_gp068,PBI_GAIA_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679675,169,VC46_gp067,PBI_GAIA_169,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1486472,23679676,170,VC46_gp066,PBI_GAIA_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679677,171,VC46_gp065,PBI_GAIA_171,-,-,-,methyl transferase,protein-coding,-,-,-,methyl transferase,20200910,-
1486472,23679678,172,VC46_gp064,PBI_GAIA_172,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200910,-
1486472,23679679,173,VC46_gp063,PBI_GAIA_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679680,174,VC46_gp062,PBI_GAIA_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679681,175,VC46_gp061,PBI_GAIA_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679682,176,VC46_gp060,PBI_GAIA_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679683,177,VC46_gp059,PBI_GAIA_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679684,178,VC46_gp058,PBI_GAIA_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679685,179,VC46_gp057,PBI_GAIA_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679686,180,VC46_gp056,PBI_GAIA_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679687,181,VC46_gp055,PBI_GAIA_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679688,182,VC46_gp054,PBI_GAIA_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679689,183,VC46_gp053,PBI_GAIA_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23679690,1,VC46_gp001,PBI_GAIA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486472,23711109,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Gaia).,other,-,-,-,-,20200513,-
