#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1690427,40067841,FDG70_gp02,FDG70_gp02,SEA_DANZINA_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1690427,40067871,FDG70_gp32,FDG70_gp32,SEA_DANZINA_32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1690427,40067872,FDG70_gp33,FDG70_gp33,SEA_DANZINA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067873,FDG70_gp34,FDG70_gp34,SEA_DANZINA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067874,FDG70_gp35,FDG70_gp35,SEA_DANZINA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067875,FDG70_gp36,FDG70_gp36,SEA_DANZINA_36,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1690427,40067876,FDG70_gp37,FDG70_gp37,SEA_DANZINA_37,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1690427,40067877,FDG70_gp38,FDG70_gp38,SEA_DANZINA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067878,FDG70_gp39,FDG70_gp39,SEA_DANZINA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067879,FDG70_gp40,FDG70_gp40,SEA_DANZINA_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1690427,40067880,FDG70_gp41,FDG70_gp41,SEA_DANZINA_41,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1690427,40067881,FDG70_gp42,FDG70_gp42,SEA_DANZINA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067882,FDG70_gp43,FDG70_gp43,SEA_DANZINA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067883,FDG70_gp44,FDG70_gp44,SEA_DANZINA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067884,FDG70_gp45,FDG70_gp45,SEA_DANZINA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067885,FDG70_gp46,FDG70_gp46,SEA_DANZINA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067886,FDG70_gp47,FDG70_gp47,SEA_DANZINA_47,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1690427,40067887,FDG70_gp48,FDG70_gp48,SEA_DANZINA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067888,FDG70_gp49,FDG70_gp49,SEA_DANZINA_49,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201221,-
1690427,40067889,FDG70_gp50,FDG70_gp50,SEA_DANZINA_50,-,-,-,Lsr2,protein-coding,-,-,-,Lsr2,20201221,-
1690427,40067890,FDG70_gp51,FDG70_gp51,SEA_DANZINA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067891,FDG70_gp52,FDG70_gp52,SEA_DANZINA_52,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20201221,-
1690427,40067892,FDG70_gp53,FDG70_gp53,SEA_DANZINA_53,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20201221,-
1690427,40067893,FDG70_gp54,FDG70_gp54,SEA_DANZINA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067894,FDG70_gp55,FDG70_gp55,SEA_DANZINA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067895,FDG70_gp56,FDG70_gp56,SEA_DANZINA_56,-,-,-,DNA polymerase III subunit alpha,protein-coding,-,-,-,DNA polymerase III subunit alpha,20201221,-
1690427,40067896,FDG70_gp57,FDG70_gp57,SEA_DANZINA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067897,FDG70_gp58,FDG70_gp58,SEA_DANZINA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067898,FDG70_gp59,FDG70_gp59,SEA_DANZINA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067899,FDG70_gp60,FDG70_gp60,SEA_DANZINA_60,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20201221,-
1690427,40067900,FDG70_gp61,FDG70_gp61,SEA_DANZINA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067901,FDG70_gp62,FDG70_gp62,SEA_DANZINA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067902,FDG70_gp63,FDG70_gp63,SEA_DANZINA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067903,FDG70_gp64,FDG70_gp64,SEA_DANZINA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067904,FDG70_gp65,FDG70_gp65,SEA_DANZINA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067905,FDG70_gp66,FDG70_gp66,SEA_DANZINA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067906,FDG70_gp67,FDG70_gp67,SEA_DANZINA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067907,FDG70_gp68,FDG70_gp68,SEA_DANZINA_68,-,-,-,HNH-domain protein,protein-coding,-,-,-,HNH-domain protein,20201221,-
1690427,40067908,FDG70_gp69,FDG70_gp69,SEA_DANZINA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067909,FDG70_gp70,FDG70_gp70,SEA_DANZINA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067910,FDG70_gp71,FDG70_gp71,SEA_DANZINA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067911,FDG70_gp72,FDG70_gp72,SEA_DANZINA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067912,FDG70_gp73,FDG70_gp73,SEA_DANZINA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067913,FDG70_gp74,FDG70_gp74,SEA_DANZINA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067914,FDG70_gp75,FDG70_gp75,SEA_DANZINA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067915,FDG70_gp76,FDG70_gp76,SEA_DANZINA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40067916,FDG70_gp01,FDG70_gp01,SEA_DANZINA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690427,40120220,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
