#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772091,65131659,KNV58_gp100,KNV58_gp100,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210608,-
2772091,65131687,KNV58_gp026,KNV58_gp026,-,-,-,-,tail tubular protein,protein-coding,-,-,-,tail tubular protein,20210608,-
2772091,65131688,KNV58_gp027,KNV58_gp027,-,-,-,-,peptidoglycan-associated protein-like protein,protein-coding,-,-,-,peptidoglycan-associated protein-like protein,20210608,-
2772091,65131689,KNV58_gp028,KNV58_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131690,KNV58_gp029,KNV58_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131691,KNV58_gp030,KNV58_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131692,KNV58_gp031,KNV58_gp031,-,-,-,-,spike protein/glycoprotein,protein-coding,-,-,-,spike protein/glycoprotein,20210608,-
2772091,65131693,KNV58_gp032,KNV58_gp032,-,-,-,-,RNA polymerase sigma factor/ubiquitin-like protein,protein-coding,-,-,-,RNA polymerase sigma factor/ubiquitin-like protein,20210608,-
2772091,65131694,KNV58_gp033,KNV58_gp033,-,-,-,-,lysis regulatory protein-like protein,protein-coding,-,-,-,lysis regulatory protein-like protein,20210608,-
2772091,65131695,KNV58_gp034,KNV58_gp034,-,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2772091,65131696,KNV58_gp035,KNV58_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131697,KNV58_gp036,KNV58_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131698,KNV58_gp037,KNV58_gp037,-,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20210608,-
2772091,65131699,KNV58_gp038,KNV58_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131700,KNV58_gp039,KNV58_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131701,KNV58_gp040,KNV58_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131702,KNV58_gp041,KNV58_gp041,-,-,-,-,VOG7718,protein-coding,-,-,-,VOG7718|YomR-like protein,20210608,-
2772091,65131703,KNV58_gp042,KNV58_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131704,KNV58_gp043,KNV58_gp043,-,-,-,-,VOG4599,protein-coding,-,-,-,VOG4599|minor structural protein,20210608,-
2772091,65131705,KNV58_gp044,KNV58_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131706,KNV58_gp045,KNV58_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131707,KNV58_gp046,KNV58_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131708,KNV58_gp047,KNV58_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131709,KNV58_gp048,KNV58_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131710,KNV58_gp049,KNV58_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131711,KNV58_gp050,KNV58_gp050,-,-,-,-,RecA protein,protein-coding,-,-,-,RecA protein,20210608,-
2772091,65131712,KNV58_gp051,KNV58_gp051,-,-,-,-,VOG5047,protein-coding,-,-,-,VOG5047,20210608,-
2772091,65131713,KNV58_gp052,KNV58_gp052,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2772091,65131714,KNV58_gp053,KNV58_gp053,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210608,-
2772091,65131715,KNV58_gp054,KNV58_gp054,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772091,65131716,KNV58_gp055,KNV58_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131717,KNV58_gp056,KNV58_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131718,KNV58_gp057,KNV58_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131719,KNV58_gp058,KNV58_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131720,KNV58_gp059,KNV58_gp059,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2772091,65131721,KNV58_gp060,KNV58_gp060,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2772091,65131722,KNV58_gt001,KNV58_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772091,65131723,KNV58_gt002,KNV58_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772091,65131724,KNV58_gp098,KNV58_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131725,KNV58_gp097,KNV58_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131726,KNV58_gp096,KNV58_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131727,KNV58_gp095,KNV58_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131728,KNV58_gp094,KNV58_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131729,KNV58_gp093,KNV58_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131730,KNV58_gp092,KNV58_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131731,KNV58_gp091,KNV58_gp091,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772091,65131732,KNV58_gp090,KNV58_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131733,KNV58_gp089,KNV58_gp089,-,-,-,-,putative chaperonin,protein-coding,-,-,-,putative chaperonin,20210608,-
2772091,65131734,KNV58_gp088,KNV58_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131735,KNV58_gp087,KNV58_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131736,KNV58_gp086,KNV58_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131737,KNV58_gp085,KNV58_gp085,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210608,-
2772091,65131738,KNV58_gp084,KNV58_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131739,KNV58_gp083,KNV58_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131740,KNV58_gp082,KNV58_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131741,KNV58_gp081,KNV58_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131742,KNV58_gp080,KNV58_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131743,KNV58_gp079,KNV58_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131744,KNV58_gp078,KNV58_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131745,KNV58_gp077,KNV58_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131746,KNV58_gp076,KNV58_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131747,KNV58_gp075,KNV58_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131748,KNV58_gs001,KNV58_gs001,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20210608,-
2772091,65131749,KNV58_gp073,KNV58_gp073,-,-,-,-,ribosomal protein-like protein,protein-coding,-,-,-,ribosomal protein-like protein,20210608,-
2772091,65131750,KNV58_gp072,KNV58_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131751,KNV58_gp071,KNV58_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131752,KNV58_gp070,KNV58_gp070,-,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210608,-
2772091,65131753,KNV58_gp069,KNV58_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131754,KNV58_gp068,KNV58_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131755,KNV58_gp067,KNV58_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131756,KNV58_gp066,KNV58_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131757,KNV58_gp065,KNV58_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131758,KNV58_gp064,KNV58_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131759,KNV58_gt003,KNV58_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772091,65131760,KNV58_gp062,KNV58_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131761,KNV58_gp061,KNV58_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772091,65131762,KNV58_gp001,KNV58_gp001,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2772091,65243574,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
