#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074303,18564009,2,DRAGO_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1074303,18564077,79,DRAGO_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564078,80,DRAGO_80,-,-,-,-,MPME2 protein,protein-coding,-,-,-,MPME2 protein,20201220,-
1074303,18564079,81,DRAGO_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564080,83,DRAGO_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564081,84,DRAGO_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564082,85,DRAGO_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564083,86,DRAGO_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564084,87,DRAGO_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564085,88,DRAGO_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564086,90,DRAGO_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564087,91,DRAGO_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564088,92,DRAGO_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564089,93,DRAGO_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1074303,18564090,94,DRAGO_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564091,95,DRAGO_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564092,96,DRAGO_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564093,97,DRAGO_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564094,98,DRAGO_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564095,99,DRAGO_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564096,101,DRAGO_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564097,102,DRAGO_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564098,103,DRAGO_103,-,-,-,-,N-acetylglucosaminyltransferase,protein-coding,-,-,-,N-acetylglucosaminyltransferase,20210424,-
1074303,18564099,45,DRAGO_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564100,44,DRAGO_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564101,42,DRAGO_42,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1074303,18564102,27,DRAGO_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564103,26,DRAGO_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564104,38,DRAGO_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564105,40,DRAGO_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564106,41,DRAGO_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564107,52,DRAGO_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564108,82,DRAGO_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564109,89,DRAGO_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074303,18564110,100,DRAGO_100,-,-,-,-,N-acetylgalactoaminyltranserase,protein-coding,-,-,-,N-acetylgalactoaminyltranserase,20201220,-
1074303,18564111,1,DRAGO_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1074303,18669549,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Drago; Mycobacterium phage Drago).,other,-,-,-,-,20200513,-
