#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2725612,60327751,2,I5H30_gp002,SEA_DRBY19_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2725612,60327770,21,I5H30_gp021,SEA_DRBY19_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2725612,60327771,22,I5H30_gp022,SEA_DRBY19_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2725612,60327772,23,I5H30_gp023,SEA_DRBY19_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2725612,60327773,24,I5H30_gp024,SEA_DRBY19_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2725612,60327774,25,I5H30_gp025,SEA_DRBY19_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2725612,60327775,26,I5H30_gp026,SEA_DRBY19_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327776,27,I5H30_gp027,SEA_DRBY19_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327777,28,I5H30_gp028,SEA_DRBY19_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327778,29,I5H30_gp029,SEA_DRBY19_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327779,30,I5H30_gp030,SEA_DRBY19_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201217,-
2725612,60327780,31,I5H30_gp031,SEA_DRBY19_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2725612,60327781,32,I5H30_gp032,SEA_DRBY19_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2725612,60327782,33,I5H30_gp033,SEA_DRBY19_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2725612,60327783,34,I5H30_gp034,SEA_DRBY19_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327784,35,I5H30_gp035,SEA_DRBY19_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210123,-
2725612,60327785,36,I5H30_gp036,SEA_DRBY19_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327786,37,I5H30_gp037,SEA_DRBY19_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327787,38,I5H30_gp038,SEA_DRBY19_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327788,39,I5H30_gp039,SEA_DRBY19_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327789,40,I5H30_gp040,SEA_DRBY19_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327790,41,I5H30_gp041,SEA_DRBY19_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327791,42,I5H30_gp042,SEA_DRBY19_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327792,43,I5H30_gp043,SEA_DRBY19_43,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210123,-
2725612,60327793,44,I5H30_gp044,SEA_DRBY19_44,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210129,-
2725612,60327794,45,I5H30_gp045,SEA_DRBY19_45,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2725612,60327795,46,I5H30_gp046,SEA_DRBY19_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327796,47,I5H30_gp047,SEA_DRBY19_47,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2725612,60327797,48,I5H30_gp048,SEA_DRBY19_48,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2725612,60327798,49,I5H30_gp049,SEA_DRBY19_49,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210123,-
2725612,60327799,50,I5H30_gp050,SEA_DRBY19_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327800,51,I5H30_gp051,SEA_DRBY19_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327801,52,I5H30_gp052,SEA_DRBY19_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327802,53,I5H30_gp053,SEA_DRBY19_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327803,54,I5H30_gp054,SEA_DRBY19_54,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2725612,60327804,55,I5H30_gp055,SEA_DRBY19_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327805,56,I5H30_gp056,SEA_DRBY19_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327806,57,I5H30_gp057,SEA_DRBY19_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327807,58,I5H30_gp058,SEA_DRBY19_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327808,59,I5H30_gp059,SEA_DRBY19_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2725612,60327809,60,I5H30_gp060,SEA_DRBY19_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210129,-
2725612,60327810,61,I5H30_gp061,SEA_DRBY19_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201217,-
2725612,60327811,62,I5H30_gp062,SEA_DRBY19_62,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210123,-
2725612,60327812,63,I5H30_gp063,SEA_DRBY19_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2725612,60327813,64,I5H30_gp064,SEA_DRBY19_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327814,65,I5H30_gp065,SEA_DRBY19_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327815,66,I5H30_gp066,SEA_DRBY19_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327816,67,I5H30_gp067,SEA_DRBY19_67,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2725612,60327817,68,I5H30_gp068,SEA_DRBY19_68,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210327,-
2725612,60327818,69,I5H30_gp069,SEA_DRBY19_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
2725612,60327819,70,I5H30_gp070,SEA_DRBY19_70,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210327,-
2725612,60327820,71,I5H30_gp071,SEA_DRBY19_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327821,72,I5H30_gp072,SEA_DRBY19_72,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
2725612,60327822,73,I5H30_gp073,SEA_DRBY19_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327823,74,I5H30_gp074,SEA_DRBY19_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327824,75,I5H30_gp075,SEA_DRBY19_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327825,76,I5H30_gp076,SEA_DRBY19_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327826,77,I5H30_gp077,SEA_DRBY19_77,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210313,-
2725612,60327827,78,I5H30_gp078,SEA_DRBY19_78,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2725612,60327828,79,I5H30_gp079,SEA_DRBY19_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327829,80,I5H30_gp080,SEA_DRBY19_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327830,81,I5H30_gp081,SEA_DRBY19_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327831,82,I5H30_gp082,SEA_DRBY19_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327832,83,I5H30_gp083,SEA_DRBY19_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327833,84,I5H30_gp084,SEA_DRBY19_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327834,85,I5H30_gp085,SEA_DRBY19_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327835,86,I5H30_gp086,SEA_DRBY19_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327836,87,I5H30_gp087,SEA_DRBY19_87,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201129,-
2725612,60327837,88,I5H30_gp088,SEA_DRBY19_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327838,89,I5H30_gp089,SEA_DRBY19_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327839,90,I5H30_gp090,SEA_DRBY19_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327840,91,I5H30_gp091,SEA_DRBY19_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327841,92,I5H30_gp092,SEA_DRBY19_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327842,93,I5H30_gp093,SEA_DRBY19_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327843,94,I5H30_gp094,SEA_DRBY19_94,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210123,-
2725612,60327844,95,I5H30_gp095,SEA_DRBY19_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327845,96,I5H30_gp096,SEA_DRBY19_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327846,97,I5H30_gp097,SEA_DRBY19_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327847,98,I5H30_gp098,SEA_DRBY19_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327848,99,I5H30_gp099,SEA_DRBY19_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327849,100,I5H30_gp100,SEA_DRBY19_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327850,101,I5H30_gp101,SEA_DRBY19_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210212,-
2725612,60327851,102,I5H30_gp102,SEA_DRBY19_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2725612,60327852,103,I5H30_gp103,SEA_DRBY19_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210212,-
2725612,60327853,104,I5H30_gp104,SEA_DRBY19_104,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2725612,60327854,1,I5H30_gp001,SEA_DRBY19_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2725612,60338895,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
