#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2664226,60321166,2,I5G61_gp02,SEA_QUESADILLA_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201129,-
2664226,60321207,43,I5G61_gp43,SEA_QUESADILLA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321208,44,I5G61_gp44,SEA_QUESADILLA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321209,45,I5G61_gp45,SEA_QUESADILLA_45,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2664226,60321210,46,I5G61_gp46,SEA_QUESADILLA_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2664226,60321211,47,I5G61_gp47,SEA_QUESADILLA_47,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2664226,60321212,48,I5G61_gp48,SEA_QUESADILLA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321213,49,I5G61_gp49,SEA_QUESADILLA_49,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2664226,60321214,50,I5G61_gp50,SEA_QUESADILLA_50,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2664226,60321215,51,I5G61_gp51,SEA_QUESADILLA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321216,52,I5G61_gp52,SEA_QUESADILLA_52,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201129,-
2664226,60321217,53,I5G61_gp53,SEA_QUESADILLA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321218,54,I5G61_gp54,SEA_QUESADILLA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321219,55,I5G61_gp55,SEA_QUESADILLA_55,-,-,-,helicase,protein-coding,-,-,-,helicase,20201202,-
2664226,60321220,56,I5G61_gp56,SEA_QUESADILLA_56,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2664226,60321221,57,I5G61_gp57,SEA_QUESADILLA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321222,58,I5G61_gp58,SEA_QUESADILLA_58,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201202,-
2664226,60321223,59,I5G61_gp59,SEA_QUESADILLA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321224,60,I5G61_gp60,SEA_QUESADILLA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321225,61,I5G61_gp61,SEA_QUESADILLA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321226,62,I5G61_gp62,SEA_QUESADILLA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321227,63,I5G61_gp63,SEA_QUESADILLA_63,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2664226,60321228,64,I5G61_gp64,SEA_QUESADILLA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321229,65,I5G61_gp65,SEA_QUESADILLA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2664226,60321230,66,I5G61_gp66,SEA_QUESADILLA_66,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20201129,-
2664226,60321231,67,I5G61_gp67,SEA_QUESADILLA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321232,68,I5G61_gp68,SEA_QUESADILLA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321233,69,I5G61_gp69,SEA_QUESADILLA_69,-,-,-,RNaseE,protein-coding,-,-,-,RNaseE,20201202,-
2664226,60321234,70,I5G61_gp70,SEA_QUESADILLA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321235,71,I5G61_gp71,SEA_QUESADILLA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321236,72,I5G61_gp72,SEA_QUESADILLA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321237,73,I5G61_gp73,SEA_QUESADILLA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321238,74,I5G61_gp74,SEA_QUESADILLA_74,-,-,-,cysteine protease,protein-coding,-,-,-,cysteine protease,20201129,-
2664226,60321239,75,I5G61_gp75,SEA_QUESADILLA_75,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2664226,60321240,76,I5G61_gp76,SEA_QUESADILLA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321241,77,I5G61_gp77,SEA_QUESADILLA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321242,78,I5G61_gp78,SEA_QUESADILLA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321243,79,I5G61_gp79,SEA_QUESADILLA_79,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2664226,60321244,80,I5G61_gp80,SEA_QUESADILLA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321245,81,I5G61_gp81,SEA_QUESADILLA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321246,82,I5G61_gp82,SEA_QUESADILLA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321247,83,I5G61_gp83,SEA_QUESADILLA_83,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20201129,-
2664226,60321248,84,I5G61_gp84,SEA_QUESADILLA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321249,85,I5G61_gp85,SEA_QUESADILLA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321250,86,I5G61_gp86,SEA_QUESADILLA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321251,87,I5G61_gp87,SEA_QUESADILLA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321252,88,I5G61_gp88,SEA_QUESADILLA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321253,89,I5G61_gp89,SEA_QUESADILLA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321254,90,I5G61_gp90,SEA_QUESADILLA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2664226,60321255,91,I5G61_gp91,SEA_QUESADILLA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2664226,60321256,92,I5G61_gp92,SEA_QUESADILLA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321257,93,I5G61_gp93,SEA_QUESADILLA_93,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2664226,60321258,94,I5G61_gp94,SEA_QUESADILLA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321259,95,I5G61_gp95,SEA_QUESADILLA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321260,96,I5G61_gp96,SEA_QUESADILLA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321261,97,I5G61_gp97,SEA_QUESADILLA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321262,98,I5G61_gp98,SEA_QUESADILLA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2664226,60321263,1,I5G61_gp01,SEA_QUESADILLA_1,-,-,-,ParB-like nuclease domain,protein-coding,-,-,-,ParB-like nuclease domain,20201129,-
2664226,60338817,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
