#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1283077,14697146,I900_gp02,I900_gp02,-,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201221,-
1283077,14697164,I900_gp20,I900_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697165,I900_gp21,I900_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697166,I900_gp22,I900_gp22,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20201221,-
1283077,14697167,I900_gp23,I900_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697168,I900_gp24,I900_gp24,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1283077,14697169,I900_gp25,I900_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697170,I900_gp26,I900_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697171,I900_gp27,I900_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697172,I900_gp28,I900_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697173,I900_gp29,I900_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697174,I900_gp30,I900_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697175,I900_gp31,I900_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697176,I900_gp32,I900_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697177,I900_gp33,I900_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697178,I900_gp34,I900_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697179,I900_gp35,I900_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697180,I900_gp36,I900_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697181,I900_gp37,I900_gp37,-,-,-,-,peptidase M15,protein-coding,-,-,-,peptidase M15,20201221,-
1283077,14697182,I900_gp38,I900_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697183,I900_gp39,I900_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697184,I900_gp40,I900_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697185,I900_gp41,I900_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697186,I900_gp42,I900_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697187,I900_gp43,I900_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697188,I900_gp44,I900_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697189,I900_gp45,I900_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697190,I900_gp46,I900_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697191,I900_gp47,I900_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697192,I900_gp48,I900_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697193,I900_gp49,I900_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697194,I900_gp50,I900_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697195,I900_gp51,I900_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697196,I900_gp52,I900_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697197,I900_gp53,I900_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697198,I900_gp54,I900_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697199,I900_gp55,I900_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697200,I900_gp56,I900_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697201,I900_gp57,I900_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697202,I900_gp58,I900_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697203,I900_gp59,I900_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697204,I900_gp60,I900_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697205,I900_gp61,I900_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697206,I900_gp62,I900_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697207,I900_gp63,I900_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697208,I900_gp64,I900_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14697209,I900_gp01,I900_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283077,14723681,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Candidatus Pelagibacter ubique HTCC1062 phage HTVC010P).,other,-,-,-,-,20210104,-
