#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2716727,65054117,KMB93_gp001,KMB93_gp001,PhiZZ23_001,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210608,-
2716727,65054214,KMB93_gp098,KMB93_gp098,PhiZZ23_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054215,KMB93_gp099,KMB93_gp099,PhiZZ23_099,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716727,65054216,KMB93_gp100,KMB93_gp100,PhiZZ23_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054217,KMB93_gp101,KMB93_gp101,PhiZZ23_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054218,KMB93_gp102,KMB93_gp102,PhiZZ23_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054219,KMB93_gp103,KMB93_gp103,PhiZZ23_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054220,KMB93_gp104,KMB93_gp104,PhiZZ23_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054221,KMB93_gp105,KMB93_gp105,PhiZZ23_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054222,KMB93_gp106,KMB93_gp106,PhiZZ23_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054223,KMB93_gp107,KMB93_gp107,PhiZZ23_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054224,KMB93_gp108,KMB93_gp108,PhiZZ23_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054225,KMB93_gp109,KMB93_gp109,PhiZZ23_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054226,KMB93_gp110,KMB93_gp110,PhiZZ23_110,-,-,-,rI lysis inhibition regulator,protein-coding,-,-,-,rI lysis inhibition regulator,20210608,-
2716727,65054227,KMB93_gp111,KMB93_gp111,PhiZZ23_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054228,KMB93_gp112,KMB93_gp112,PhiZZ23_112,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210609,-
2716727,65054229,KMB93_gp113,KMB93_gp113,PhiZZ23_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054230,KMB93_gp114,KMB93_gp114,PhiZZ23_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054231,KMB93_gp115,KMB93_gp115,PhiZZ23_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054232,KMB93_gp116,KMB93_gp116,PhiZZ23_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054233,KMB93_gp117,KMB93_gp117,PhiZZ23_117,-,-,-,modifier of valyl-tRNA synthetase,protein-coding,-,-,-,modifier of valyl-tRNA synthetase,20210608,-
2716727,65054234,KMB93_gp118,KMB93_gp118,PhiZZ23_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054235,KMB93_gp119,KMB93_gp119,PhiZZ23_119,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210608,-
2716727,65054236,KMB93_gp120,KMB93_gp120,PhiZZ23_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054237,KMB93_gp121,KMB93_gp121,PhiZZ23_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054238,KMB93_gp122,KMB93_gp122,PhiZZ23_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054239,KMB93_gp123,KMB93_gp123,PhiZZ23_123,-,-,-,pyruvate formate-lyase,protein-coding,-,-,-,pyruvate formate-lyase,20210608,-
2716727,65054240,KMB93_gp124,KMB93_gp124,PhiZZ23_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054241,KMB93_gp125,KMB93_gp125,PhiZZ23_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054242,KMB93_gp126,KMB93_gp126,PhiZZ23_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054243,KMB93_gp127,KMB93_gp127,PhiZZ23_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054244,KMB93_gp128,KMB93_gp128,PhiZZ23_128,-,-,-,endonuclease V N-glycosylase UV repair enzyme,protein-coding,-,-,-,endonuclease V N-glycosylase UV repair enzyme,20210608,-
2716727,65054245,KMB93_gp129,KMB93_gp129,PhiZZ23_129,-,-,-,soluble lysozyme,protein-coding,-,-,-,soluble lysozyme,20210608,-
2716727,65054246,KMB93_gp130,KMB93_gp130,PhiZZ23_130,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210608,-
2716727,65054247,KMB93_gp131,KMB93_gp131,PhiZZ23_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054248,KMB93_gp132,KMB93_gp132,PhiZZ23_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054249,KMB93_gp133,KMB93_gp133,PhiZZ23_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054250,KMB93_gp134,KMB93_gp134,PhiZZ23_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054251,KMB93_gp135,KMB93_gp135,PhiZZ23_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054252,KMB93_gp136,KMB93_gp136,PhiZZ23_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054253,KMB93_gp137,KMB93_gp137,PhiZZ23_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054254,KMB93_gp138,KMB93_gp138,PhiZZ23_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054255,KMB93_gp139,KMB93_gp139,PhiZZ23_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054256,KMB93_gp140,KMB93_gp140,PhiZZ23_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054257,KMB93_gt001,KMB93_gt001,PhiZZ23_141,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716727,65054258,KMB93_gp269,KMB93_gp269,PhiZZ23_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054259,KMB93_gp268,KMB93_gp268,PhiZZ23_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054260,KMB93_gp267,KMB93_gp267,PhiZZ23_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054261,KMB93_gp266,KMB93_gp266,PhiZZ23_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716727,65054262,KMB93_gp265,KMB93_gp265,PhiZZ23_157,-,-,-,putative chaperone long and short tail fiber assembly protein,protein-coding,-,-,-,putative chaperone long and short tail fiber assembly protein,20210608,-
2716727,65054263,KMB93_gp264,KMB93_gp264,PhiZZ23_158,-,-,-,deoxynucleoside monophosphate (dNMP) kinase,protein-coding,-,-,-,deoxynucleoside monophosphate (dNMP) kinase,20210608,-
2716727,65054264,KMB93_gp263,KMB93_gp263,PhiZZ23_159,-,-,-,putative tail completion and sheath stabilizer protein,protein-coding,-,-,-,putative tail completion and sheath stabilizer protein,20210612,-
2716727,65054265,KMB93_gp262,KMB93_gp262,PhiZZ23_160,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210608,-
2716727,65054266,KMB93_gp261,KMB93_gp261,PhiZZ23_161,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210609,-
2716727,65054267,KMB93_gp260,KMB93_gp260,PhiZZ23_162,-,-,-,putative baseplate wedge completion,protein-coding,-,-,-,putative baseplate wedge completion,20210608,-
2716727,65054268,KMB93_gp259,KMB93_gp259,PhiZZ23_163,-,-,-,baseplate hub subunit and lysozyme,protein-coding,-,-,-,baseplate hub subunit and lysozyme,20210609,-
2716727,65054269,KMB93_gp258,KMB93_gp258,PhiZZ23_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716727,65054270,KMB93_gp257,KMB93_gp257,PhiZZ23_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716727,65054271,KMB93_gp256,KMB93_gp256,PhiZZ23_166,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
2716727,65054272,KMB93_gp255,KMB93_gp255,PhiZZ23_167,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
2716727,65054273,KMB93_gp254,KMB93_gp254,PhiZZ23_168,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
2716727,65054274,KMB93_gp253,KMB93_gp253,PhiZZ23_169,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210608,-
2716727,65054275,KMB93_gp252,KMB93_gp252,PhiZZ23_170,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210608,-
2716727,65054276,KMB93_gp251,KMB93_gp251,PhiZZ23_171,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210608,-
2716727,65054277,KMB93_gp250,KMB93_gp250,PhiZZ23_172,-,-,-,short tail fiber protein middle domain,protein-coding,-,-,-,short tail fiber protein middle domain,20210608,-
2716727,65054278,KMB93_gp249,KMB93_gp249,PhiZZ23_173,-,-,-,fibritin,protein-coding,-,-,-,fibritin,20210608,-
2716727,65054279,KMB93_gp248,KMB93_gp248,PhiZZ23_174,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210608,-
2716727,65054280,KMB93_gp247,KMB93_gp247,PhiZZ23_175,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210609,-
2716727,65054281,KMB93_gp246,KMB93_gp246,PhiZZ23_176,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210608,-
2716727,65054282,KMB93_gp245,KMB93_gp245,PhiZZ23_177,-,-,-,putative terminase DNA packaging enzyme,protein-coding,-,-,-,putative terminase DNA packaging enzyme,20210608,-
2716727,65054283,KMB93_gp244,KMB93_gp244,PhiZZ23_178,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2716727,65054284,KMB93_gp243,KMB93_gp243,PhiZZ23_179,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210608,-
2716727,65054285,KMB93_gp242,KMB93_gp242,PhiZZ23_180,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210608,-
2716727,65054286,KMB93_gp241,KMB93_gp241,PhiZZ23_181,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20210608,-
2716727,65054287,KMB93_gp240,KMB93_gp240,PhiZZ23_182,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210608,-
2716727,65054288,KMB93_gp239,KMB93_gp239,PhiZZ23_183,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
