#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2608376,56135077,H1O04_gp02,H1O04_gp02,KL_02,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210424,-
2608376,56135094,H1O04_gp24,H1O04_gp24,KL_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135095,H1O04_gp25,H1O04_gp25,KL_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135096,H1O04_gp26,H1O04_gp26,KL_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135097,H1O04_gp27,H1O04_gp27,KL_28,-,-,-,host attachment protein,protein-coding,-,-,-,host attachment protein,20200724,-
2608376,56135098,H1O04_gp29,H1O04_gp29,KL_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135099,H1O04_gp30,H1O04_gp30,KL_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135100,H1O04_gp31,H1O04_gp31,KL_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135101,H1O04_gp32,H1O04_gp32,KL_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135102,H1O04_gp33,H1O04_gp33,KL_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135103,H1O04_gp34,H1O04_gp34,KL_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135104,H1O04_gp35,H1O04_gp35,KL_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135105,H1O04_gp36,H1O04_gp36,KL_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135106,H1O04_gp37,H1O04_gp37,KL_38,-,-,-,EaA protein,protein-coding,-,-,-,EaA protein,20201217,-
2608376,56135107,H1O04_gp38,H1O04_gp38,KL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135108,H1O04_gp39,H1O04_gp39,KL_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135109,H1O04_gp40,H1O04_gp40,KL_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135110,H1O04_gp41,H1O04_gp41,KL_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135111,H1O04_gp42,H1O04_gp42,KL_43,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
2608376,56135112,H1O04_gp43,H1O04_gp43,KL_44,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2608376,56135113,H1O04_gp44,H1O04_gp44,KL_45,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2608376,56135114,H1O04_gp45,H1O04_gp45,KL_46,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201217,-
2608376,56135115,H1O04_gp46,H1O04_gp46,KL_47,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210424,-
2608376,56135116,H1O04_gp47,H1O04_gp47,KL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135117,H1O04_gp48,H1O04_gp48,KL_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2608376,56135118,H1O04_gp49,H1O04_gp49,KL_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135119,H1O04_gp50,H1O04_gp50,KL_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2608376,56135120,H1O04_gp51,H1O04_gp51,KL_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135121,H1O04_gp52,H1O04_gp52,KL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135122,H1O04_gp53,H1O04_gp53,KL_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2608376,56135123,H1O04_gp54,H1O04_gp54,KL_55,-,-,-,tail protein/depolymerase,protein-coding,-,-,-,tail protein/depolymerase,20201217,-
2608376,56135124,H1O04_gp55,H1O04_gp55,KL_56,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201217,-
2608376,56135125,H1O04_gp56,H1O04_gp56,KL_57,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200801,-
2608376,56135126,H1O04_gp57,H1O04_gp57,KL_58,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210306,-
2608376,56135127,H1O04_gp58,H1O04_gp58,KL_59,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20201217,-
2608376,56135128,H1O04_gp59,H1O04_gp59,KL_60,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2608376,56135129,H1O04_gp60,H1O04_gp60,KL_61,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201217,-
2608376,56135130,H1O04_gp61,H1O04_gp61,KL_62,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2608376,56135131,H1O04_gp62,H1O04_gp62,KL_63,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201217,-
2608376,56135132,H1O04_gp63,H1O04_gp63,KL_64,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201217,-
2608376,56135133,H1O04_gp64,H1O04_gp64,KL_65,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
2608376,56135134,H1O04_gp65,H1O04_gp65,KL_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135135,H1O04_gp66,H1O04_gp66,KL_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135136,H1O04_gp67,H1O04_gp67,KL_68,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
2608376,56135137,H1O04_gp69,H1O04_gp69,KL_70,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210424,-
2608376,56135138,H1O04_gp74,H1O04_gp74,KL_75,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20200724,-
2608376,56135139,H1O04_gp13,H1O04_gp13,KL_13,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200724,-
2608376,56135140,H1O04_gp15,H1O04_gp15,KL_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135141,H1O04_gp16,H1O04_gp16,KL_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135142,H1O04_gp18,H1O04_gp18,KL_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135143,H1O04_gp20,H1O04_gp20,KL_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135144,H1O04_gp28,H1O04_gp28,KL_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2608376,56135145,H1O04_gp68,H1O04_gp68,KL_69,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20200724,-
2608376,56135146,H1O04_gp70,H1O04_gp70,KL_71,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2608376,56135147,H1O04_gp71,H1O04_gp71,KL_72,-,-,-,primase,protein-coding,-,-,-,primase,20200724,-
2608376,56135148,H1O04_gp72,H1O04_gp72,KL_73,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210424,-
2608376,56135149,H1O04_gp73,H1O04_gp73,KL_74,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2608376,56135150,H1O04_gp01,H1O04_gp01,KL_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2608376,56166671,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
