#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767584,64470733,KGG73_gp02,KGG73_gp02,CPT_Sentinel_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767584,64470750,KGG73_gp19,KGG73_gp19,CPT_Sentinel_019,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767584,64470751,KGG73_gp20,KGG73_gp20,CPT_Sentinel_020,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767584,64470752,KGG73_gp21,KGG73_gp21,CPT_Sentinel_021,-,-,-,endolysin amidase,protein-coding,-,-,-,endolysin amidase,20210529,-
2767584,64470753,KGG73_gp22,KGG73_gp22,CPT_Sentinel_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470754,KGG73_gp23,KGG73_gp23,CPT_Sentinel_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470755,KGG73_gp24,KGG73_gp24,CPT_Sentinel_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470756,KGG73_gp25,KGG73_gp25,CPT_Sentinel_025,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2767584,64470757,KGG73_gp26,KGG73_gp26,CPT_Sentinel_026,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210505,-
2767584,64470758,KGG73_gp27,KGG73_gp27,CPT_Sentinel_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470759,KGG73_gp28,KGG73_gp28,CPT_Sentinel_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470760,KGG73_gp29,KGG73_gp29,CPT_Sentinel_029,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210529,-
2767584,64470761,KGG73_gp30,KGG73_gp30,CPT_Sentinel_030,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210529,-
2767584,64470762,KGG73_gp31,KGG73_gp31,CPT_Sentinel_031,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210529,-
2767584,64470763,KGG73_gp32,KGG73_gp32,CPT_Sentinel_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470764,KGG73_gp33,KGG73_gp33,CPT_Sentinel_033,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2767584,64470765,KGG73_gp34,KGG73_gp34,CPT_Sentinel_034,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2767584,64470766,KGG73_gp35,KGG73_gp35,CPT_Sentinel_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470767,KGG73_gp36,KGG73_gp36,CPT_Sentinel_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470768,KGG73_gp37,KGG73_gp37,CPT_Sentinel_037,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2767584,64470769,KGG73_gp38,KGG73_gp38,CPT_Sentinel_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470770,KGG73_gp39,KGG73_gp39,CPT_Sentinel_039,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210505,-
2767584,64470771,KGG73_gp40,KGG73_gp40,CPT_Sentinel_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470772,KGG73_gp41,KGG73_gp41,CPT_Sentinel_041,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210529,-
2767584,64470773,KGG73_gp42,KGG73_gp42,CPT_Sentinel_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470774,KGG73_gp43,KGG73_gp43,CPT_Sentinel_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470775,KGG73_gp44,KGG73_gp44,CPT_Sentinel_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470776,KGG73_gp45,KGG73_gp45,CPT_Sentinel_045,-,-,-,integrase,protein-coding,-,-,-,integrase,20210529,-
2767584,64470777,KGG73_gp46,KGG73_gp46,CPT_Sentinel_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470778,KGG73_gp47,KGG73_gp47,CPT_Sentinel_047,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210529,-
2767584,64470779,KGG73_gp48,KGG73_gp48,CPT_Sentinel_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470780,KGG73_gp49,KGG73_gp49,CPT_Sentinel_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470781,KGG73_gp50,KGG73_gp50,CPT_Sentinel_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767584,64470782,KGG73_gp51,KGG73_gp51,CPT_Sentinel_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470783,KGG73_gp52,KGG73_gp52,CPT_Sentinel_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470784,KGG73_gp53,KGG73_gp53,CPT_Sentinel_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470785,KGG73_gp54,KGG73_gp54,CPT_Sentinel_054,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210529,-
2767584,64470786,KGG73_gp55,KGG73_gp55,CPT_Sentinel_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470787,KGG73_gp56,KGG73_gp56,CPT_Sentinel_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470788,KGG73_gp57,KGG73_gp57,CPT_Sentinel_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470789,KGG73_gp58,KGG73_gp58,CPT_Sentinel_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470790,KGG73_gp59,KGG73_gp59,CPT_Sentinel_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470791,KGG73_gp60,KGG73_gp60,CPT_Sentinel_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470792,KGG73_gp61,KGG73_gp61,CPT_Sentinel_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470793,KGG73_gp62,KGG73_gp62,CPT_Sentinel_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470794,KGG73_gp63,KGG73_gp63,CPT_Sentinel_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470795,KGG73_gp64,KGG73_gp64,CPT_Sentinel_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470796,KGG73_gp65,KGG73_gp65,CPT_Sentinel_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470797,KGG73_gp66,KGG73_gp66,CPT_Sentinel_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470798,KGG73_gp67,KGG73_gp67,CPT_Sentinel_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470799,KGG73_gp68,KGG73_gp68,CPT_Sentinel_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470800,KGG73_gp69,KGG73_gp69,CPT_Sentinel_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470801,KGG73_gp70,KGG73_gp70,CPT_Sentinel_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470802,KGG73_gp71,KGG73_gp71,CPT_Sentinel_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470803,KGG73_gp72,KGG73_gp72,CPT_Sentinel_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470804,KGG73_gp73,KGG73_gp73,CPT_Sentinel_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470805,KGG73_gp74,KGG73_gp74,CPT_Sentinel_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470806,KGG73_gp75,KGG73_gp75,CPT_Sentinel_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767584,64470807,KGG73_gp76,KGG73_gp76,CPT_Sentinel_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470808,KGG73_gp77,KGG73_gp77,CPT_Sentinel_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470809,KGG73_gp78,KGG73_gp78,CPT_Sentinel_078,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2767584,64470810,KGG73_gp79,KGG73_gp79,CPT_Sentinel_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470811,KGG73_gp80,KGG73_gp80,CPT_Sentinel_080,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20210529,-
2767584,64470812,KGG73_gp81,KGG73_gp81,CPT_Sentinel_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767584,64470813,KGG73_gp01,KGG73_gp01,CPT_Sentinel_001,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2767584,64792271,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
