#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590944,64854694,2,KIJ58_gp02,SEA_SOILDRAGON_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210514,-
2590944,64854717,24,KIJ58_gp76,SEA_SOILDRAGON_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210514,-
2590944,64854718,26,KIJ58_gp74,SEA_SOILDRAGON_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210522,-
2590944,64854719,27,KIJ58_gp73,SEA_SOILDRAGON_27,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210514,-
2590944,64854720,25,KIJ58_gp75,SEA_SOILDRAGON_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210612,-
2590944,64854721,28,KIJ58_gp72,SEA_SOILDRAGON_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2590944,64854722,29,KIJ58_gp71,SEA_SOILDRAGON_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2590944,64854723,30,KIJ58_gp70,SEA_SOILDRAGON_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2590944,64854724,31,KIJ58_gp69,SEA_SOILDRAGON_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210514,-
2590944,64854725,32,KIJ58_gp68,SEA_SOILDRAGON_32,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210612,-
2590944,64854726,33,KIJ58_gp67,SEA_SOILDRAGON_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2590944,64854727,34,KIJ58_gp66,SEA_SOILDRAGON_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854728,35,KIJ58_gp65,SEA_SOILDRAGON_35,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210514,-
2590944,64854729,36,KIJ58_gp64,SEA_SOILDRAGON_36,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210514,-
2590944,64854730,37,KIJ58_gp63,SEA_SOILDRAGON_37,-,-,-,excise,protein-coding,-,-,-,excise,20210522,-
2590944,64854731,38,KIJ58_gp62,SEA_SOILDRAGON_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854732,39,KIJ58_gp61,SEA_SOILDRAGON_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854733,40,KIJ58_gp60,SEA_SOILDRAGON_40,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210522,-
2590944,64854734,41,KIJ58_gp59,SEA_SOILDRAGON_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854735,43,KIJ58_gp57,SEA_SOILDRAGON_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854736,44,KIJ58_gp56,SEA_SOILDRAGON_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854737,45,KIJ58_gp55,SEA_SOILDRAGON_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854738,46,KIJ58_gp54,SEA_SOILDRAGON_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854739,47,KIJ58_gp53,SEA_SOILDRAGON_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854740,48,KIJ58_gp52,SEA_SOILDRAGON_48,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210514,-
2590944,64854741,49,KIJ58_gp51,SEA_SOILDRAGON_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854742,50,KIJ58_gp50,SEA_SOILDRAGON_50,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210514,-
2590944,64854743,51,KIJ58_gp49,SEA_SOILDRAGON_51,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210514,-
2590944,64854744,52,KIJ58_gp48,SEA_SOILDRAGON_52,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210514,-
2590944,64854745,53,KIJ58_gp47,SEA_SOILDRAGON_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854746,54,KIJ58_gp46,SEA_SOILDRAGON_54,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210514,-
2590944,64854747,55,KIJ58_gp45,SEA_SOILDRAGON_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854748,56,KIJ58_gp44,SEA_SOILDRAGON_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854749,57,KIJ58_gp43,SEA_SOILDRAGON_57,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210514,-
2590944,64854750,58,KIJ58_gp42,SEA_SOILDRAGON_58,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210514,-
2590944,64854751,59,KIJ58_gp41,SEA_SOILDRAGON_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854752,60,KIJ58_gp40,SEA_SOILDRAGON_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854753,61,KIJ58_gp39,SEA_SOILDRAGON_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854754,62,KIJ58_gp38,SEA_SOILDRAGON_62,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
2590944,64854755,63,KIJ58_gp37,SEA_SOILDRAGON_63,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210612,-
2590944,64854756,64,KIJ58_gp36,SEA_SOILDRAGON_64,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210522,-
2590944,64854757,65,KIJ58_gp35,SEA_SOILDRAGON_65,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210514,-
2590944,64854758,66,KIJ58_gp34,SEA_SOILDRAGON_66,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210514,-
2590944,64854759,67,KIJ58_gp33,SEA_SOILDRAGON_67,-,-,-,DprA-like DNA processing chain A,protein-coding,-,-,-,DprA-like DNA processing chain A,20210514,-
2590944,64854760,68,KIJ58_gp32,SEA_SOILDRAGON_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854761,69,KIJ58_gp31,SEA_SOILDRAGON_69,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210612,-
2590944,64854762,70,KIJ58_gp30,SEA_SOILDRAGON_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854763,72,KIJ58_gp28,SEA_SOILDRAGON_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854764,73,KIJ58_gp27,SEA_SOILDRAGON_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854765,74,KIJ58_gp26,SEA_SOILDRAGON_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854766,75,KIJ58_gp25,SEA_SOILDRAGON_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854767,76,KIJ58_gp24,SEA_SOILDRAGON_76,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210522,-
2590944,64854768,77,KIJ58_gp23,SEA_SOILDRAGON_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854769,78,KIJ58_gp22,SEA_SOILDRAGON_78,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210514,-
2590944,64854770,79,KIJ58_gp21,SEA_SOILDRAGON_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854771,80,KIJ58_gp20,SEA_SOILDRAGON_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854772,81,KIJ58_gp19,SEA_SOILDRAGON_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854773,82,KIJ58_gp18,SEA_SOILDRAGON_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854774,83,KIJ58_gp17,SEA_SOILDRAGON_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854775,84,KIJ58_gp16,SEA_SOILDRAGON_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854776,85,KIJ58_gp15,SEA_SOILDRAGON_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854777,86,KIJ58_gp14,SEA_SOILDRAGON_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854778,87,KIJ58_gp13,SEA_SOILDRAGON_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854779,88,KIJ58_gp12,SEA_SOILDRAGON_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854780,89,KIJ58_gp11,SEA_SOILDRAGON_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2590944,64854781,90,KIJ58_gp10,SEA_SOILDRAGON_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854782,91,KIJ58_gp09,SEA_SOILDRAGON_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2590944,64854783,92,KIJ58_gp08,SEA_SOILDRAGON_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854784,93,KIJ58_gp07,SEA_SOILDRAGON_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854785,42,KIJ58_gp58,SEA_SOILDRAGON_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64854786,71,KIJ58_gp29,SEA_SOILDRAGON_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2590944,64953915,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210517,-
