#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656526,55814456,2,HYQ08_gp002,SEA_MUFASA8_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2656526,55814510,58,HYQ08_gp058,SEA_MUFASA8_58,-,-,-,HicA-like antitoxin,protein-coding,-,-,-,HicA-like antitoxin,20210424,-
2656526,55814511,59,HYQ08_gp059,SEA_MUFASA8_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814512,60,HYQ08_gp060,SEA_MUFASA8_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814513,61,HYQ08_gp061,SEA_MUFASA8_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814514,62,HYQ08_gp062,SEA_MUFASA8_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814515,63,HYQ08_gp063,SEA_MUFASA8_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814516,64,HYQ08_gp064,SEA_MUFASA8_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814517,65,HYQ08_gp065,SEA_MUFASA8_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814518,66,HYQ08_gp066,SEA_MUFASA8_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814519,67,HYQ08_gp067,SEA_MUFASA8_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814520,68,HYQ08_gp068,SEA_MUFASA8_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814521,69,HYQ08_gp069,SEA_MUFASA8_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814522,70,HYQ08_gp070,SEA_MUFASA8_70,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2656526,55814523,71,HYQ08_gp071,SEA_MUFASA8_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814524,72,HYQ08_gp072,SEA_MUFASA8_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814525,73,HYQ08_gp073,SEA_MUFASA8_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814526,74,HYQ08_gp074,SEA_MUFASA8_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814527,75,HYQ08_gp075,SEA_MUFASA8_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814528,76,HYQ08_gp076,SEA_MUFASA8_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814529,77,HYQ08_gp077,SEA_MUFASA8_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814530,78,HYQ08_gp078,SEA_MUFASA8_78,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2656526,55814531,79,HYQ08_gp079,SEA_MUFASA8_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814532,80,HYQ08_gp080,SEA_MUFASA8_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814533,81,HYQ08_gp081,SEA_MUFASA8_81,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2656526,55814534,82,HYQ08_gp082,SEA_MUFASA8_82,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2656526,55814535,83,HYQ08_gp083,SEA_MUFASA8_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814536,84,HYQ08_gp084,SEA_MUFASA8_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814537,85,HYQ08_gp085,SEA_MUFASA8_85,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2656526,55814538,86,HYQ08_gp086,SEA_MUFASA8_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814539,87,HYQ08_gp087,SEA_MUFASA8_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814540,88,HYQ08_gp088,SEA_MUFASA8_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814541,90,HYQ08_gp090,SEA_MUFASA8_90,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20200704,-
2656526,55814542,91,HYQ08_gp091,SEA_MUFASA8_91,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210424,-
2656526,55814543,92,HYQ08_gp092,SEA_MUFASA8_92,-,-,-,GTP cyclohydrolase I,protein-coding,-,-,-,GTP cyclohydrolase I,20210424,-
2656526,55814544,93,HYQ08_gp093,SEA_MUFASA8_93,-,-,-,QueC-like queosine biosynthesis protein,protein-coding,-,-,-,QueC-like queosine biosynthesis protein,20200905,-
2656526,55814545,94,HYQ08_gp094,SEA_MUFASA8_94,-,-,-,QueD-like queosine biosynthesis protein,protein-coding,-,-,-,QueD-like queosine biosynthesis protein,20210424,-
2656526,55814546,95,HYQ08_gp095,SEA_MUFASA8_95,-,-,-,lipoyl synthase,protein-coding,-,-,-,lipoyl synthase,20200905,-
2656526,55814547,96,HYQ08_gp096,SEA_MUFASA8_96,-,-,-,GTP cyclohydrolase I,protein-coding,-,-,-,GTP cyclohydrolase I,20210424,-
2656526,55814548,97,HYQ08_gp097,SEA_MUFASA8_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814549,98,HYQ08_gp098,SEA_MUFASA8_98,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2656526,55814550,99,HYQ08_gp099,SEA_MUFASA8_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656526,55814551,100,HYQ08_gp100,SEA_MUFASA8_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656526,55814552,101,HYQ08_gp101,SEA_MUFASA8_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814553,102,HYQ08_gp102,SEA_MUFASA8_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814554,103,HYQ08_gp103,SEA_MUFASA8_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814555,104,HYQ08_gp104,SEA_MUFASA8_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814556,51,HYQ08_gp051,SEA_MUFASA8_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814557,89,HYQ08_gp089,SEA_MUFASA8_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814558,21,HYQ08_gp021,SEA_MUFASA8_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656526,55814559,1,HYQ08_gp001,SEA_MUFASA8_1,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200905,-
2656526,55863612,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
