#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713310,55818422,HYQ37_gp002,HYQ37_gp002,pertopsoe_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210129,-
2713310,55818435,HYQ37_gp015,HYQ37_gp015,pertopsoe_15,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713310,55818436,HYQ37_gp016,HYQ37_gp016,pertopsoe_16,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210123,-
2713310,55818437,HYQ37_gp017,HYQ37_gp017,pertopsoe_17,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210123,-
2713310,55818438,HYQ37_gp018,HYQ37_gp018,pertopsoe_18,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200926,-
2713310,55818439,HYQ37_gp019,HYQ37_gp019,pertopsoe_19,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210129,-
2713310,55818440,HYQ37_gp020,HYQ37_gp020,pertopsoe_20,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210129,-
2713310,55818441,HYQ37_gp021,HYQ37_gp021,pertopsoe_21,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20210306,-
2713310,55818442,HYQ37_gp022,HYQ37_gp022,pertopsoe_22,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20210306,-
2713310,55818443,HYQ37_gp023,HYQ37_gp023,pertopsoe_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818444,HYQ37_gp024,HYQ37_gp024,pertopsoe_24,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20200910,-
2713310,55818445,HYQ37_gp025,HYQ37_gp025,pertopsoe_25,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210129,-
2713310,55818446,HYQ37_gp026,HYQ37_gp026,pertopsoe_26,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210403,-
2713310,55818447,HYQ37_gp027,HYQ37_gp027,pertopsoe_27,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210129,-
2713310,55818448,HYQ37_gp028,HYQ37_gp028,pertopsoe_28,-,-,-,NUMOD3 motif family protein,protein-coding,-,-,-,NUMOD3 motif family protein,20210129,-
2713310,55818449,HYQ37_gp029,HYQ37_gp029,pertopsoe_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818450,HYQ37_gp030,HYQ37_gp030,pertopsoe_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818451,HYQ37_gp031,HYQ37_gp031,pertopsoe_31,-,-,-,nucleotide-binding protein,protein-coding,-,-,-,nucleotide-binding protein,20200910,-
2713310,55818452,HYQ37_gp032,HYQ37_gp032,pertopsoe_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818453,HYQ37_gp033,HYQ37_gp033,pertopsoe_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818454,HYQ37_gp034,HYQ37_gp034,pertopsoe_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818455,HYQ37_gp035,HYQ37_gp035,pertopsoe_35,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20210129,-
2713310,55818456,HYQ37_gp036,HYQ37_gp036,pertopsoe_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818457,HYQ37_gp037,HYQ37_gp037,pertopsoe_37,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713310,55818458,HYQ37_gp038,HYQ37_gp038,pertopsoe_38,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713310,55818459,HYQ37_gp039,HYQ37_gp039,pertopsoe_39,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200919,-
2713310,55818460,HYQ37_gp040,HYQ37_gp040,pertopsoe_40,-,-,-,putative DNA repair/recombination protein,protein-coding,-,-,-,putative DNA repair/recombination protein,20210313,-
2713310,55818461,HYQ37_gp041,HYQ37_gp041,pertopsoe_41,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210313,-
2713310,55818462,HYQ37_gp042,HYQ37_gp042,pertopsoe_42,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210129,-
2713310,55818463,HYQ37_gp043,HYQ37_gp043,pertopsoe_43,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
2713310,55818464,HYQ37_gp044,HYQ37_gp044,pertopsoe_44,-,-,-,sliding clamp protein,protein-coding,-,-,-,sliding clamp protein,20200919,-
2713310,55818465,HYQ37_gp045,HYQ37_gp045,pertopsoe_45,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20210313,-
2713310,55818466,HYQ37_gp046,HYQ37_gp046,pertopsoe_46,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210313,-
2713310,55818467,HYQ37_gp047,HYQ37_gp047,pertopsoe_47,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200919,-
2713310,55818468,HYQ37_gp048,HYQ37_gp048,pertopsoe_48,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,20210129,-
2713310,55818469,HYQ37_gp049,HYQ37_gp049,pertopsoe_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713310,55818470,HYQ37_gp050,HYQ37_gp050,pertopsoe_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818471,HYQ37_gp051,HYQ37_gp051,pertopsoe_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713310,55818472,HYQ37_gp052,HYQ37_gp052,pertopsoe_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818473,HYQ37_gp053,HYQ37_gp053,pertopsoe_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713310,55818474,HYQ37_gp054,HYQ37_gp054,pertopsoe_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713310,55818475,HYQ37_gp055,HYQ37_gp055,pertopsoe_55,-,-,-,putative nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyl transferase,20210129,-
2713310,55818476,HYQ37_gp056,HYQ37_gp056,pertopsoe_56,-,-,-,putative nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyl transferase,20210403,-
2713310,55818477,HYQ37_gp057,HYQ37_gp057,pertopsoe_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818478,HYQ37_gp058,HYQ37_gp058,pertopsoe_58,-,-,-,putative vWa containing protein,protein-coding,-,-,-,putative vWa containing protein,20210129,-
2713310,55818479,HYQ37_gp059,HYQ37_gp059,pertopsoe_59,-,-,-,putative acyl carrier protein,protein-coding,-,-,-,putative acyl carrier protein,20210129,-
2713310,55818480,HYQ37_gp060,HYQ37_gp060,pertopsoe_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818481,HYQ37_gp061,HYQ37_gp061,pertopsoe_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818482,HYQ37_gp062,HYQ37_gp062,pertopsoe_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818483,HYQ37_gp063,HYQ37_gp063,pertopsoe_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818484,HYQ37_gp064,HYQ37_gp064,pertopsoe_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713310,55818485,HYQ37_gp065,HYQ37_gp065,pertopsoe_65,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
2713310,55818486,HYQ37_gp066,HYQ37_gp066,pertopsoe_66,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713310,55818487,HYQ37_gp067,HYQ37_gp067,pertopsoe_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818488,HYQ37_gp068,HYQ37_gp068,pertopsoe_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818489,HYQ37_gp069,HYQ37_gp069,pertopsoe_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818490,HYQ37_gp070,HYQ37_gp070,pertopsoe_70,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20210129,-
2713310,55818491,HYQ37_gp071,HYQ37_gp071,pertopsoe_71,-,-,-,SPFH domain band 7 family protein,protein-coding,-,-,-,SPFH domain band 7 family protein,20210306,-
2713310,55818492,HYQ37_gp072,HYQ37_gp072,pertopsoe_72,-,-,-,DNA-binding family protein,protein-coding,-,-,-,DNA-binding family protein,20210129,-
2713310,55818493,HYQ37_gp073,HYQ37_gp073,pertopsoe_73,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210129,-
2713310,55818494,HYQ37_gp074,HYQ37_gp074,pertopsoe_74,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713310,55818495,HYQ37_gp075,HYQ37_gp075,pertopsoe_75,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20200919,-
2713310,55818496,HYQ37_gp076,HYQ37_gp076,pertopsoe_76,-,-,-,sigma factor involved in late transcription,protein-coding,-,-,-,sigma factor involved in late transcription,20210129,-
2713310,55818497,HYQ37_gp077,HYQ37_gp077,pertopsoe_77,-,-,-,recombination protein subunit,protein-coding,-,-,-,recombination protein subunit,20210129,-
2713310,55818498,HYQ37_gp078,HYQ37_gp078,pertopsoe_78,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210129,-
2713310,55818499,HYQ37_gp079,HYQ37_gp079,pertopsoe_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818500,HYQ37_gp080,HYQ37_gp080,pertopsoe_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713310,55818501,HYQ37_gp081,HYQ37_gp081,pertopsoe_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818502,HYQ37_gp082,HYQ37_gp082,pertopsoe_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818503,HYQ37_gp083,HYQ37_gp083,pertopsoe_83,-,-,-,protein RegB,protein-coding,-,-,-,protein RegB,20200910,-
2713310,55818504,HYQ37_gp084,HYQ37_gp084,pertopsoe_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818505,HYQ37_gp085,HYQ37_gp085,pertopsoe_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818506,HYQ37_gp086,HYQ37_gp086,pertopsoe_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818507,HYQ37_gp087,HYQ37_gp087,pertopsoe_87,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713310,55818508,HYQ37_gp088,HYQ37_gp088,pertopsoe_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818509,HYQ37_gp089,HYQ37_gp089,pertopsoe_89,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210129,-
2713310,55818510,HYQ37_gp090,HYQ37_gp090,pertopsoe_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818511,HYQ37_gp091,HYQ37_gp091,pertopsoe_91,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
2713310,55818512,HYQ37_gp092,HYQ37_gp092,pertopsoe_92,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210129,-
2713310,55818513,HYQ37_gp093,HYQ37_gp093,pertopsoe_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818514,HYQ37_gp094,HYQ37_gp094,pertopsoe_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818515,HYQ37_gp095,HYQ37_gp095,pertopsoe_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818516,HYQ37_gp096,HYQ37_gp096,pertopsoe_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818517,HYQ37_gp097,HYQ37_gp097,pertopsoe_97,-,-,-,peptidoglycan binding protein,protein-coding,-,-,-,peptidoglycan binding protein,20210129,-
2713310,55818518,HYQ37_gp098,HYQ37_gp098,pertopsoe_98,-,-,-,phosphate starvation-inducible protein,protein-coding,-,-,-,phosphate starvation-inducible protein,20210129,-
2713310,55818519,HYQ37_gp099,HYQ37_gp099,pertopsoe_99,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210129,-
2713310,55818520,HYQ37_gp100,HYQ37_gp100,pertopsoe_100,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210313,-
2713310,55818521,HYQ37_gp101,HYQ37_gp101,pertopsoe_101,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210313,-
2713310,55818522,HYQ37_gp102,HYQ37_gp102,pertopsoe_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818523,HYQ37_gp103,HYQ37_gp103,pertopsoe_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818524,HYQ37_gp104,HYQ37_gp104,pertopsoe_104,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210313,-
2713310,55818525,HYQ37_gp105,HYQ37_gp105,pertopsoe_105,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210129,-
2713310,55818526,HYQ37_gp106,HYQ37_gp106,pertopsoe_106,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210403,-
2713310,55818527,HYQ37_gp107,HYQ37_gp107,pertopsoe_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818528,HYQ37_gp108,HYQ37_gp108,pertopsoe_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818529,HYQ37_gp109,HYQ37_gp109,pertopsoe_109,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20200910,-
2713310,55818530,HYQ37_gp110,HYQ37_gp110,pertopsoe_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818531,HYQ37_gp111,HYQ37_gp111,pertopsoe_111,-,-,-,FmdB family domain protein,protein-coding,-,-,-,FmdB family domain protein,20210129,-
2713310,55818532,HYQ37_gp112,HYQ37_gp112,pertopsoe_112,-,-,-,putative late promoter transcription factor,protein-coding,-,-,-,putative late promoter transcription factor,20200926,-
2713310,55818533,HYQ37_gp113,HYQ37_gp113,pertopsoe_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818534,HYQ37_gp114,HYQ37_gp114,pertopsoe_114,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210129,-
2713310,55818535,HYQ37_gp115,HYQ37_gp115,pertopsoe_115,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200910,-
2713310,55818536,HYQ37_gp116,HYQ37_gp116,pertopsoe_116,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20200926,-
2713310,55818537,HYQ37_gp117,HYQ37_gp117,pertopsoe_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818538,HYQ37_gp118,HYQ37_gp118,pertopsoe_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818539,HYQ37_gp119,HYQ37_gp119,pertopsoe_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818540,HYQ37_gp120,HYQ37_gp120,pertopsoe_120,-,-,-,putative kinase,protein-coding,-,-,-,putative kinase,20210313,-
2713310,55818541,HYQ37_gp121,HYQ37_gp121,pertopsoe_121,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210129,-
2713310,55818542,HYQ37_gp122,HYQ37_gp122,pertopsoe_122,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20200910,-
2713310,55818543,HYQ37_gp123,HYQ37_gp123,pertopsoe_123,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20210313,-
2713310,55818544,HYQ37_gp124,HYQ37_gp124,pertopsoe_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818545,HYQ37_gp125,HYQ37_gp125,pertopsoe_125,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210306,-
2713310,55818546,HYQ37_gp126,HYQ37_gp126,pertopsoe_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818547,HYQ37_gp127,HYQ37_gp127,pertopsoe_127,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210129,-
2713310,55818548,HYQ37_gp128,HYQ37_gp128,pertopsoe_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818549,HYQ37_gp129,HYQ37_gp129,pertopsoe_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818550,HYQ37_gp130,HYQ37_gp130,pertopsoe_130,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210129,-
2713310,55818551,HYQ37_gp131,HYQ37_gp131,pertopsoe_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818552,HYQ37_gp132,HYQ37_gp132,pertopsoe_132,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
2713310,55818553,HYQ37_gp133,HYQ37_gp133,pertopsoe_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713310,55818554,HYQ37_gp134,HYQ37_gp134,pertopsoe_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818555,HYQ37_gp135,HYQ37_gp135,pertopsoe_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818556,HYQ37_gp136,HYQ37_gp136,pertopsoe_136,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210129,-
2713310,55818557,HYQ37_gp137,HYQ37_gp137,pertopsoe_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818558,HYQ37_gp138,HYQ37_gp138,pertopsoe_138,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20200926,-
2713310,55818559,HYQ37_gp139,HYQ37_gp139,pertopsoe_139,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20200910,-
2713310,55818560,HYQ37_gp140,HYQ37_gp140,pertopsoe_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818561,HYQ37_gp141,HYQ37_gp141,pertopsoe_141,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20210129,-
2713310,55818562,HYQ37_gp142,HYQ37_gp142,pertopsoe_142,-,-,-,putative tail tube associated base plate protein,protein-coding,-,-,-,putative tail tube associated base plate protein,20200926,-
2713310,55818563,HYQ37_gp143,HYQ37_gp143,pertopsoe_143,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210313,-
2713310,55818564,HYQ37_gp144,HYQ37_gp144,pertopsoe_144,-,-,-,membrane-flanked domain protein,protein-coding,-,-,-,membrane-flanked domain protein,20210129,-
2713310,55818565,HYQ37_gp145,HYQ37_gp145,pertopsoe_145,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20210313,-
2713310,55818566,HYQ37_gp146,HYQ37_gp146,pertopsoe_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818567,HYQ37_gp147,HYQ37_gp147,pertopsoe_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818568,HYQ37_gp148,HYQ37_gp148,pertopsoe_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818569,HYQ37_gp149,HYQ37_gp149,pertopsoe_149,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210313,-
2713310,55818570,HYQ37_gp150,HYQ37_gp150,pertopsoe_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818571,HYQ37_gp151,HYQ37_gp151,pertopsoe_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713310,55818572,HYQ37_gp152,HYQ37_gp152,pertopsoe_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818573,HYQ37_gp153,HYQ37_gp153,pertopsoe_153,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
2713310,55818574,HYQ37_gp154,HYQ37_gp154,pertopsoe_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818575,HYQ37_gp155,HYQ37_gp155,pertopsoe_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713310,55818576,HYQ37_gp156,HYQ37_gp156,pertopsoe_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818577,HYQ37_gp157,HYQ37_gp157,pertopsoe_157,-,-,-,C-N hydrolase superfamily protein,protein-coding,-,-,-,C-N hydrolase superfamily protein,20200910,-
2713310,55818578,HYQ37_gp158,HYQ37_gp158,pertopsoe_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818579,HYQ37_gp159,HYQ37_gp159,pertopsoe_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818580,HYQ37_gp160,HYQ37_gp160,pertopsoe_160,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210129,-
2713310,55818581,HYQ37_gp161,HYQ37_gp161,pertopsoe_161,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20210129,-
2713310,55818582,HYQ37_gp162,HYQ37_gp162,pertopsoe_162,-,-,-,viral tegument-like protein,protein-coding,-,-,-,viral tegument-like protein,20200910,-
2713310,55818583,HYQ37_gp163,HYQ37_gp163,pertopsoe_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818584,HYQ37_gp164,HYQ37_gp164,pertopsoe_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818585,HYQ37_gp165,HYQ37_gp165,pertopsoe_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818586,HYQ37_gp166,HYQ37_gp166,pertopsoe_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818587,HYQ37_gp167,HYQ37_gp167,pertopsoe_167,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210129,-
2713310,55818588,HYQ37_gp168,HYQ37_gp168,pertopsoe_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713310,55818589,HYQ37_gp169,HYQ37_gp169,pertopsoe_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713310,55818590,HYQ37_gp170,HYQ37_gp170,pertopsoe_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
