#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301566,60329770,2,I5H49_gp002,SEA_JOEYJR_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2301566,60329831,63,I5H49_gp063,SEA_JOEYJR_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329832,64,I5H49_gp064,SEA_JOEYJR_64,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
2301566,60329833,65,I5H49_gp065,SEA_JOEYJR_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329834,66,I5H49_gp066,SEA_JOEYJR_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329835,67,I5H49_gp067,SEA_JOEYJR_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329836,68,I5H49_gp068,SEA_JOEYJR_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329837,69,I5H49_gp069,SEA_JOEYJR_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2301566,60329838,70,I5H49_gp070,SEA_JOEYJR_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329839,71,I5H49_gp071,SEA_JOEYJR_71,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2301566,60329840,72,I5H49_gp072,SEA_JOEYJR_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329841,73,I5H49_gp073,SEA_JOEYJR_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329842,74,I5H49_gp074,SEA_JOEYJR_74,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
2301566,60329843,75,I5H49_gp075,SEA_JOEYJR_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329844,76,I5H49_gp076,SEA_JOEYJR_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329845,77,I5H49_gp077,SEA_JOEYJR_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329846,78,I5H49_gp078,SEA_JOEYJR_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329847,79,I5H49_gp079,SEA_JOEYJR_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329848,80,I5H49_gp080,SEA_JOEYJR_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329849,81,I5H49_gp081,SEA_JOEYJR_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329850,82,I5H49_gp082,SEA_JOEYJR_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329851,83,I5H49_gp083,SEA_JOEYJR_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329852,84,I5H49_gp084,SEA_JOEYJR_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329853,85,I5H49_gp085,SEA_JOEYJR_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329854,86,I5H49_gp086,SEA_JOEYJR_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329855,87,I5H49_gp087,SEA_JOEYJR_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329856,88,I5H49_gp088,SEA_JOEYJR_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329857,89,I5H49_gp089,SEA_JOEYJR_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329858,90,I5H49_gp090,SEA_JOEYJR_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329859,91,I5H49_gp091,SEA_JOEYJR_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329860,92,I5H49_gp092,SEA_JOEYJR_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329861,93,I5H49_gp093,SEA_JOEYJR_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329862,94,I5H49_gp094,SEA_JOEYJR_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329863,95,I5H49_gp095,SEA_JOEYJR_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329864,96,I5H49_gp096,SEA_JOEYJR_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329865,97,I5H49_gp097,SEA_JOEYJR_97,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20210129,-
2301566,60329866,98,I5H49_gp098,SEA_JOEYJR_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2301566,60329867,99,I5H49_gp099,SEA_JOEYJR_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329868,100,I5H49_gp100,SEA_JOEYJR_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329869,101,I5H49_gp101,SEA_JOEYJR_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329870,102,I5H49_gp102,SEA_JOEYJR_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329871,103,I5H49_gp103,SEA_JOEYJR_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329872,104,I5H49_gp104,SEA_JOEYJR_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2301566,60329873,105,I5H49_gp105,SEA_JOEYJR_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301566,60329874,106,I5H49_gp106,SEA_JOEYJR_106,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301566,60329875,107,I5H49_gp107,SEA_JOEYJR_107,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2301566,60329876,1,I5H49_gp001,SEA_JOEYJR_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2301566,60338703,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
