#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1485682,25257867,DI09_100p10,DI09_100p10,-,-,Unknown,-,tectonin beta-propeller repeat-containing protein 1,protein-coding,-,-,-,tectonin beta-propeller repeat-containing protein 1,20200318,-
1485682,25257892,DI09_102p40,DI09_102p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257893,DI09_102p50,DI09_102p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257894,DI09_102p60,DI09_102p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257895,DI09_102p70,DI09_102p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257896,DI09_102p80,DI09_102p80,-,-,Unknown,-,translocation protein Sec62-related protein,protein-coding,-,-,-,translocation protein Sec62-related protein,20200318,-
1485682,25257897,DI09_102p90,DI09_102p90,-,-,Unknown,-,condensin complex subunit 1,protein-coding,-,-,-,condensin complex subunit 1,20200318,-
1485682,25257898,DI09_103p10,DI09_103p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257899,DI09_103p100,DI09_103p100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257900,DI09_103p110,DI09_103p110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257901,DI09_103p120,DI09_103p120,-,-,Unknown,-,sulfhydryl oxidase,protein-coding,-,-,-,sulfhydryl oxidase,20200318,-
1485682,25257902,DI09_103p20,DI09_103p20,-,-,Unknown,-,mannosyltransferase,protein-coding,-,-,-,mannosyltransferase,20200318,-
1485682,25257903,DI09_103p30,DI09_103p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257904,DI09_103p40,DI09_103p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257905,DI09_103p50,DI09_103p50,-,-,Unknown,-,putative SDA1 family protein,protein-coding,-,-,-,putative SDA1 family protein,20200318,-
1485682,25257906,DI09_103p60,DI09_103p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257907,DI09_103p70,DI09_103p70,-,-,Unknown,-,transcription initiation factor tfiid 55 kDa subunit,protein-coding,-,-,-,transcription initiation factor tfiid 55 kDa subunit,20200318,-
1485682,25257908,DI09_103p80,DI09_103p80,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257909,DI09_103p90,DI09_103p90,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257910,DI09_104p10,DI09_104p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257911,DI09_104p100,DI09_104p100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257912,DI09_104p110,DI09_104p110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257913,DI09_104p20,DI09_104p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257914,DI09_104p30,DI09_104p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257915,DI09_104p40,DI09_104p40,-,-,Unknown,-,phosphatidylinositol glycan,protein-coding,-,-,-,phosphatidylinositol glycan,20200318,-
1485682,25257916,DI09_104p50,DI09_104p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257917,DI09_104p60,DI09_104p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257918,DI09_104p70,DI09_104p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257919,DI09_104p80,DI09_104p80,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257920,DI09_104p90,DI09_104p90,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257921,DI09_105p10,DI09_105p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257922,DI09_105p20,DI09_105p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257923,DI09_105p30,DI09_105p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257924,DI09_105p40,DI09_105p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257925,DI09_105p50,DI09_105p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257926,DI09_105p60,DI09_105p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257927,DI09_106p10,DI09_106p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257928,DI09_106p100,DI09_106p100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257929,DI09_106p110,DI09_106p110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257930,DI09_106p20,DI09_106p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257931,DI09_106p30,DI09_106p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257932,DI09_106p40,DI09_106p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257933,DI09_106p50,DI09_106p50,-,-,Unknown,-,YagE family protein,protein-coding,-,-,-,YagE family protein,20200318,-
1485682,25257934,DI09_106p60,DI09_106p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257935,DI09_106p70,DI09_106p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257936,DI09_106p80,DI09_106p80,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257937,DI09_106p90,DI09_106p90,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257938,DI09_107p10,DI09_107p10,-,-,Unknown,-,pre-mRNA-splicing factor SYF1,protein-coding,-,-,-,pre-mRNA-splicing factor SYF1,20200318,-
1485682,25257939,DI09_107p100,DI09_107p100,-,-,Unknown,-,ABC1-domain-containing protein,protein-coding,-,-,-,ABC1-domain-containing protein,20200318,-
1485682,25257940,DI09_107p20,DI09_107p20,-,-,Unknown,-,E2f1-like protein,protein-coding,-,-,-,E2f1-like protein,20200318,-
1485682,25257941,DI09_107p30,DI09_107p30,-,-,Unknown,-,matrix protein import protein,protein-coding,-,-,-,matrix protein import protein,20200318,-
1485682,25257942,DI09_107p40,DI09_107p40,-,-,Unknown,-,eukaryotic release factor eRF1,protein-coding,-,-,-,eukaryotic release factor eRF1,20200318,-
1485682,25257943,DI09_107p50,DI09_107p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257944,DI09_107p60,DI09_107p60,-,-,Unknown,-,regulatory subunit A of protein phosphatase PP2A,protein-coding,-,-,-,regulatory subunit A of protein phosphatase PP2A,20200318,-
1485682,25257945,DI09_107p70,DI09_107p70,-,-,Unknown,-,GTPase-activating protein Gyp7,protein-coding,-,-,-,GTPase-activating protein Gyp7,20200318,-
1485682,25257946,DI09_107p80,DI09_107p80,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257947,DI09_107p90,DI09_107p90,-,-,Unknown,-,subunit beta of electron transfer flavoprotein,protein-coding,-,-,-,subunit beta of electron transfer flavoprotein,20200318,-
1485682,25257948,DI09_108p10,DI09_108p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257949,DI09_108p100,DI09_108p100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257950,DI09_108p20,DI09_108p20,-,-,Unknown,-,X-linked 2 RNA-binding domain-containing protein,protein-coding,-,-,-,X-linked 2 RNA-binding domain-containing protein,20200318,-
1485682,25257951,DI09_108p30,DI09_108p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257952,DI09_108p40,DI09_108p40,-,-,Unknown,-,ubiquitin carboxyl-terminal hydrolase,protein-coding,-,-,-,ubiquitin carboxyl-terminal hydrolase,20200318,-
1485682,25257953,DI09_108p50,DI09_108p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257954,DI09_108p60,DI09_108p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257955,DI09_108p70,DI09_108p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257956,DI09_108p80,DI09_108p80,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257957,DI09_108p90,DI09_108p90,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257958,DI09_109p10,DI09_109p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257959,DI09_109p20,DI09_109p20,-,-,Unknown,-,glucose transporter 1,protein-coding,-,-,-,glucose transporter 1,20200318,-
1485682,25257960,DI09_109p30,DI09_109p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257961,DI09_109p40,DI09_109p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257962,DI09_109p50,DI09_109p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257963,DI09_10p10,DI09_10p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257964,DI09_10p100,DI09_10p100,-,-,Unknown,-,signal recognition particle protein,protein-coding,-,-,-,signal recognition particle protein,20200318,-
1485682,25257965,DI09_10p110,DI09_10p110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257966,DI09_10p120,DI09_10p120,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257967,DI09_10p130,DI09_10p130,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257968,DI09_10p140,DI09_10p140,-,-,Unknown,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200318,-
1485682,25257969,DI09_10p150,DI09_10p150,-,-,Unknown,-,eukaryotic translation initiation factor 1A,protein-coding,-,-,-,eukaryotic translation initiation factor 1A,20200318,-
1485682,25257970,DI09_10p160,DI09_10p160,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257971,DI09_10p170,DI09_10p170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257972,DI09_10p180,DI09_10p180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257973,DI09_10p190,DI09_10p190,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257974,DI09_10p20,DI09_10p20,-,-,Unknown,-,40S ribosomal protein S12,protein-coding,-,-,-,40S ribosomal protein S12,20200318,-
1485682,25257975,DI09_10p200,DI09_10p200,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257976,DI09_10p210,DI09_10p210,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257977,DI09_10p220,DI09_10p220,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257978,DI09_10p230,DI09_10p230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257979,DI09_10p240,DI09_10p240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257980,DI09_10p250,DI09_10p250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257981,DI09_10p260,DI09_10p260,-,-,Unknown,-,H3 lysine-79 specific histone-lysine N-methyltransferase,protein-coding,-,-,-,H3 lysine-79 specific histone-lysine N-methyltransferase,20200318,-
1485682,25257982,DI09_10p270,DI09_10p270,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257983,DI09_10p280,DI09_10p280,-,-,Unknown,-,riboflavin kinase-like protein,protein-coding,-,-,-,riboflavin kinase-like protein,20200318,-
1485682,25257984,DI09_10p290,DI09_10p290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257985,DI09_10p30,DI09_10p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257986,DI09_10p300,DI09_10p300,-,-,Unknown,-,subunit G of eukaryotic translation initiation factor 3,protein-coding,-,-,-,subunit G of eukaryotic translation initiation factor 3,20200318,-
1485682,25257987,DI09_10p310,DI09_10p310,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257988,DI09_10p320,DI09_10p320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257989,DI09_10p330,DI09_10p330,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257990,DI09_10p340,DI09_10p340,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257991,DI09_10p350,DI09_10p350,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257992,DI09_10p360,DI09_10p360,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20200318,-
1485682,25257993,DI09_10p370,DI09_10p370,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257994,DI09_10p380,DI09_10p380,-,-,Unknown,-,UDP-glycosyltransferase/glycogen phosphorylase,protein-coding,-,-,-,UDP-glycosyltransferase/glycogen phosphorylase,20200318,-
1485682,25257995,DI09_10p390,DI09_10p390,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257996,DI09_10p40,DI09_10p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257997,DI09_10p400,DI09_10p400,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257998,DI09_10p410,DI09_10p410,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25257999,DI09_10p420,DI09_10p420,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258000,DI09_10p430,DI09_10p430,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258001,DI09_10p440,DI09_10p440,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258002,DI09_10p450,DI09_10p450,-,-,Unknown,-,cyclin L2,protein-coding,-,-,-,cyclin L2,20200318,-
1485682,25258003,DI09_10p460,DI09_10p460,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258004,DI09_10p470,DI09_10p470,-,-,Unknown,-,putative class II fumarate hydratase,protein-coding,-,-,-,putative class II fumarate hydratase,20200318,-
1485682,25258005,DI09_10p480,DI09_10p480,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258006,DI09_10p50,DI09_10p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258007,DI09_10p60,DI09_10p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258008,DI09_10p70,DI09_10p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258009,DI09_10p80,DI09_10p80,-,-,Unknown,-,AAA-type ATPase,protein-coding,-,-,-,AAA-type ATPase,20200318,-
1485682,25258010,DI09_10p90,DI09_10p90,-,-,Unknown,-,WW domain-binding protein 4,protein-coding,-,-,-,WW domain-binding protein 4,20200318,-
1485682,25258011,DI09_110p10,DI09_110p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258012,DI09_110p100,DI09_110p100,-,-,Unknown,-,tRNA-splicing ligase RtcB-like protein,protein-coding,-,-,-,tRNA-splicing ligase RtcB-like protein,20200318,-
1485682,25258013,DI09_110p110,DI09_110p110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258014,DI09_110p120,DI09_110p120,-,-,Unknown,-,L-serine dehydratase 1,protein-coding,-,-,-,L-serine dehydratase 1,20200318,-
1485682,25258015,DI09_110p130,DI09_110p130,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258016,DI09_110p20,DI09_110p20,-,-,Unknown,-,ferritin,protein-coding,-,-,-,ferritin,20200318,-
1485682,25258017,DI09_110p30,DI09_110p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258018,DI09_110p40,DI09_110p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258019,DI09_110p50,DI09_110p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258020,DI09_110p60,DI09_110p60,-,-,Unknown,-,DNA clamp loader,protein-coding,-,-,-,DNA clamp loader,20200318,-
1485682,25258021,DI09_110p70,DI09_110p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258022,DI09_110p80,DI09_110p80,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258023,DI09_110p90,DI09_110p90,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258024,DI09_111p10,DI09_111p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258025,DI09_111p100,DI09_111p100,-,-,Unknown,-,UTP-glucose-1-phosphate uridylyltransferase,protein-coding,-,-,-,UTP-glucose-1-phosphate uridylyltransferase,20200318,-
1485682,25258026,DI09_111p110,DI09_111p110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258027,DI09_111p120,DI09_111p120,-,-,Unknown,-,tristetraproline,protein-coding,-,-,-,tristetraproline,20200318,-
1485682,25258028,DI09_111p130,DI09_111p130,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258029,DI09_111p140,DI09_111p140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258030,DI09_111p150,DI09_111p150,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258031,DI09_111p20,DI09_111p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258032,DI09_111p30,DI09_111p30,-,-,Unknown,-,DnaJ-like protein subfamily C member 3,protein-coding,-,-,-,DnaJ-like protein subfamily C member 3,20200318,-
1485682,25258033,DI09_111p40,DI09_111p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258034,DI09_111p50,DI09_111p50,-,-,Unknown,-,40S ribosomal protein S5,protein-coding,-,-,-,40S ribosomal protein S5,20200318,-
1485682,25258035,DI09_111p60,DI09_111p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258036,DI09_111p70,DI09_111p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258037,DI09_111p80,DI09_111p80,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258038,DI09_111p90,DI09_111p90,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258039,DI09_112p10,DI09_112p10,-,-,Unknown,-,CypD-like protein,protein-coding,-,-,-,CypD-like protein,20200318,-
1485682,25258040,DI09_112p20,DI09_112p20,-,-,Unknown,-,elongator complex protein 3,protein-coding,-,-,-,elongator complex protein 3,20200318,-
1485682,25258041,DI09_112p30,DI09_112p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258042,DI09_112p40,DI09_112p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258043,DI09_112p50,DI09_112p50,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258044,DI09_112p60,DI09_112p60,-,-,Unknown,-,GTP-binding protein Sar1,protein-coding,-,-,-,GTP-binding protein Sar1,20200318,-
1485682,25258045,DI09_112p70,DI09_112p70,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258046,DI09_112p80,DI09_112p80,-,-,Unknown,-,serine/threonine-protein kinase ppk4,protein-coding,-,-,-,serine/threonine-protein kinase ppk4,20200318,-
1485682,25258047,DI09_112p90,DI09_112p90,-,-,Unknown,-,ATP-binding domain-containing protein 4,protein-coding,-,-,-,ATP-binding domain-containing protein 4,20200318,-
1485682,25258048,DI09_113p10,DI09_113p10,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258049,DI09_113p20,DI09_113p20,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258050,DI09_113p30,DI09_113p30,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258051,DI09_113p40,DI09_113p40,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
1485682,25258052,DI09_113p50,DI09_113p50,-,-,Unknown,-,50s ribosomal protein L22,protein-coding,-,-,-,50s ribosomal protein L22,20200318,-
1485682,25258053,DI09_113p60,DI09_113p60,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200318,-
