#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2268589,54995190,HOT56_gp02,HOT56_gp02,-,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20210129,-
2268589,54995219,HOT56_gp31,HOT56_gp31,-,-,-,-,endonuclease I,protein-coding,-,-,-,endonuclease I,20210129,-
2268589,54995220,HOT56_gp32,HOT56_gp32,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210129,-
2268589,54995221,HOT56_gp33,HOT56_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995222,HOT56_gp34,HOT56_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995223,HOT56_gp35,HOT56_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995224,HOT56_gp36,HOT56_gp36,-,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20210129,-
2268589,54995225,HOT56_gp37,HOT56_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995226,HOT56_gp38,HOT56_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995227,HOT56_gp39,HOT56_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995228,HOT56_gp40,HOT56_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2268589,54995229,HOT56_gp42,HOT56_gp42,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20210129,-
2268589,54995230,HOT56_gp41,HOT56_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,54995231,HOT56_gp43,HOT56_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995232,HOT56_gp44,HOT56_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995233,HOT56_gp45,HOT56_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995234,HOT56_gp46,HOT56_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995235,HOT56_gp47,HOT56_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2268589,54995236,HOT56_gp01,HOT56_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2268589,55154054,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
