#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500831,24723202,ACQ62_gp02,ACQ62_gp02,PHL301M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500831,24723226,ACQ62_gp26,ACQ62_gp26,PHL301M00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723227,ACQ62_gp27,ACQ62_gp27,PHL301M00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723228,ACQ62_gp28,ACQ62_gp28,PHL301M00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723229,ACQ62_gp29,ACQ62_gp29,PHL301M00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723230,ACQ62_gp30,ACQ62_gp30,PHL301M00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500831,24723231,ACQ62_gp31,ACQ62_gp31,PHL301M00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500831,24723232,ACQ62_gp32,ACQ62_gp32,PHL301M00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723233,ACQ62_gp33,ACQ62_gp33,PHL301M00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500831,24723234,ACQ62_gp34,ACQ62_gp34,PHL301M00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723235,ACQ62_gp35,ACQ62_gp35,PHL301M00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723236,ACQ62_gp36,ACQ62_gp36,PHL301M00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500831,24723237,ACQ62_gp37,ACQ62_gp37,PHL301M00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723238,ACQ62_gp38,ACQ62_gp38,PHL301M00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723239,ACQ62_gp39,ACQ62_gp39,PHL301M00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723240,ACQ62_gp40,ACQ62_gp40,PHL301M00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723241,ACQ62_gp41,ACQ62_gp41,PHL301M00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723242,ACQ62_gp42,ACQ62_gp42,PHL301M00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723243,ACQ62_gp43,ACQ62_gp43,PHL301M00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723244,ACQ62_gp44,ACQ62_gp44,PHL301M00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500831,24723245,ACQ62_gp45,ACQ62_gp45,PHL301M00_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500831,24723246,ACQ62_gp01,ACQ62_gp01,PHL301M00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500831,24936552,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
