#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1486424,19488310,2,FH37_gp02,PBI_BERNAL13_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1486424,19488328,20,FH37_gp20,PBI_BERNAL13_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486424,19488329,21,FH37_gp21,PBI_BERNAL13_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486424,19488330,22,FH37_gp22,PBI_BERNAL13_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486424,19488331,23,FH37_gp23,PBI_BERNAL13_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488332,24,FH37_gp24,PBI_BERNAL13_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486424,19488333,25,FH37_gp25,PBI_BERNAL13_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1486424,19488334,26,FH37_gp26,PBI_BERNAL13_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488335,27,FH37_gp27,PBI_BERNAL13_27,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210123,-
1486424,19488336,28,FH37_gp28,PBI_BERNAL13_28,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1486424,19488337,29,FH37_gp29,PBI_BERNAL13_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1486424,19488338,30,FH37_gp30,PBI_BERNAL13_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488339,31,FH37_gp31,PBI_BERNAL13_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488340,32,FH37_gp32,PBI_BERNAL13_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488341,33,FH37_gp33,PBI_BERNAL13_33,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210123,-
1486424,19488342,35,FH37_gp34,PBI_BERNAL13_35,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1486424,19488343,36,FH37_gp35,PBI_BERNAL13_36,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1486424,19488344,37,FH37_gp36,PBI_BERNAL13_37,-,-,-,excise,protein-coding,-,-,-,excise,20210123,-
1486424,19488345,38,FH37_gp37,PBI_BERNAL13_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488346,39,FH37_gp38,PBI_BERNAL13_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488347,40,FH37_gp39,PBI_BERNAL13_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488348,41,FH37_gp40,PBI_BERNAL13_41,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200927,-
1486424,19488349,42,FH37_gp41,PBI_BERNAL13_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488350,43,FH37_gp42,PBI_BERNAL13_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488351,44,FH37_gp43,PBI_BERNAL13_44,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210123,-
1486424,19488352,45,FH37_gp44,PBI_BERNAL13_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488353,46,FH37_gp45,PBI_BERNAL13_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488354,47,FH37_gp46,PBI_BERNAL13_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488355,48,FH37_gp47,PBI_BERNAL13_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488356,49,FH37_gp48,PBI_BERNAL13_49,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1486424,19488357,50,FH37_gp49,PBI_BERNAL13_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488358,51,FH37_gp50,PBI_BERNAL13_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488359,52,FH37_gp51,PBI_BERNAL13_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488360,53,FH37_gp52,PBI_BERNAL13_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488361,54,FH37_gp53,PBI_BERNAL13_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488362,55,FH37_gp54,PBI_BERNAL13_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488363,56,FH37_gp55,PBI_BERNAL13_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488364,57,FH37_gp56,PBI_BERNAL13_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488365,58,FH37_gp57,PBI_BERNAL13_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488366,59,FH37_gp58,PBI_BERNAL13_59,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1486424,19488367,60,FH37_gp59,PBI_BERNAL13_60,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1486424,19488368,61,FH37_gp60,PBI_BERNAL13_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19488369,1,FH37_gp01,PBI_BERNAL13_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1486424,19554981,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Bernal13).,other,-,-,-,-,20200513,-
