#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1987509,32878141,CCL38_gp002,CCL38_gp002,-,-,-,-,putative 4-hydroxythreonine-4-phosphate2 dehydrogenase motif protein,protein-coding,-,-,-,putative 4-hydroxythreonine-4-phosphate2 dehydrogenase motif protein,20180508,-
1987509,32878181,CCL38_gp042,CCL38_gp042,-,-,-,-,surface active protein motif protein,protein-coding,-,-,-,surface active protein motif protein,20180508,-
1987509,32878182,CCL38_gp043,CCL38_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878183,CCL38_gp044,CCL38_gp044,-,-,-,-,glucosyltransferase-si motif protein,protein-coding,-,-,-,glucosyltransferase-si motif protein,20180508,-
1987509,32878184,CCL38_gp045,CCL38_gp045,-,-,-,-,oxidoreductase-like motif protein,protein-coding,-,-,-,oxidoreductase-like motif protein,20180508,-
1987509,32878185,CCL38_gp046,CCL38_gp046,-,-,-,-,contractile protein-like motif protein,protein-coding,-,-,-,contractile protein-like motif protein,20180508,-
1987509,32878186,CCL38_gp047,CCL38_gp047,-,-,-,-,hydrolase-like motif protein,protein-coding,-,-,-,hydrolase-like motif protein,20180508,-
1987509,32878187,CCL38_gp048,CCL38_gp048,-,-,-,-,surfactant-like protein,protein-coding,-,-,-,surfactant-like protein,20180508,-
1987509,32878188,CCL38_gp049,CCL38_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878189,CCL38_gp050,CCL38_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878190,CCL38_gp051,CCL38_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878191,CCL38_gp052,CCL38_gp052,-,-,-,-,lyase-like motif protein,protein-coding,-,-,-,lyase-like motif protein,20180508,-
1987509,32878192,CCL38_gp053,CCL38_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878193,CCL38_gp054,CCL38_gp054,-,-,-,-,SAM-like domain protein,protein-coding,-,-,-,SAM-like domain protein,20180508,-
1987509,32878194,CCL38_gp055,CCL38_gp055,-,-,-,-,putative toxin-like protein,protein-coding,-,-,-,putative toxin-like protein,20180508,-
1987509,32878195,CCL38_gp056,CCL38_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878196,CCL38_gp057,CCL38_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878197,CCL38_gp058,CCL38_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878198,CCL38_gp059,CCL38_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878199,CCL38_gp060,CCL38_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878200,CCL38_gp061,CCL38_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878201,CCL38_gp062,CCL38_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878202,CCL38_gp063,CCL38_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878203,CCL38_gp064,CCL38_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878204,CCL38_gp065,CCL38_gp065,-,-,-,-,transcription activator motif protein,protein-coding,-,-,-,transcription activator motif protein,20180508,-
1987509,32878205,CCL38_gp066,CCL38_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878206,CCL38_gp067,CCL38_gp067,-,-,-,-,coronin-like protein motif protein,protein-coding,-,-,-,coronin-like protein motif protein,20180508,-
1987509,32878207,CCL38_gp068,CCL38_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878208,CCL38_gp069,CCL38_gp069,-,-,-,-,alpha-alpha superhelix protein,protein-coding,-,-,-,alpha-alpha superhelix protein,20180508,-
1987509,32878209,CCL38_gp070,CCL38_gp070,-,-,-,-,post-AAA+ oligomerization domain-like protein,protein-coding,-,-,-,post-AAA+ oligomerization domain-like protein,20180508,-
1987509,32878210,CCL38_gp071,CCL38_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878211,CCL38_gp072,CCL38_gp072,-,-,-,-,putative spectrin-like repeat protein,protein-coding,-,-,-,putative spectrin-like repeat protein,20180508,-
1987509,32878212,CCL38_gp073,CCL38_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878213,CCL38_gp074,CCL38_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878214,CCL38_gp075,CCL38_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878215,CCL38_gp076,CCL38_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878216,CCL38_gp077,CCL38_gp077,-,-,-,-,transcriptional regulator-like motif protein,protein-coding,-,-,-,transcriptional regulator-like motif protein,20180508,-
1987509,32878217,CCL38_gp078,CCL38_gp078,-,-,-,-,putative isomerase protein,protein-coding,-,-,-,putative isomerase protein,20180508,-
1987509,32878218,CCL38_gp079,CCL38_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878219,CCL38_gp080,CCL38_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878220,CCL38_gp081,CCL38_gp081,-,-,-,-,putative DNA binding protein motif protein,protein-coding,-,-,-,putative DNA binding protein motif protein,20180508,-
1987509,32878221,CCL38_gp082,CCL38_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878222,CCL38_gp083,CCL38_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878223,CCL38_gp084,CCL38_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878224,CCL38_gp085,CCL38_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878225,CCL38_gp086,CCL38_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878226,CCL38_gp087,CCL38_gp087,-,-,-,-,glycosyl hydrolase domain protein,protein-coding,-,-,-,glycosyl hydrolase domain protein,20180508,-
1987509,32878227,CCL38_gp088,CCL38_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878228,CCL38_gp089,CCL38_gp089,-,-,-,-,concanavalin A-like motif protein,protein-coding,-,-,-,concanavalin A-like motif protein,20180508,-
1987509,32878229,CCL38_gp090,CCL38_gp090,-,-,-,-,restriction endonuclease-like motif protein,protein-coding,-,-,-,restriction endonuclease-like motif protein,20180508,-
1987509,32878230,CCL38_gp091,CCL38_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878231,CCL38_gp092,CCL38_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878232,CCL38_gp093,CCL38_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878233,CCL38_gp094,CCL38_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878234,CCL38_gp095,CCL38_gp095,-,-,-,-,putative isomerase motif protein,protein-coding,-,-,-,putative isomerase motif protein,20180508,-
1987509,32878235,CCL38_gp096,CCL38_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878236,CCL38_gp097,CCL38_gp097,-,-,-,-,putative glycoprotein,protein-coding,-,-,-,putative glycoprotein,20180508,-
1987509,32878237,CCL38_gp098,CCL38_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878238,CCL38_gp099,CCL38_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878239,CCL38_gp100,CCL38_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878240,CCL38_gp101,CCL38_gp101,-,-,-,-,antimicrobial peptide motif protein,protein-coding,-,-,-,antimicrobial peptide motif protein,20180508,-
1987509,32878241,CCL38_gp102,CCL38_gp102,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20180508,-
1987509,32878242,CCL38_gp103,CCL38_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878243,CCL38_gp104,CCL38_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878244,CCL38_gp105,CCL38_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878245,CCL38_gp106,CCL38_gp106,-,-,-,-,galactose/binding-like domain protein,protein-coding,-,-,-,galactose/binding-like domain protein,20180508,-
1987509,32878246,CCL38_gp107,CCL38_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878247,CCL38_gp108,CCL38_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878248,CCL38_gp109,CCL38_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878249,CCL38_gp110,CCL38_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878250,CCL38_gp111,CCL38_gp111,-,-,-,-,thioredoxin-like motif protein,protein-coding,-,-,-,thioredoxin-like motif protein,20180508,-
1987509,32878251,CCL38_gp112,CCL38_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878252,CCL38_gp113,CCL38_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878253,CCL38_gp114,CCL38_gp114,-,-,-,-,centromere-like motif protein,protein-coding,-,-,-,centromere-like motif protein,20180508,-
1987509,32878254,CCL38_gp115,CCL38_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878255,CCL38_gp116,CCL38_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878256,CCL38_gp117,CCL38_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878257,CCL38_gp118,CCL38_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878258,CCL38_gp119,CCL38_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878259,CCL38_gp120,CCL38_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878260,CCL38_gp121,CCL38_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878261,CCL38_gp122,CCL38_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878262,CCL38_gp123,CCL38_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878263,CCL38_gp124,CCL38_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878264,CCL38_gp125,CCL38_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878265,CCL38_gp126,CCL38_gp126,-,-,-,-,DNA binding protein motif protein,protein-coding,-,-,-,DNA binding protein motif protein,20180508,-
1987509,32878266,CCL38_gp127,CCL38_gp127,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878267,CCL38_gp128,CCL38_gp128,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878268,CCL38_gp129,CCL38_gp129,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878269,CCL38_gp130,CCL38_gp130,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878270,CCL38_gp131,CCL38_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878271,CCL38_gp132,CCL38_gp132,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878272,CCL38_gp133,CCL38_gp133,-,-,-,-,SacY-like RNA binding domain protein,protein-coding,-,-,-,SacY-like RNA binding domain protein,20180508,-
1987509,32878273,CCL38_gp134,CCL38_gp134,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878274,CCL38_gp135,CCL38_gp135,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878275,CCL38_gp136,CCL38_gp136,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878276,CCL38_gp137,CCL38_gp137,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878277,CCL38_gp138,CCL38_gp138,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878278,CCL38_gp139,CCL38_gp139,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878279,CCL38_gp140,CCL38_gp140,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878280,CCL38_gp141,CCL38_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878281,CCL38_gp142,CCL38_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878282,CCL38_gp143,CCL38_gp143,-,-,-,-,p450 superfamily protein,protein-coding,-,-,-,p450 superfamily protein,20180508,-
1987509,32878283,CCL38_gp144,CCL38_gp144,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20180508,-
1987509,32878284,CCL38_gp145,CCL38_gp145,-,-,-,-,sulfotransferase-like protein,protein-coding,-,-,-,sulfotransferase-like protein,20180508,-
1987509,32878285,CCL38_gp146,CCL38_gp146,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878286,CCL38_gp147,CCL38_gp147,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878287,CCL38_gp148,CCL38_gp148,-,-,-,-,secretion-chaperone-like protein,protein-coding,-,-,-,secretion-chaperone-like protein,20180508,-
1987509,32878288,CCL38_gp149,CCL38_gp149,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878289,CCL38_gp150,CCL38_gp150,-,-,-,-,protein binding motif protein,protein-coding,-,-,-,protein binding motif protein,20180508,-
1987509,32878290,CCL38_gp151,CCL38_gp151,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878291,CCL38_gp152,CCL38_gp152,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878292,CCL38_gp153,CCL38_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878293,CCL38_gp154,CCL38_gp154,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878294,CCL38_gp155,CCL38_gp155,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878295,CCL38_gp156,CCL38_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878296,CCL38_gp157,CCL38_gp157,-,-,-,-,toxin-like motif protein,protein-coding,-,-,-,toxin-like motif protein,20180508,-
1987509,32878297,CCL38_gp158,CCL38_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878298,CCL38_gp159,CCL38_gp159,-,-,-,-,C-type lectin protein,protein-coding,-,-,-,C-type lectin protein,20180508,-
1987509,32878299,CCL38_gp160,CCL38_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878300,CCL38_gp161,CCL38_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878301,CCL38_gp162,CCL38_gp162,-,-,-,-,ROP-like motif protein,protein-coding,-,-,-,ROP-like motif protein,20180508,-
1987509,32878302,CCL38_gp163,CCL38_gp163,-,-,-,-,putative glycoprotein,protein-coding,-,-,-,putative glycoprotein,20180508,-
1987509,32878303,CCL38_gp164,CCL38_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878304,CCL38_gp165,CCL38_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878305,CCL38_gp166,CCL38_gp166,-,-,-,-,putative metyltransferase protein,protein-coding,-,-,-,putative metyltransferase protein,20180508,-
1987509,32878306,CCL38_gp167,CCL38_gp167,-,-,-,-,DNA/RNA-binding 3-helical bundle motif protein,protein-coding,-,-,-,DNA/RNA-binding 3-helical bundle motif protein,20180508,-
1987509,32878307,CCL38_gp168,CCL38_gp168,-,-,-,-,transcription/RNA binding protein,protein-coding,-,-,-,transcription/RNA binding protein,20180508,-
1987509,32878308,CCL38_gp169,CCL38_gp169,-,-,-,-,putative aldolase protein,protein-coding,-,-,-,putative aldolase protein,20180508,-
1987509,32878309,CCL38_gp170,CCL38_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878310,CCL38_gp171,CCL38_gp171,-,-,-,-,putative transcription associated protein motif protein,protein-coding,-,-,-,putative transcription associated protein motif protein,20180508,-
1987509,32878311,CCL38_gp172,CCL38_gp172,-,-,-,-,SAM domain-like protein,protein-coding,-,-,-,SAM domain-like protein,20180508,-
1987509,32878312,CCL38_gp173,CCL38_gp173,-,-,-,-,putative metal binding protein,protein-coding,-,-,-,putative metal binding protein,20180508,-
1987509,32878313,CCL38_gp174,CCL38_gp174,-,-,-,-,putative transferase protein,protein-coding,-,-,-,putative transferase protein,20180508,-
1987509,32878314,CCL38_gp175,CCL38_gp175,-,-,-,-,putative proton transport protein motif protein,protein-coding,-,-,-,putative proton transport protein motif protein,20180508,-
1987509,32878315,CCL38_gp176,CCL38_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180508,-
1987509,32878316,CCL38_gp177,CCL38_gp177,-,-,-,-,interleukin 34-like motif protein,protein-coding,-,-,-,interleukin 34-like motif protein,20180508,-
1987509,32878317,CCL38_gp178,CCL38_gp178,-,-,-,-,oxidoreductase motif protein,protein-coding,-,-,-,oxidoreductase motif protein,20180508,-
1987509,32878318,CCL38_gp179,CCL38_gp179,-,-,-,-,lyase-like protein,protein-coding,-,-,-,lyase-like protein,20180508,-
1987509,32878319,CCL38_gp180,CCL38_gp180,-,-,-,-,putative hydrolase protein,protein-coding,-,-,-,putative hydrolase protein,20180508,-
1987509,32878320,CCL38_gp181,CCL38_gp181,-,-,-,-,putative transferase protein,protein-coding,-,-,-,putative transferase protein,20180508,-
1987509,32878321,CCL38_gp182,CCL38_gp182,-,-,-,-,toxin-like protein,protein-coding,-,-,-,toxin-like protein,20180508,-
1987509,32878322,CCL38_gp183,CCL38_gp183,-,-,-,-,heme-binding protein-like protein,protein-coding,-,-,-,heme-binding protein-like protein,20180508,-
1987509,32878323,CCL38_gp184,CCL38_gp184,-,-,-,-,HisI-like family-protein,protein-coding,-,-,-,HisI-like family-protein,20180508,-
1987509,32878324,CCL38_gp185,CCL38_gp185,-,-,-,-,oxidoreductase-like motif protein,protein-coding,-,-,-,oxidoreductase-like motif protein,20180508,-
1987509,32878325,CCL38_gp186,CCL38_gp186,-,-,-,-,immunoglobulin-like motif protein,protein-coding,-,-,-,immunoglobulin-like motif protein,20180508,-
1987509,32878326,CCL38_gp001,CCL38_gp001,-,-,-,-,putative TNF receptor associated factor protein,protein-coding,-,-,-,putative TNF receptor associated factor protein,20180508,-
1987509,33133882,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
