#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283297,60330909,2,I5H60_gp002,SEA_MANTRA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210212,-
2283297,60330978,73,I5H60_gp073,SEA_MANTRA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330979,74,I5H60_gp074,SEA_MANTRA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330980,75,I5H60_gp075,SEA_MANTRA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330981,76,I5H60_gp076,SEA_MANTRA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330982,77,I5H60_gp077,SEA_MANTRA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330983,78,I5H60_gp078,SEA_MANTRA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283297,60330984,79,I5H60_gp079,SEA_MANTRA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330985,80,I5H60_gp080,SEA_MANTRA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330986,81,I5H60_gp081,SEA_MANTRA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330987,82,I5H60_gp082,SEA_MANTRA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330988,83,I5H60_gp083,SEA_MANTRA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330989,84,I5H60_gp084,SEA_MANTRA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330990,85,I5H60_gp085,SEA_MANTRA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330991,86,I5H60_gp086,SEA_MANTRA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330992,87,I5H60_gp087,SEA_MANTRA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330993,88,I5H60_gp088,SEA_MANTRA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330994,89,I5H60_gp089,SEA_MANTRA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330995,90,I5H60_gp090,SEA_MANTRA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330996,91,I5H60_gp091,SEA_MANTRA_91,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210123,-
2283297,60330997,92,I5H60_gp092,SEA_MANTRA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330998,93,I5H60_gp093,SEA_MANTRA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60330999,94,I5H60_gp094,SEA_MANTRA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60331000,95,I5H60_gp095,SEA_MANTRA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60331001,96,I5H60_gp096,SEA_MANTRA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60331002,97,I5H60_gp097,SEA_MANTRA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60331003,98,I5H60_gp098,SEA_MANTRA_98,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210406,-
2283297,60331004,99,I5H60_gp099,SEA_MANTRA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60331005,100,I5H60_gp100,SEA_MANTRA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60331006,101,I5H60_gp101,SEA_MANTRA_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2283297,60331007,102,I5H60_gp102,SEA_MANTRA_102,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2283297,60331008,63,I5H60_gp063,SEA_MANTRA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283297,60331009,69,I5H60_gp069,SEA_MANTRA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60331010,1,I5H60_gp001,SEA_MANTRA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283297,60338695,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
