#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024296,60336686,2,I5J48_gp02,PBI_MAJEKE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2024296,60336728,44,I5J48_gp44,PBI_MAJEKE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336729,45,I5J48_gp45,PBI_MAJEKE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336730,46,I5J48_gp46,PBI_MAJEKE_46,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210417,-
2024296,60336731,47,I5J48_gp47,PBI_MAJEKE_47,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2024296,60336732,48,I5J48_gp48,PBI_MAJEKE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336733,49,I5J48_gp49,PBI_MAJEKE_49,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210424,-
2024296,60336734,50,I5J48_gp50,PBI_MAJEKE_50,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
2024296,60336735,51,I5J48_gp51,PBI_MAJEKE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336736,52,I5J48_gp52,PBI_MAJEKE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336737,53,I5J48_gp53,PBI_MAJEKE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2024296,60336738,54,I5J48_gp54,PBI_MAJEKE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336739,55,I5J48_gp55,PBI_MAJEKE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2024296,60336740,56,I5J48_gp56,PBI_MAJEKE_56,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2024296,60336741,58,I5J48_gp58,PBI_MAJEKE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336742,59,I5J48_gp59,PBI_MAJEKE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336743,60,I5J48_gp60,PBI_MAJEKE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336744,61,I5J48_gp61,PBI_MAJEKE_61,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2024296,60336745,62,I5J48_gp62,PBI_MAJEKE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336746,63,I5J48_gp63,PBI_MAJEKE_63,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2024296,60336747,64,I5J48_gp64,PBI_MAJEKE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336748,65,I5J48_gp65,PBI_MAJEKE_65,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2024296,60336749,66,I5J48_gp66,PBI_MAJEKE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336750,67,I5J48_gp67,PBI_MAJEKE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336751,68,I5J48_gp68,PBI_MAJEKE_68,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2024296,60336752,69,I5J48_gp69,PBI_MAJEKE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336753,70,I5J48_gp70,PBI_MAJEKE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336754,71,I5J48_gp71,PBI_MAJEKE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336755,72,I5J48_gp72,PBI_MAJEKE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336756,73,I5J48_gp73,PBI_MAJEKE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336757,74,I5J48_gp74,PBI_MAJEKE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336758,75,I5J48_gp75,PBI_MAJEKE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336759,77,I5J48_gp77,PBI_MAJEKE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2024296,60336760,78,I5J48_gp78,PBI_MAJEKE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336761,79,I5J48_gp79,PBI_MAJEKE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336762,80,I5J48_gp80,PBI_MAJEKE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336763,81,I5J48_gp81,PBI_MAJEKE_81,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2024296,60336764,57,I5J48_gp57,PBI_MAJEKE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2024296,60336765,76,I5J48_gp76,PBI_MAJEKE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2024296,60336766,1,I5J48_gp01,PBI_MAJEKE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2024296,60350501,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
