#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2596980,62348741,2,JMN45_gp02,SEA_ANGLERFISH_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2596980,62348760,22,JMN45_gp22,SEA_ANGLERFISH_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2596980,62348761,24,JMN45_gp23,SEA_ANGLERFISH_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2596980,62348762,25,JMN45_gp25,SEA_ANGLERFISH_25,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210327,-
2596980,62348763,23,JMN45_gp24,SEA_ANGLERFISH_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2596980,62348764,26,JMN45_gp26,SEA_ANGLERFISH_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2596980,62348765,27,JMN45_gp27,SEA_ANGLERFISH_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348766,28,JMN45_gp28,SEA_ANGLERFISH_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2596980,62348767,29,JMN45_gp29,SEA_ANGLERFISH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2596980,62348768,30,JMN45_gp30,SEA_ANGLERFISH_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348769,31,JMN45_gp31,SEA_ANGLERFISH_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348770,32,JMN45_gp32,SEA_ANGLERFISH_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2596980,62348771,33,JMN45_gp33,SEA_ANGLERFISH_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2596980,62348772,34,JMN45_gp34,SEA_ANGLERFISH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348773,35,JMN45_gp35,SEA_ANGLERFISH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348774,36,JMN45_gp36,SEA_ANGLERFISH_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348775,39,JMN45_gp39,SEA_ANGLERFISH_39,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210424,-
2596980,62348776,40,JMN45_gp40,SEA_ANGLERFISH_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348777,41,JMN45_gp41,SEA_ANGLERFISH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348778,42,JMN45_gp42,SEA_ANGLERFISH_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348779,43,JMN45_gp43,SEA_ANGLERFISH_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348780,44,JMN45_gp44,SEA_ANGLERFISH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348781,45,JMN45_gp45,SEA_ANGLERFISH_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2596980,62348782,46,JMN45_gp46,SEA_ANGLERFISH_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348783,47,JMN45_gp47,SEA_ANGLERFISH_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348784,48,JMN45_gp48,SEA_ANGLERFISH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348785,49,JMN45_gp49,SEA_ANGLERFISH_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2596980,62348786,50,JMN45_gp50,SEA_ANGLERFISH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2596980,62348787,51,JMN45_gp51,SEA_ANGLERFISH_51,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210123,-
2596980,62348788,52,JMN45_gp52,SEA_ANGLERFISH_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348789,53,JMN45_gp53,SEA_ANGLERFISH_53,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210424,-
2596980,62348790,54,JMN45_gp54,SEA_ANGLERFISH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348791,55,JMN45_gp55,SEA_ANGLERFISH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348792,56,JMN45_gp56,SEA_ANGLERFISH_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2596980,62348793,57,JMN45_gp57,SEA_ANGLERFISH_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2596980,62348794,59,JMN45_gp59,SEA_ANGLERFISH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2596980,62348795,60,JMN45_gp60,SEA_ANGLERFISH_60,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210306,-
2596980,62348796,61,JMN45_gp61,SEA_ANGLERFISH_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348797,62,JMN45_gp62,SEA_ANGLERFISH_62,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210306,-
2596980,62348798,63,JMN45_gp63,SEA_ANGLERFISH_63,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210424,-
2596980,62348799,64,JMN45_gp64,SEA_ANGLERFISH_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348800,65,JMN45_gp65,SEA_ANGLERFISH_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348801,66,JMN45_gp66,SEA_ANGLERFISH_66,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210123,-
2596980,62348802,67,JMN45_gp67,SEA_ANGLERFISH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348803,68,JMN45_gp68,SEA_ANGLERFISH_68,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210212,-
2596980,62348804,69,JMN45_gp69,SEA_ANGLERFISH_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348805,70,JMN45_gp70,SEA_ANGLERFISH_70,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
2596980,62348806,71,JMN45_gp71,SEA_ANGLERFISH_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348807,72,JMN45_gp72,SEA_ANGLERFISH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348808,73,JMN45_gp73,SEA_ANGLERFISH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348809,74,JMN45_gp74,SEA_ANGLERFISH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348810,75,JMN45_gp75,SEA_ANGLERFISH_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2596980,62348811,76,JMN45_gp76,SEA_ANGLERFISH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348812,77,JMN45_gp77,SEA_ANGLERFISH_77,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2596980,62348813,78,JMN45_gp78,SEA_ANGLERFISH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348814,79,JMN45_gp79,SEA_ANGLERFISH_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348815,80,JMN45_gp80,SEA_ANGLERFISH_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348816,81,JMN45_gp81,SEA_ANGLERFISH_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348817,82,JMN45_gp82,SEA_ANGLERFISH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348818,83,JMN45_gp83,SEA_ANGLERFISH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348819,84,JMN45_gp84,SEA_ANGLERFISH_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348820,86,JMN45_gp86,SEA_ANGLERFISH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348821,87,JMN45_gp87,SEA_ANGLERFISH_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348822,88,JMN45_gp88,SEA_ANGLERFISH_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348823,89,JMN45_gp89,SEA_ANGLERFISH_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348824,90,JMN45_gp90,SEA_ANGLERFISH_90,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2596980,62348825,91,JMN45_gp91,SEA_ANGLERFISH_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348826,93,JMN45_gp93,SEA_ANGLERFISH_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2596980,62348827,58,JMN45_gp58,SEA_ANGLERFISH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348828,5,JMN45_gp05,SEA_ANGLERFISH_5,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2596980,62348829,85,JMN45_gp85,SEA_ANGLERFISH_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348830,92,JMN45_gp92,SEA_ANGLERFISH_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348831,37,JMN45_gp37,SEA_ANGLERFISH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348832,38,JMN45_gp38,SEA_ANGLERFISH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62348833,1,JMN45_gp01,SEA_ANGLERFISH_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2596980,62369037,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
