#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5661,13385311,LDBPK_291900,LDBPK_291900,-,-,29,-,"diphthamide synthesis protein, putative",protein-coding,-,-,-,"diphthamide synthesis protein, putative",20210424,-
5661,13385458,LDBPK_300370,LDBPK_300370,-,-,30,-,"mitogen-activated protein kinase, putative",protein-coding,-,-,-,"mitogen-activated protein kinase, putative",20200918,-
5661,13385459,LDBPK_300380,LDBPK_300380,-,-,30,-,"phosphatase 2C, putative",protein-coding,-,-,-,"phosphatase 2C, putative",20200918,-
5661,13385460,LDBPK_300390,LDBPK_300390,-,-,30,-,"hypothetical protein, unknown function",protein-coding,-,-,-,"hypothetical protein, unknown function",20200918,-
5661,13385461,LDBPK_300400,LDBPK_300400,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385462,LDBPK_300410,LDBPK_300410,-,-,30,-,"PAP2 family protein, putative",protein-coding,-,-,-,"PAP2 family protein, putative",20200918,-
5661,13385463,LDBPK_300420,LDBPK_300420,-,-,30,-,WD-40 repeat protein,protein-coding,-,-,-,WD-40 repeat protein,20200918,-
5661,13385464,LDBPK_300430,LDBPK_300430,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385465,LDBPK_300440,LDBPK_300440,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
5661,13385466,LDBPK_30snoRNA1,LDBPK_30snoRNA1,-,-,30,-,ncRNA,ncRNA,-,-,-,-,20200918,-
5661,13385467,LDBPK_300460,LDBPK_300460,-,-,30,-,"eukaryotic translation initiation factor 4e, putative",protein-coding,-,-,-,"eukaryotic translation initiation factor 4e, putative",20200918,-
5661,13385468,LDBPK_300470,LDBPK_300470,-,-,30,-,"aspartyl-tRNA synthetase, putative",protein-coding,-,-,-,"aspartyl-tRNA synthetase, putative",20200918,-
5661,13385469,LDBPK_300480,LDBPK_300480,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385470,LDBPK_300490,LDBPK_300490,-,-,30,-,"bystin, putative",protein-coding,-,-,-,"bystin, putative",20200918,-
5661,13385471,LDBPK_300500,LDBPK_300500,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385472,LDBPK_300510,LDBPK_300510,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385473,LDBPK_300520,LDBPK_300520,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385474,LDBPK_300530,LDBPK_300530,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385475,LDBPK_300540,LDBPK_300540,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385476,LDBPK_300550,LDBPK_300550,-,-,30,-,"glycosyltransferase family 28 protein, putative",protein-coding,-,-,-,"glycosyltransferase family 28 protein, putative",20200918,-
5661,13385477,LDBPK_300560,LDBPK_300560,-,-,30,-,"nuclear cap binding protein, putative",protein-coding,-,-,-,"nuclear cap binding protein, putative",20210424,-
5661,13385478,LDBPK_300570,LDBPK_300570,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385479,LDBPK_300580,LDBPK_300580,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385480,LDBPK_300590,LDBPK_300590,-,-,30,-,"spliceosome-associated protein, putative",protein-coding,-,-,-,"spliceosome-associated protein, putative",20200918,-
5661,13385481,LDBPK_300600,LDBPK_300600,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
5661,13385482,LDBPK_300610,LDBPK_300610,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385483,LDBPK_300620,LDBPK_300620,-,-,30,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200918,-
5661,13385484,LDBPK_300630,LDBPK_300630,-,-,30,-,"nitrate reductase, putative",protein-coding,-,-,-,"nitrate reductase, putative",20200918,-
5661,13385485,LDBPK_300640,LDBPK_300640,-,-,30,-,"ribosome biogenesis regulatory protein (RRS1), putative",protein-coding,-,-,-,"ribosome biogenesis regulatory protein (RRS1), putative",20210424,-
5661,13385486,LDBPK_300650,LDBPK_300650,-,-,30,-,"histidyl-tRNA synthetase, putative",protein-coding,-,-,-,"histidyl-tRNA synthetase, putative",20200926,-
5661,13385487,LDBPK_300660,LDBPK_300660,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385488,LDBPK_300670,LDBPK_300670,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5661,13385489,LDBPK_300680,LDBPK_300680,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5661,13385490,LDBPK_300690,LDBPK_300690,LDBPK_300710,-,30,-,"40S ribosomal protein S30, putative",protein-coding,-,-,-,"40S ribosomal protein S30, putative",20200918,-
5661,13385491,LDBPK_300720,LDBPK_300720,-,-,30,-,"nuclear movement protein, putative",protein-coding,-,-,-,"nuclear movement protein, putative",20200918,-
5661,13385493,LDBPK_300730,LDBPK_300730,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385494,LDBPK_300740,LDBPK_300740,-,-,30,-,"CDC16, putative",protein-coding,-,-,-,"CDC16, putative",20200918,-
5661,13385495,LDBPK_300750,LDBPK_300750,-,-,30,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5661,13385496,LDBPK_300760,LDBPK_300760,-,-,30,-,"co-chaperone GrpE, putative",protein-coding,-,-,-,"co-chaperone GrpE, putative",20210424,-
5661,13385497,LDBPK_300770,LDBPK_300770,-,-,30,-,"co-chaperone, GrpE, putative",protein-coding,-,-,-,"co-chaperone, GrpE, putative",20200918,-
